# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 1.38808e-14 0 0.500092 0 0
0 0.5 0.01 1.38401e-14 -2.25678e-07 0.490092 0 0
0 0.5 0.02 1.37141e-14 -4.51848e-07 0.480092 0 0
0 0.5 0.03 1.35771e-14 -6.79006e-07 0.470092 0 0
0 0.5 0.04 1.35793e-14 -9.07648e-07 0.460093 0 0
0 0.5 0.05 1.38261e-14 -1.13828e-06 0.450093 0 0
0 0.5 0.06 1.42457e-14 -1.37139e-06 0.440093 0 0
0 0.5 0.07 1.46678e-14 -1.60751e-06 0.430094 0 0
0 0.5 0.08 1.49744e-14 -1.84716e-06 0.420094 0 0
0 0.5 0.09 1.50504e-14 -2.09086e-06 0.410095 0 0
0 0.5 0.1 1.4778e-14 -2.33915e-06 0.400096 0 0
0 0.5 0.11 1.42357e-14 -2.59259e-06 0.390096 0 0
0 0.5 0.12 1.35899e-14 -2.85175e-06 0.380097 0 0
0 0.5 0.13 1.29074e-14 -3.11721e-06 0.370098 0 0
0 0.5 0.14 1.22721e-14 -3.38957e-06 0.360099 0 0
0 0.5 0.15 1.19032e-14 -3.66945e-06 0.350101 0 0
0 0.5 0.16 1.18758e-14 -3.95749e-06 0.340102 0 0
0 0.5 0.17 1.20495e-14 -4.25435e-06 0.330103 0 0
0 0.5 0.18 1.24551e-14 -4.56073e-06 0.320105 0 0
0 0.5 0.19 1.30811e-14 -4.87733e-06 0.310107 0 0
0 0.5 0.2 1.36579e-14 -5.20489e-06 0.300109 0 0
0 0.5 0.21 1.39766e-14 -5.54418e-06 0.290111 0 0
0 0.5 0.22 1.40324e-14 -5.89599e-06 0.280113 0 0
0 0.5 0.23 1.37753e-14 -6.26112e-06 0.270116 0 0
0 0.5 0.24 1.32161e-14 -6.6404e-06 0.260119 0 0
0 0.5 0.25 1.26008e-14 -7.03467e-06 0.250122 0 0
0 0.5 0.26 1.22202e-14 -7.44474e-06 0.240126 0 0
0 0.5 0.27 1.20854e-14 -7.87142e-06 0.23013 0 0
0 0.5 0.28 1.20772e-14 -8.31544e-06 0.220134 0 0
0 0.5 0.29 1.20823e-14 -8.7774e-06 0.210139 0 0
0 0.5 0.3 1.18653e-14 -9.25771e-06 0.200144 0 0
0 0.5 0.31 1.11575e-14 -9.75647e-06 0.190151 0 0
0 0.5 0.32 9.92235e-15 -1.02733e-05 0.180158 0 0
0 0.5 0.33 8.36521e-15 -1.08069e-05 0.170165 0 0
