# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 4.15851e-14 0 0.500088 0 0
0 0.5 0.01 4.23031e-14 -2.15824e-07 0.490088 0 0
0 0.5 0.02 4.24654e-14 -4.32123e-07 0.480088 0 0
0 0.5 0.03 4.27778e-14 -6.49366e-07 0.470088 0 0
0 0.5 0.04 4.34274e-14 -8.68023e-07 0.460089 0 0
0 0.5 0.05 4.4096e-14 -1.08858e-06 0.450089 0 0
0 0.5 0.06 4.51475e-14 -1.31153e-06 0.440089 0 0
0 0.5 0.07 4.57036e-14 -1.53734e-06 0.43009 0 0
0 0.5 0.08 4.7787e-14 -1.76652e-06 0.42009 0 0
0 0.5 0.09 4.87983e-14 -1.99959e-06 0.410091 0 0
0 0.5 0.1 5.07155e-14 -2.23704e-06 0.400092 0 0
0 0.5 0.11 5.26639e-14 -2.47942e-06 0.390092 0 0
0 0.5 0.12 5.47138e-14 -2.72727e-06 0.380093 0 0
0 0.5 0.13 5.68304e-14 -2.98115e-06 0.370094 0 0
0 0.5 0.14 5.91628e-14 -3.24162e-06 0.360095 0 0
0 0.5 0.15 6.12322e-14 -3.50928e-06 0.350096 0 0
0 0.5 0.16 6.3408e-14 -3.78476e-06 0.340098 0 0
0 0.5 0.17 6.57768e-14 -4.06867e-06 0.330099 0 0
0 0.5 0.18 6.78526e-14 -4.36168e-06 0.3201 0 0
0 0.5 0.19 7.02291e-14 -4.66447e-06 0.310102 0 0
0 0.5 0.2 7.23127e-14 -4.97775e-06 0.300104 0 0
0 0.5 0.21 7.3786e-14 -5.30225e-06 0.290106 0 0
0 0.5 0.22 7.58304e-14 -5.63871e-06 0.280108 0 0
0 0.5 0.23 7.68227e-14 -5.98792e-06 0.270111 0 0
0 0.5 0.24 7.84966e-14 -6.35068e-06 0.260114 0 0
0 0.5 0.25 7.86126e-14 -6.72777e-06 0.250117 0 0
0 0.5 0.26 7.99069e-14 -7.11998e-06 0.24012 0 0
0 0.5 0.27 7.92727e-14 -7.5281e-06 0.230124 0 0
0 0.5 0.28 7.76948e-14 -7.9528e-06 0.220128 0 0
0 0.5 0.29 7.6779e-14 -8.39468e-06 0.210133 0 0
0 0.5 0.3 7.39237e-14 -8.85414e-06 0.200138 0 0
0 0.5 0.31 7.11789e-14 -9.33126e-06 0.190144 0 0
0 0.5 0.32 6.74541e-14 -9.82568e-06 0.180151 0 0
0 0.5 0.33 6.27192e-14 -1.03363e-05 0.170158 0 0
0 0.5 0.34 5.79821e-14 -1.08609e-05 0.160167 0 0
0 0.5 0.35 5.29498e-14 -1.13957e-05 0.150176 0 0
0 0.5 0.36 4.75213e-14 -1.19346e-05 0.140187 0 0
0 0.5 0.37 4.38357e-14 -1.24681e-05 0.130199 0 0
0 0.5 0.38 3.95428e-14 -1.29825e-05 0.120212 0 0
0 0.5 0.39 3.57511e-14 -1.34588e-05 0.110227 0 0
0 0.5 0.4 3.43272e-14 -1.38736e-05 0.100242 0 0
0 0.5 0.41 3.42285e-14 -1.42009e-05 0.0902572 0 0
0 0.5 0.42 3.88671e-14 -1.44209e-05 0.0802714 0 0
0 0.5 0.43 4.3469e-14 -1.45304e-05 0.0702829 0 0
0 0.5 0.44 5.44333e-14 -1.45542e-05 0.06005 0 0.7552
