# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 -2.0772e-14 0 0.500088 0 0
0 0.5 0.01 -2.04258e-14 -2.1552e-07 0.490088 0 0
0 0.5 0.02 -2.04352e-14 -4.31514e-07 0.480088 0 0
0 0.5 0.03 -2.08596e-14 -6.48453e-07 0.470088 0 0
0 0.5 0.04 -2.08934e-14 -8.66806e-07 0.460089 0 0
0 0.5 0.05 -2.17824e-14 -1.08706e-06 0.450089 0 0
0 0.5 0.06 -2.23343e-14 -1.3097e-06 0.440089 0 0
0 0.5 0.07 -2.29571e-14 -1.53521e-06 0.43009 0 0
0 0.5 0.08 -2.36164e-14 -1.76409e-06 0.42009 0 0
0 0.5 0.09 -2.42139e-14 -1.99685e-06 0.410091 0 0
0 0.5 0.1 -2.53979e-14 -2.23401e-06 0.400091 0 0
0 0.5 0.11 -2.55999e-14 -2.47609e-06 0.390092 0 0
0 0.5 0.12 -2.66626e-14 -2.72365e-06 0.380093 0 0
0 0.5 0.13 -2.68894e-14 -2.97723e-06 0.370094 0 0
0 0.5 0.14 -2.7251e-14 -3.23742e-06 0.360095 0 0
0 0.5 0.15 -2.77711e-14 -3.5048e-06 0.350096 0 0
0 0.5 0.16 -2.78695e-14 -3.78001e-06 0.340097 0 0
0 0.5 0.17 -2.84576e-14 -4.06367e-06 0.330099 0 0
0 0.5 0.18 -2.8932e-14 -4.35644e-06 0.3201 0 0
0 0.5 0.19 -2.91946e-14 -4.65901e-06 0.310102 0 0
0 0.5 0.2 -2.95571e-14 -4.97209e-06 0.300104 0 0
0 0.5 0.21 -3.04491e-14 -5.29643e-06 0.290106 0 0
0 0.5 0.22 -3.09678e-14 -5.63278e-06 0.280108 0 0
0 0.5 0.23 -3.11613e-14 -5.98194e-06 0.270111 0 0
0 0.5 0.24 -3.16547e-14 -6.34472e-06 0.260114 0 0
0 0.5 0.25 -3.18882e-14 -6.72193e-06 0.250117 0 0
0 0.5 0.26 -3.18157e-14 -7.11439e-06 0.24012 0 0
0 0.5 0.27 -3.24627e-14 -7.52293e-06 0.230124 0 0
0 0.5 0.28 -3.24547e-14 -7.94829e-06 0.220128 0 0
0 0.5 0.29 -3.39618e-14 -8.39112e-06 0.210133 0 0
0 0.5 0.3 -3.4001e-14 -8.85193e-06 0.200138 0 0
0 0.5 0.31 -3.41313e-14 -9.33096e-06 0.190144 0 0
0 0.5 0.32 -3.318e-14 -9.82801e-06 0.18015 0 0
0 0.5 0.33 -3.19147e-14 -1.03422e-05 0.170158 0 0
0 0.5 0.34 -3.01596e-14 -1.08718e-05 0.160166 0 0
0 0.5 0.35 -2.81281e-14 -1.14134e-05 0.150175 0 0
0 0.5 0.36 -2.73749e-14 -1.19615e-05 0.140186 0 0
0 0.5 0.37 -2.65224e-14 -1.25074e-05 0.130198 0 0
0 0.5 0.38 -2.35124e-14 -1.3038e-05 0.120212 0 0
0 0.5 0.39 -1.99144e-14 -1.35354e-05 0.110226 0 0
0 0.5 0.4 -1.28386e-14 -1.39758e-05 0.100242 0 0
0 0.5 0.41 -6.84607e-15 -1.43316e-05 0.0902584 0 0
0 0.5 0.42 2.26676e-15 -1.45792e-05 0.0802738 0 0
0 0.5 0.43 1.18824e-14 -1.47093e-05 0.0702867 0 0
0 0.5 0.44 -4.14757e-15 -1.47408e-05 0.0602379 0 0.7552
0 0.5 0.45 -4.14346e-15 -1.47453e-05 0.0495303 0 1
