# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 3.65747e-15 0 0.500089 0 0
0 0.5 0.01 3.6372e-15 -2.17624e-07 0.490089 0 0
0 0.5 0.02 3.66111e-15 -4.35728e-07 0.480089 0 0
0 0.5 0.03 3.65424e-15 -6.54783e-07 0.470089 0 0
0 0.5 0.04 3.63861e-15 -8.75265e-07 0.460089 0 0
0 0.5 0.05 3.63111e-15 -1.09767e-06 0.45009 0 0
0 0.5 0.06 3.60946e-15 -1.32247e-06 0.44009 0 0
0 0.5 0.07 3.60953e-15 -1.55017e-06 0.430091 0 0
0 0.5 0.08 3.58854e-15 -1.78127e-06 0.420091 0 0
0 0.5 0.09 3.57249e-15 -2.01628e-06 0.410092 0 0
0 0.5 0.1 3.52196e-15 -2.25573e-06 0.400092 0 0
0 0.5 0.11 3.51575e-15 -2.50014e-06 0.390093 0 0
0 0.5 0.12 3.49441e-15 -2.75007e-06 0.380094 0 0
0 0.5 0.13 3.45251e-15 -3.00607e-06 0.370095 0 0
0 0.5 0.14 3.45011e-15 -3.26874e-06 0.360096 0 0
0 0.5 0.15 3.43693e-15 -3.53865e-06 0.350097 0 0
0 0.5 0.16 3.42702e-15 -3.81645e-06 0.340098 0 0
0 0.5 0.17 3.40976e-15 -4.10277e-06 0.3301 0 0
0 0.5 0.18 3.39943e-15 -4.39826e-06 0.320101 0 0
0 0.5 0.19 3.37745e-15 -4.70362e-06 0.310103 0 0
0 0.5 0.2 3.37858e-15 -5.01957e-06 0.300105 0 0
0 0.5 0.21 3.40699e-15 -5.34684e-06 0.290107 0 0
0 0.5 0.22 3.38871e-15 -5.68619e-06 0.280109 0 0
0 0.5 0.23 3.43286e-15 -6.03842e-06 0.270112 0 0
0 0.5 0.24 3.40797e-15 -6.40433e-06 0.260115 0 0
0 0.5 0.25 3.4762e-15 -6.78472e-06 0.250118 0 0
0 0.5 0.26 3.51006e-15 -7.18041e-06 0.240121 0 0
0 0.5 0.27 3.61638e-15 -7.59217e-06 0.230125 0 0
0 0.5 0.28 3.7467e-15 -8.02072e-06 0.220129 0 0
0 0.5 0.29 3.95048e-15 -8.46668e-06 0.210134 0 0
0 0.5 0.3 4.13377e-15 -8.93048e-06 0.200139 0 0
0 0.5 0.31 4.26732e-15 -9.41224e-06 0.190145 0 0
0 0.5 0.32 4.51748e-15 -9.91163e-06 0.180152 0 0
0 0.5 0.33 4.66902e-15 -1.04276e-05 0.170159 0 0
0 0.5 0.34 4.8216e-15 -1.09581e-05 0.160168 0 0
0 0.5 0.35 5.07958e-15 -1.14992e-05 0.150177 0 0
0 0.5 0.36 5.27309e-15 -1.20452e-05 0.140188 0 0
0 0.5 0.37 5.06292e-15 -1.25864e-05 0.1302 0 0
0 0.5 0.38 4.40678e-15 -1.31092e-05 0.120214 0 0
0 0.5 0.39 3.65624e-15 -1.35945e-05 0.110229 0 0
0 0.5 0.4 2.3939e-15 -1.40184e-05 0.100244 0 0
0 0.5 0.41 3.14373e-16 -1.43539e-05 0.0902599 0 0
0 0.5 0.42 -3.47246e-15 -1.45799e-05 0.0802745 0 0
0 0.5 0.43 -8.05723e-15 -1.46922e-05 0.0702863 0 0
0 0.5 0.44 -1.08547e-14 -1.47155e-05 0.0599703 0 0.7552
0 0.5 0.45 -9.13275e-15 -1.47181e-05 0.0497496 0 1
0 0.5 0.46 -7.19429e-15 -1.47198e-05 0.0398271 0 1
0 0.5 0.47 -5.17729e-15 -1.47208e-05 0.0298905 0 1
0 0.5 0.48 -3.10418e-15 -1.47212e-05 0.0199378 0 1
0 0.5 0.49 -1.01166e-15 -1.47214e-05 0.00997258 0 1
0 0.5 0.5 1.08896e-15 -1.47214e-05 -1.50895e-07 0 1
0 0.5 0.51 3.20482e-15 -1.47214e-05 -0.00997258 0 1
0 0.5 0.52 5.31632e-15 -1.47212e-05 -0.0199378 0 1
0 0.5 0.53 7.42598e-15 -1.47208e-05 -0.0298905 0 1
0 0.5 0.54 9.48608e-15 -1.47198e-05 -0.0398271 0 1
0 0.5 0.55 1.14709e-14 -1.47181e-05 -0.0497496 0 1
0 0.5 0.56 1.32962e-14 -1.47155e-05 -0.0599703 0 0.7552
0 0.5 0.57 1.00312e-14 -1.46922e-05 -0.0702863 0 0
0 0.5 0.58 5.20261e-15 -1.45799e-05 -0.0802745 0 0
0 0.5 0.59 1.1217e-15 -1.43539e-05 -0.0902599 0 0
0 0.5 0.6 -1.95807e-15 -1.40184e-05 -0.100244 0 0
0 0.5 0.61 -3.78297e-15 -1.35945e-05 -0.110229 0 0
0 0.5 0.62 -4.54171e-15 -1.31092e-05 -0.120214 0 0
0 0.5 0.63 -5.09944e-15 -1.25864e-05 -0.1302 0 0
0 0.5 0.64 -5.32022e-15 -1.20452e-05 -0.140188 0 0
0 0.5 0.65 -5.14639e-15 -1.14992e-05 -0.150177 0 0
0 0.5 0.66 -4.94665e-15 -1.09581e-05 -0.160168 0 0
0 0.5 0.67 -4.72777e-15 -1.04276e-05 -0.170159 0 0
0 0.5 0.68 -4.51536e-15 -9.91163e-06 -0.180152 0 0
0 0.5 0.69 -4.2081e-15 -9.41224e-06 -0.190145 0 0
0 0.5 0.7 -4.0241e-15 -8.93048e-06 -0.200139 0 0
0 0.5 0.71 -3.85479e-15 -8.46668e-06 -0.210134 0 0
0 0.5 0.72 -3.69274e-15 -8.02072e-06 -0.220129 0 0
0 0.5 0.73 -3.56665e-15 -7.59217e-06 -0.230125 0 0
0 0.5 0.74 -3.4587e-15 -7.18041e-06 -0.240121 0 0
0 0.5 0.75 -3.3647e-15 -6.78472e-06 -0.250118 0 0
0 0.5 0.76 -3.24136e-15 -6.40433e-06 -0.260115 0 0
0 0.5 0.77 -3.15196e-15 -6.03842e-06 -0.270112 0 0
0 0.5 0.78 -3.04524e-15 -5.68619e-06 -0.280109 0 0
0 0.5 0.79 -2.9799e-15 -5.34684e-06 -0.290107 0 0
0 0.5 0.8 -2.88133e-15 -5.01957e-06 -0.300105 0 0
0 0.5 0.81 -2.79788e-15 -4.70362e-06 -0.310103 0 0
0 0.5 0.82 -2.74274e-15 -4.39826e-06 -0.320101 0 0
0 0.5 0.83 -2.64909e-15 -4.10277e-06 -0.3301 0 0
0 0.5 0.84 -2.57463e-15 -3.81645e-06 -0.340098 0 0
0 0.5 0.85 -2.48707e-15 -3.53865e-06 -0.350097 0 0
0 0.5 0.86 -2.45458e-15 -3.26874e-06 -0.360096 0 0
0 0.5 0.87 -2.40197e-15 -3.00607e-06 -0.370095 0 0
0 0.5 0.88 -2.37063e-15 -2.75007e-06 -0.380094 0 0
0 0.5 0.89 -2.34948e-15 -2.50014e-06 -0.390093 0 0
0 0.5 0.9 -2.31283e-15 -2.25573e-06 -0.400092 0 0
0 0.5 0.91 -2.30429e-15 -2.01628e-06 -0.410092 0 0
0 0.5 0.92 -2.30549e-15 -1.78127e-06 -0.420091 0 0
0 0.5 0.93 -2.31193e-15 -1.55017e-06 -0.430091 0 0
0 0.5 0.94 -2.33068e-15 -1.32247e-06 -0.44009 0 0
0 0.5 0.95 -2.32295e-15 -1.09767e-06 -0.45009 0 0
0 0.5 0.96 -2.31712e-15 -8.75265e-07 -0.460089 0 0
0 0.5 0.97 -2.32438e-15 -6.54783e-07 -0.470089 0 0
0 0.5 0.98 -2.32159e-15 -4.35728e-07 -0.480089 0 0
0 0.5 0.99 -2.32344e-15 -2.17624e-07 -0.490089 0 0
0 0.5 1 -2.35712e-15 0 -0.500089 0 0

