# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 -1.25616e-14 0 0.500069 0 0
0 0.5 0.01 -1.2566e-14 -1.68431e-07 0.490069 0 0
0 0.5 0.02 -1.39292e-14 -3.37444e-07 0.480069 0 0
0 0.5 0.03 -1.66512e-14 -5.0704e-07 0.470069 0 0
0 0.5 0.04 -1.9482e-14 -6.77626e-07 0.460069 0 0
0 0.5 0.05 -2.06778e-14 -8.4996e-07 0.45007 0 0
0 0.5 0.06 -2.02297e-14 -1.02406e-06 0.44007 0 0
0 0.5 0.07 -1.69198e-14 -1.20018e-06 0.43007 0 0
0 0.5 0.08 -1.28349e-14 -1.37924e-06 0.420071 0 0
0 0.5 0.09 -8.56285e-15 -1.56128e-06 0.410071 0 0
0 0.5 0.1 -5.11218e-15 -1.74646e-06 0.400071 0 0
0 0.5 0.11 -3.91104e-15 -1.93579e-06 0.390072 0 0
0 0.5 0.12 -4.77707e-15 -2.12942e-06 0.380073 0 0
0 0.5 0.13 -6.73516e-15 -2.32741e-06 0.370073 0 0
0 0.5 0.14 -6.79985e-15 -2.53081e-06 0.360074 0 0
0 0.5 0.15 -4.9511e-15 -2.73996e-06 0.350075 0 0
0 0.5 0.16 -1.09844e-15 -2.95481e-06 0.340076 0 0
0 0.5 0.17 3.44367e-15 -3.17643e-06 0.330077 0 0
0 0.5 0.18 7.89956e-15 -3.4054e-06 0.320079 0 0
0 0.5 0.19 1.24815e-14 -3.64162e-06 0.31008 0 0
0 0.5 0.2 1.69108e-14 -3.88604e-06 0.300081 0 0
0 0.5 0.21 2.01289e-14 -4.1396e-06 0.290083 0 0
0 0.5 0.22 2.21784e-14 -4.40222e-06 0.280085 0 0
0 0.5 0.23 2.40572e-14 -4.67447e-06 0.270087 0 0
0 0.5 0.24 2.60434e-14 -4.95787e-06 0.260089 0 0
0 0.5 0.25 2.8137e-14 -5.25242e-06 0.250091 0 0
0 0.5 0.26 3.03526e-14 -5.55787e-06 0.240094 0 0
0 0.5 0.27 3.40731e-14 -5.87651e-06 0.230097 0 0
0 0.5 0.28 3.92983e-14 -6.20834e-06 0.2201 0 0
0 0.5 0.29 4.73155e-14 -6.5523e-06 0.210104 0 0
0 0.5 0.3 5.51586e-14 -6.91048e-06 0.200108 0 0
0 0.5 0.31 6.25194e-14 -7.28311e-06 0.190113 0 0
0 0.5 0.32 6.52521e-14 -7.66817e-06 0.180118 0 0
0 0.5 0.33 6.82893e-14 -8.06478e-06 0.170124 0 0
0 0.5 0.34 7.33227e-14 -8.4733e-06 0.16013 0 0
0 0.5 0.35 7.76284e-14 -8.89151e-06 0.150138 0 0
0 0.5 0.36 8.30384e-14 -9.30659e-06 0.140147 0 0
0 0.5 0.37 9.13584e-14 -9.71669e-06 0.130156 0 0
0 0.5 0.38 1.02141e-13 -1.01232e-05 0.120166 0 0
0 0.5 0.39 1.11649e-13 -1.04852e-05 0.110178 0 0
0 0.5 0.4 1.19084e-13 -1.07876e-05 0.10019 0 0
0 0.5 0.41 1.26367e-13 -1.10312e-05 0.0901989 0 0
0 0.5 0.42 1.36349e-13 -1.12026e-05 0.0802073 0 0
0 0.5 0.43 1.46545e-13 -1.12934e-05 0.0702156 0 0
0 0.5 0.44 1.54964e-13 -1.131e-05 0.0599403 0 0.2272
0 0.5 0.45 1.5752e-13 -1.13141e-05 0.0498113 0 0.88
0 0.5 0.46 1.60125e-13 -1.13165e-05 0.0396824 0 1.1232
0 0.5 0.47 1.62788e-13 -1.13173e-05 0.0298315 0 1
0 0.5 0.48 1.6555e-13 -1.13178e-05 0.0198802 0 1
0 0.5 0.49 1.68328e-13 -1.13181e-05 0.00992904 0 1
0 0.5 0.5 1.71123e-13 -1.13181e-05 -2.21671e-05 0 1
0 0.5 0.51 1.73928e-13 -1.13181e-05 -0.00992904 0 1
0 0.5 0.52 1.76707e-13 -1.13178e-05 -0.0198802 0 1
0 0.5 0.53 1.79458e-13 -1.13173e-05 -0.0298315 0 1
0 0.5 0.54 1.82186e-13 -1.13165e-05 -0.0396824 0 1.1232
