# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 1.14848e-14 0 0.500092 0 0
0 0.5 0.01 1.14839e-14 -2.25669e-07 0.490092 0 0
0 0.5 0.02 1.14883e-14 -4.51832e-07 0.480092 0 0
0 0.5 0.03 1.14941e-14 -6.78981e-07 0.470092 0 0
0 0.5 0.04 1.14769e-14 -9.07615e-07 0.460093 0 0
0 0.5 0.05 1.14066e-14 -1.13823e-06 0.450093 0 0
0 0.5 0.06 1.12817e-14 -1.37134e-06 0.440093 0 0
0 0.5 0.07 1.11045e-14 -1.60746e-06 0.430094 0 0
0 0.5 0.08 1.0878e-14 -1.84709e-06 0.420094 0 0
0 0.5 0.09 1.06298e-14 -2.09078e-06 0.410095 0 0
0 0.5 0.1 1.03824e-14 -2.33907e-06 0.400096 0 0
0 0.5 0.11 1.01314e-14 -2.5925e-06 0.390096 0 0
0 0.5 0.12 9.86781e-15 -2.85165e-06 0.380097 0 0
0 0.5 0.13 9.58352e-15 -3.1171e-06 0.370098 0 0
0 0.5 0.14 9.25923e-15 -3.38945e-06 0.360099 0 0
0 0.5 0.15 8.87259e-15 -3.66932e-06 0.350101 0 0
0 0.5 0.16 8.41375e-15 -3.95735e-06 0.340102 0 0
0 0.5 0.17 7.88958e-15 -4.25421e-06 0.330103 0 0
0 0.5 0.18 7.30195e-15 -4.56058e-06 0.320105 0 0
0 0.5 0.19 6.64391e-15 -4.87717e-06 0.310107 0 0
0 0.5 0.2 5.91727e-15 -5.20473e-06 0.300109 0 0
0 0.5 0.21 5.11506e-15 -5.54401e-06 0.290111 0 0
0 0.5 0.22 4.21186e-15 -5.89581e-06 0.280113 0 0
0 0.5 0.23 3.17257e-15 -6.26094e-06 0.270116 0 0
0 0.5 0.24 1.96874e-15 -6.64022e-06 0.260119 0 0
0 0.5 0.25 5.76666e-16 -7.03448e-06 0.250122 0 0
0 0.5 0.26 -1.05817e-15 -7.44456e-06 0.240126 0 0
0 0.5 0.27 -2.96201e-15 -7.87125e-06 0.23013 0 0
0 0.5 0.28 -5.15021e-15 -8.31528e-06 0.220134 0 0
0 0.5 0.29 -7.6816e-15 -8.77726e-06 0.210139 0 0
0 0.5 0.3 -1.06117e-14 -9.2576e-06 0.200144 0 0
0 0.5 0.31 -1.3984e-14 -9.7564e-06 0.190151 0 0
0 0.5 0.32 -1.78916e-14 -1.02732e-05 0.180157 0 0
0 0.5 0.33 -2.24228e-14 -1.0807e-05 0.170165 0 0
0 0.5 0.34 -2.76407e-14 -1.13553e-05 0.160174 0 0
0 0.5 0.35 -3.35354e-14 -1.19142e-05 0.150184 0 0
0 0.5 0.36 -3.99833e-14 -1.24772e-05 0.140195 0 0
0 0.5 0.37 -4.66649e-14 -1.30345e-05 0.130208 0 0
0 0.5 0.38 -5.27948e-14 -1.35716e-05 0.120222 0 0
0 0.5 0.39 -5.68293e-14 -1.40686e-05 0.110237 0 0
0 0.5 0.4 -5.60443e-14 -1.45006e-05 0.100253 0 0
0 0.5 0.41 -4.59127e-14 -1.48407e-05 0.0902691 0 0
0 0.5 0.42 -1.98775e-14 -1.50683e-05 0.0802839 0 0
0 0.5 0.43 2.99176e-14 -1.51804e-05 0.0702957 0 0
0 0.5 0.44 8.31955e-14 -1.52033e-05 0.0596843 0 1
0 0.5 0.45 6.9277e-14 -1.52058e-05 0.0497582 0 1
0 0.5 0.46 5.53287e-14 -1.52075e-05 0.0398346 0 1
0 0.5 0.47 4.13676e-14 -1.52084e-05 0.0298961 0 1
0 0.5 0.48 2.74025e-14 -1.52089e-05 0.0199416 0 1
0 0.5 0.49 1.34377e-14 -1.52091e-05 0.00997434 0 1
0 0.5 0.5 -5.25423e-16 -1.52091e-05 -4.18183e-11 0 1
0 0.5 0.51 -1.44867e-14 -1.52091e-05 -0.00997434 0 1
0 0.5 0.52 -2.8446e-14 -1.52089e-05 -0.0199416 0 1
0 0.5 0.53 -4.24039e-14 -1.52084e-05 -0.0298961 0 1
0 0.5 0.54 -5.63612e-14 -1.52075e-05 -0.0398346 0 1
0 0.5 0.55 -7.03158e-14 -1.52058e-05 -0.0497582 0 1
0 0.5 0.56 -8.42715e-14 -1.52033e-05 -0.0596843 0 1
0 0.5 0.57 -8.17071e-14 -1.51804e-05 -0.0702957 0 0
0 0.5 0.58 -4.86645e-14 -1.50683e-05 -0.0802839 0 0
0 0.5 0.59 -2.31824e-14 -1.48407e-05 -0.0902691 0 0
0 0.5 0.6 -8.32391e-15 -1.45006e-05 -0.100253 0 0
0 0.5 0.61 -1.48568e-15 -1.40686e-05 -0.110237 0 0
0 0.5 0.62 4.38711e-16 -1.35716e-05 -0.120222 0 0
0 0.5 0.63 -3.11597e-16 -1.30345e-05 -0.130208 0 0
0 0.5 0.64 -2.32416e-15 -1.24772e-05 -0.140195 0 0
0 0.5 0.65 -4.74107e-15 -1.19142e-05 -0.150184 0 0
0 0.5 0.66 -7.09702e-15 -1.13553e-05 -0.160174 0 0
0 0.5 0.67 -9.27995e-15 -1.0807e-05 -0.170165 0 0
0 0.5 0.68 -1.11828e-14 -1.02732e-05 -0.180157 0 0
0 0.5 0.69 -1.27673e-14 -9.7564e-06 -0.190151 0 0
0 0.5 0.7 -1.41294e-14 -9.2576e-06 -0.200144 0 0
