# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 7.12768e-15 0 0.500092 0 0
0 0.5 0.01 7.12973e-15 -2.24224e-07 0.490092 0 0
0 0.5 0.02 7.21453e-15 -4.48938e-07 0.480092 0 0
0 0.5 0.03 7.38573e-15 -6.74633e-07 0.470092 0 0
0 0.5 0.04 7.52468e-15 -9.01803e-07 0.460092 0 0
0 0.5 0.05 7.60843e-15 -1.13094e-06 0.450092 0 0
0 0.5 0.06 7.61749e-15 -1.36256e-06 0.440093 0 0
0 0.5 0.07 7.58447e-15 -1.59716e-06 0.430093 0 0
0 0.5 0.08 7.53779e-15 -1.83527e-06 0.420094 0 0
0 0.5 0.09 7.48669e-15 -2.0774e-06 0.410094 0 0
0 0.5 0.1 7.48173e-15 -2.32409e-06 0.400095 0 0
0 0.5 0.11 7.49593e-15 -2.57591e-06 0.390096 0 0
0 0.5 0.12 7.4551e-15 -2.8334e-06 0.380097 0 0
0 0.5 0.13 7.4762e-15 -3.09716e-06 0.370098 0 0
0 0.5 0.14 7.586e-15 -3.36777e-06 0.360099 0 0
0 0.5 0.15 7.83496e-15 -3.64585e-06 0.3501 0 0
0 0.5 0.16 8.18611e-15 -3.93205e-06 0.340101 0 0
0 0.5 0.17 8.58602e-15 -4.22701e-06 0.330103 0 0
0 0.5 0.18 8.93107e-15 -4.53143e-06 0.320104 0 0
0 0.5 0.19 9.26266e-15 -4.84601e-06 0.310106 0 0
0 0.5 0.2 9.77776e-15 -5.17148e-06 0.300108 0 0
0 0.5 0.21 1.03803e-14 -5.50861e-06 0.29011 0 0
0 0.5 0.22 1.09721e-14 -5.85818e-06 0.280113 0 0
0 0.5 0.23 1.14178e-14 -6.221e-06 0.270115 0 0
0 0.5 0.24 1.18649e-14 -6.59788e-06 0.260118 0 0
0 0.5 0.25 1.2462e-14 -6.98966e-06 0.250121 0 0
0 0.5 0.26 1.33542e-14 -7.39717e-06 0.240125 0 0
0 0.5 0.27 1.4408e-14 -7.82119e-06 0.230129 0 0
0 0.5 0.28 1.54188e-14 -8.26246e-06 0.220133 0 0
0 0.5 0.29 1.63928e-14 -8.72159e-06 0.210138 0 0
0 0.5 0.3 1.72397e-14 -9.19899e-06 0.200144 0 0
0 0.5 0.31 1.82317e-14 -9.69477e-06 0.19015 0 0
0 0.5 0.32 1.93638e-14 -1.02085e-05 0.180156 0 0
0 0.5 0.33 2.06536e-14 -1.07392e-05 0.170164 0 0
0 0.5 0.34 2.21147e-14 -1.12844e-05 0.160173 0 0
0 0.5 0.35 2.35521e-14 -1.18402e-05 0.150183 0 0
0 0.5 0.36 2.50747e-14 -1.24004e-05 0.140194 0 0
0 0.5 0.37 2.70297e-14 -1.2955e-05 0.130206 0 0
0 0.5 0.38 2.94501e-14 -1.34898e-05 0.12022 0 0
0 0.5 0.39 3.22873e-14 -1.39851e-05 0.110235 0 0
0 0.5 0.4 3.52623e-14 -1.44161e-05 0.100251 0 0
0 0.5 0.41 3.81722e-14 -1.47561e-05 0.0902675 0 0
0 0.5 0.42 4.11177e-14 -1.4984e-05 0.0802823 0 0
0 0.5 0.43 4.34514e-14 -1.50967e-05 0.0702941 0 0
0 0.5 0.44 4.24829e-14 -1.51199e-05 0.0598405 0 1
0 0.5 0.45 3.14406e-14 -1.51227e-05 0.0497164 0 1
0 0.5 0.46 2.04153e-14 -1.51245e-05 0.0398032 0 1
0 0.5 0.47 9.39761e-15 -1.51255e-05 0.0298751 0 1
0 0.5 0.48 -1.60744e-15 -1.5126e-05 0.0199293 0 1
0 0.5 0.49 -1.26279e-14 -1.51261e-05 0.00996879 0 1
0 0.5 0.5 -2.36511e-14 -1.51262e-05 -2.40296e-11 0 1
0 0.5 0.51 -3.46843e-14 -1.51261e-05 -0.00996879 0 1
0 0.5 0.52 -4.5721e-14 -1.5126e-05 -0.0199293 0 1
0 0.5 0.53 -5.67589e-14 -1.51255e-05 -0.0298751 0 1
0 0.5 0.54 -6.78036e-14 -1.51245e-05 -0.0398032 0 1
0 0.5 0.55 -7.88569e-14 -1.51227e-05 -0.0497164 0 1
0 0.5 0.56 -8.9922e-14 -1.51199e-05 -0.0598405 0 1
0 0.5 0.57 -9.31836e-14 -1.50967e-05 -0.0702941 0 0
