# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 2.64062e-15 0 0.500092 0 0
0 0.5 0.01 2.61741e-15 -2.25619e-07 0.490092 0 0
0 0.5 0.02 2.63664e-15 -4.51732e-07 0.480092 0 0
0 0.5 0.03 2.71354e-15 -6.78832e-07 0.470092 0 0
0 0.5 0.04 2.80283e-15 -9.07416e-07 0.460093 0 0
0 0.5 0.05 2.85747e-15 -1.13798e-06 0.450093 0 0
0 0.5 0.06 2.86512e-15 -1.37104e-06 0.440093 0 0
0 0.5 0.07 2.81009e-15 -1.60711e-06 0.430094 0 0
0 0.5 0.08 2.68587e-15 -1.84669e-06 0.420094 0 0
0 0.5 0.09 2.57926e-15 -2.09034e-06 0.410095 0 0
0 0.5 0.1 2.5353e-15 -2.33857e-06 0.400096 0 0
0 0.5 0.11 2.50888e-15 -2.59196e-06 0.390096 0 0
0 0.5 0.12 2.5137e-15 -2.85106e-06 0.380097 0 0
0 0.5 0.13 2.52806e-15 -3.11646e-06 0.370098 0 0
0 0.5 0.14 2.54774e-15 -3.38877e-06 0.360099 0 0
0 0.5 0.15 2.51139e-15 -3.66859e-06 0.350101 0 0
0 0.5 0.16 2.37705e-15 -3.95658e-06 0.340102 0 0
0 0.5 0.17 2.28883e-15 -4.2534e-06 0.330103 0 0
0 0.5 0.18 2.22508e-15 -4.55973e-06 0.320105 0 0
0 0.5 0.19 2.03884e-15 -4.87629e-06 0.310107 0 0
0 0.5 0.2 1.8647e-15 -5.20382e-06 0.300109 0 0
0 0.5 0.21 1.64612e-15 -5.54309e-06 0.290111 0 0
0 0.5 0.22 1.29634e-15 -5.89487e-06 0.280113 0 0
0 0.5 0.23 8.52636e-16 -6.26e-06 0.270116 0 0
0 0.5 0.24 4.07092e-16 -6.63929e-06 0.260119 0 0
0 0.5 0.25 6.5456e-18 -7.03358e-06 0.250122 0 0
0 0.5 0.26 -4.82416e-16 -7.44371e-06 0.240126 0 0
0 0.5 0.27 -1.04966e-15 -7.87049e-06 0.23013 0 0
0 0.5 0.28 -1.59321e-15 -8.31464e-06 0.220134 0 0
0 0.5 0.29 -2.23122e-15 -8.7768e-06 0.210139 0 0
0 0.5 0.3 -3.01362e-15 -9.25739e-06 0.200144 0 0
0 0.5 0.31 -3.83535e-15 -9.75653e-06 0.190151 0 0
0 0.5 0.32 -4.71343e-15 -1.02738e-05 0.180157 0 0
0 0.5 0.33 -5.79383e-15 -1.08082e-05 0.170165 0 0
0 0.5 0.34 -6.97192e-15 -1.13574e-05 0.160174 0 0
0 0.5 0.35 -8.18356e-15 -1.19175e-05 0.150184 0 0
0 0.5 0.36 -9.59915e-15 -1.24821e-05 0.140195 0 0
0 0.5 0.37 -1.11238e-14 -1.30414e-05 0.130208 0 0
0 0.5 0.38 -1.276e-14 -1.35812e-05 0.120222 0 0
0 0.5 0.39 -1.44339e-14 -1.40815e-05 0.110237 0 0
0 0.5 0.4 -1.59478e-14 -1.45174e-05 0.100253 0 0
0 0.5 0.41 -1.72484e-14 -1.48617e-05 0.0902693 0 0
0 0.5 0.42 -1.77752e-14 -1.5093e-05 0.0802843 0 0
0 0.5 0.43 -1.70954e-14 -1.52077e-05 0.0702963 0 0
0 0.5 0.44 -1.48725e-14 -1.52314e-05 0.0595957 0 1
0 0.5 0.45 -1.18082e-14 -1.5234e-05 0.0497344 0 1
0 0.5 0.46 -8.72709e-15 -1.52358e-05 0.0398168 0 1
0 0.5 0.47 -5.64278e-15 -1.52368e-05 0.0298842 0 1
0 0.5 0.48 -2.5691e-15 -1.52372e-05 0.0199347 0 1
0 0.5 0.49 4.92791e-16 -1.52374e-05 0.00997122 0 1
0 0.5 0.5 3.54495e-15 -1.52375e-05 -4.24549e-11 0 1
0 0.5 0.51 6.58498e-15 -1.52374e-05 -0.00997122 0 1
0 0.5 0.52 9.62275e-15 -1.52372e-05 -0.0199347 0 1
0 0.5 0.53 1.26638e-14 -1.52368e-05 -0.0298842 0 1
0 0.5 0.54 1.57055e-14 -1.52358e-05 -0.0398168 0 1
0 0.5 0.55 1.8749e-14 -1.5234e-05 -0.0497344 0 1
0 0.5 0.56 2.17976e-14 -1.52314e-05 -0.0595957 0 1
0 0.5 0.57 2.6197e-14 -1.52077e-05 -0.0702963 0 0
0 0.5 0.58 2.85486e-14 -1.5093e-05 -0.0802843 0 0
0 0.5 0.59 2.85938e-14 -1.48617e-05 -0.0902693 0 0
0 0.5 0.6 2.72634e-14 -1.45174e-05 -0.100253 0 0
0 0.5 0.61 2.58476e-14 -1.40815e-05 -0.110237 0 0
0 0.5 0.62 2.44578e-14 -1.35812e-05 -0.120222 0 0
0 0.5 0.63 2.29707e-14 -1.30414e-05 -0.130208 0 0
0 0.5 0.64 2.15963e-14 -1.24821e-05 -0.140195 0 0
0 0.5 0.65 2.04748e-14 -1.19175e-05 -0.150184 0 0
0 0.5 0.66 1.93342e-14 -1.13574e-05 -0.160174 0 0
0 0.5 0.67 1.83478e-14 -1.08082e-05 -0.170165 0 0
0 0.5 0.68 1.75161e-14 -1.02738e-05 -0.180157 0 0
0 0.5 0.69 1.65015e-14 -9.75653e-06 -0.190151 0 0
0 0.5 0.7 1.56948e-14 -9.25739e-06 -0.200144 0 0
0 0.5 0.71 1.48888e-14 -8.7768e-06 -0.210139 0 0
0 0.5 0.72 1.39151e-14 -8.31464e-06 -0.220134 0 0
0 0.5 0.73 1.30988e-14 -7.87049e-06 -0.23013 0 0
0 0.5 0.74 1.21771e-14 -7.44371e-06 -0.240126 0 0
0 0.5 0.75 1.12219e-14 -7.03358e-06 -0.250122 0 0
0 0.5 0.76 1.01422e-14 -6.63929e-06 -0.260119 0 0
0 0.5 0.77 8.88223e-15 -6.26e-06 -0.270116 0 0
0 0.5 0.78 7.79065e-15 -5.89487e-06 -0.280113 0 0
0 0.5 0.79 6.45348e-15 -5.54309e-06 -0.290111 0 0
0 0.5 0.8 5.09587e-15 -5.20382e-06 -0.300109 0 0
0 0.5 0.81 4.0508e-15 -4.87629e-06 -0.310107 0 0
0 0.5 0.82 2.71326e-15 -4.55973e-06 -0.320105 0 0
0 0.5 0.83 1.42949e-15 -4.2534e-06 -0.330103 0 0
0 0.5 0.84 -6.45238e-17 -3.95658e-06 -0.340102 0 0
0 0.5 0.85 -2.09676e-15 -3.66859e-06 -0.350101 0 0
0 0.5 0.86 -4.03141e-15 -3.38877e-06 -0.360099 0 0
0 0.5 0.87 -6.50041e-15 -3.11646e-06 -0.370098 0 0
0 0.5 0.88 -9.02961e-15 -2.85106e-06 -0.380097 0 0
0 0.5 0.89 -1.09748e-14 -2.59196e-06 -0.390096 0 0
0 0.5 0.9 -1.30277e-14 -2.33857e-06 -0.400096 0 0
0 0.5 0.91 -1.457e-14 -2.09034e-06 -0.410095 0 0
0 0.5 0.92 -1.58378e-14 -1.84669e-06 -0.420094 0 0
0 0.5 0.93 -1.73269e-14 -1.60711e-06 -0.430094 0 0
0 0.5 0.94 -1.87293e-14 -1.37104e-06 -0.440093 0 0
0 0.5 0.95 -2.07177e-14 -1.13798e-06 -0.450093 0 0
0 0.5 0.96 -2.30152e-14 -9.07416e-07 -0.460093 0 0
0 0.5 0.97 -2.50794e-14 -6.78832e-07 -0.470092 0 0
0 0.5 0.98 -2.70205e-14 -4.51732e-07 -0.480092 0 0
0 0.5 0.99 -2.83681e-14 -2.2562e-07 -0.490092 0 0
0 0.5 1 -2.87662e-14 0 -0.500092 0 0

