# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 2.06485e-14 0 0.500092 0 0
0 0.5 0.01 2.06458e-14 -2.25892e-07 0.490092 0 0
0 0.5 0.02 2.06538e-14 -4.52277e-07 0.480092 0 0
0 0.5 0.03 2.06743e-14 -6.79651e-07 0.470093 0 0
0 0.5 0.04 2.06988e-14 -9.0851e-07 0.460093 0 0
0 0.5 0.05 2.07555e-14 -1.13936e-06 0.450093 0 0
0 0.5 0.06 2.08665e-14 -1.3727e-06 0.440094 0 0
0 0.5 0.07 2.09912e-14 -1.60904e-06 0.430094 0 0
0 0.5 0.08 2.11607e-14 -1.84892e-06 0.420094 0 0
0 0.5 0.09 2.13491e-14 -2.09285e-06 0.410095 0 0
0 0.5 0.1 2.1535e-14 -2.34138e-06 0.400096 0 0
0 0.5 0.11 2.17544e-14 -2.59506e-06 0.390097 0 0
0 0.5 0.12 2.1977e-14 -2.85447e-06 0.380097 0 0
0 0.5 0.13 2.22408e-14 -3.12019e-06 0.370098 0 0
0 0.5 0.14 2.2563e-14 -3.39281e-06 0.3601 0 0
0 0.5 0.15 2.29103e-14 -3.67296e-06 0.350101 0 0
0 0.5 0.16 2.33334e-14 -3.96128e-06 0.340102 0 0
0 0.5 0.17 2.37708e-14 -4.25843e-06 0.330104 0 0
0 0.5 0.18 2.42176e-14 -4.56511e-06 0.320105 0 0
0 0.5 0.19 2.47182e-14 -4.88202e-06 0.310107 0 0
0 0.5 0.2 2.52106e-14 -5.20991e-06 0.300109 0 0
0 0.5 0.21 2.57775e-14 -5.54954e-06 0.290111 0 0
0 0.5 0.22 2.64387e-14 -5.9017e-06 0.280113 0 0
0 0.5 0.23 2.71646e-14 -6.26721e-06 0.270116 0 0
0 0.5 0.24 2.801e-14 -6.64688e-06 0.260119 0 0
0 0.5 0.25 2.88966e-14 -7.04156e-06 0.250122 0 0
0 0.5 0.26 2.98458e-14 -7.45208e-06 0.240126 0 0
0 0.5 0.27 3.09082e-14 -7.87923e-06 0.23013 0 0
0 0.5 0.28 3.2011e-14 -8.32375e-06 0.220134 0 0
0 0.5 0.29 3.32583e-14 -8.78625e-06 0.210139 0 0
0 0.5 0.3 3.46516e-14 -9.26715e-06 0.200145 0 0
0 0.5 0.31 3.61857e-14 -9.76655e-06 0.190151 0 0
0 0.5 0.32 3.79717e-14 -1.0284e-05 0.180158 0 0
0 0.5 0.33 3.99213e-14 -1.08185e-05 0.170165 0 0
0 0.5 0.34 4.20819e-14 -1.13676e-05 0.160174 0 0
0 0.5 0.35 4.45023e-14 -1.19274e-05 0.150184 0 0
0 0.5 0.36 4.71035e-14 -1.24914e-05 0.140195 0 0
0 0.5 0.37 5.00234e-14 -1.30497e-05 0.130208 0 0
0 0.5 0.38 5.32014e-14 -1.35881e-05 0.120222 0 0
0 0.5 0.39 5.65134e-14 -1.40864e-05 0.110237 0 0
0 0.5 0.4 5.98945e-14 -1.45198e-05 0.100253 0 0
0 0.5 0.41 6.28904e-14 -1.48613e-05 0.0902694 0 0
0 0.5 0.42 6.48701e-14 -1.509e-05 0.0802843 0 0
0 0.5 0.43 6.5097e-14 -1.52029e-05 0.0702962 0 0
0 0.5 0.44 6.14289e-14 -1.52259e-05 0.0596961 0 1
0 0.5 0.45 5.08158e-14 -1.52284e-05 0.049761 0 1
0 0.5 0.46 4.02184e-14 -1.523e-05 0.0398367 0 1
0 0.5 0.47 2.96261e-14 -1.5231e-05 0.0298975 0 1
0 0.5 0.48 1.90304e-14 -1.52315e-05 0.0199425 0 1
0 0.5 0.49 8.42208e-15 -1.52317e-05 0.00997471 0 1
0 0.5 0.5 -2.19341e-15 -1.52317e-05 -4.03866e-11 0 1
0 0.5 0.51 -1.28202e-14 -1.52317e-05 -0.00997472 0 1
0 0.5 0.52 -2.34622e-14 -1.52315e-05 -0.0199425 0 1
0 0.5 0.53 -3.4104e-14 -1.5231e-05 -0.0298975 0 1
0 0.5 0.54 -4.47536e-14 -1.523e-05 -0.0398367 0 1
0 0.5 0.55 -5.53988e-14 -1.52284e-05 -0.049761 0 1
0 0.5 0.56 -6.6024e-14 -1.52259e-05 -0.0596961 0 1
0 0.5 0.57 -7.08202e-14 -1.52029e-05 -0.0702962 0 0
0 0.5 0.58 -7.05047e-14 -1.509e-05 -0.0802843 0 0
0 0.5 0.59 -6.82377e-14 -1.48613e-05 -0.0902694 0 0
0 0.5 0.6 -6.50295e-14 -1.45198e-05 -0.100253 0 0
0 0.5 0.61 -6.12918e-14 -1.40864e-05 -0.110237 0 0
0 0.5 0.62 -5.75749e-14 -1.35881e-05 -0.120222 0 0
0 0.5 0.63 -5.40318e-14 -1.30497e-05 -0.130208 0 0
0 0.5 0.64 -5.05356e-14 -1.24914e-05 -0.140195 0 0
0 0.5 0.65 -4.72917e-14 -1.19274e-05 -0.150184 0 0
0 0.5 0.66 -4.435e-14 -1.13676e-05 -0.160174 0 0
0 0.5 0.67 -4.15268e-14 -1.08185e-05 -0.170165 0 0
0 0.5 0.68 -3.88979e-14 -1.0284e-05 -0.180158 0 0
0 0.5 0.69 -3.6658e-14 -9.76655e-06 -0.190151 0 0
0 0.5 0.7 -3.45314e-14 -9.26715e-06 -0.200145 0 0
0 0.5 0.71 -3.26345e-14 -8.78625e-06 -0.210139 0 0
0 0.5 0.72 -3.10793e-14 -8.32375e-06 -0.220134 0 0
0 0.5 0.73 -2.96394e-14 -7.87923e-06 -0.23013 0 0
0 0.5 0.74 -2.83373e-14 -7.45208e-06 -0.240126 0 0
0 0.5 0.75 -2.71812e-14 -7.04156e-06 -0.250122 0 0
0 0.5 0.76 -2.60621e-14 -6.64688e-06 -0.260119 0 0
0 0.5 0.77 -2.50593e-14 -6.26721e-06 -0.270116 0 0
0 0.5 0.78 -2.41335e-14 -5.9017e-06 -0.280113 0 0
0 0.5 0.79 -2.33127e-14 -5.54954e-06 -0.290111 0 0
0 0.5 0.8 -2.25931e-14 -5.20991e-06 -0.300109 0 0
0 0.5 0.81 -2.1924e-14 -4.88202e-06 -0.310107 0 0
0 0.5 0.82 -2.13285e-14 -4.56511e-06 -0.320105 0 0
0 0.5 0.83 -2.07908e-14 -4.25843e-06 -0.330104 0 0
0 0.5 0.84 -2.02825e-14 -3.96128e-06 -0.340102 0 0
0 0.5 0.85 -1.98107e-14 -3.67296e-06 -0.350101 0 0
0 0.5 0.86 -1.93674e-14 -3.39281e-06 -0.3601 0 0
0 0.5 0.87 -1.89587e-14 -3.12019e-06 -0.370098 0 0
0 0.5 0.88 -1.85869e-14 -2.85447e-06 -0.380097 0 0
0 0.5 0.89 -1.82366e-14 -2.59506e-06 -0.390097 0 0
0 0.5 0.9 -1.79308e-14 -2.34138e-06 -0.400096 0 0
0 0.5 0.91 -1.76714e-14 -2.09285e-06 -0.410095 0 0
0 0.5 0.92 -1.7439e-14 -1.84892e-06 -0.420094 0 0
0 0.5 0.93 -1.72353e-14 -1.60904e-06 -0.430094 0 0
0 0.5 0.94 -1.70685e-14 -1.3727e-06 -0.440094 0 0
