# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 1.36739e-14 0 0.500086 0 0
0 0.5 0.01 1.39239e-14 -2.11031e-07 0.490086 0 0
0 0.5 0.02 1.41856e-14 -4.22526e-07 0.480086 0 0
0 0.5 0.03 1.39771e-14 -6.34944e-07 0.470087 0 0
0 0.5 0.04 1.43621e-14 -8.48745e-07 0.460087 0 0
0 0.5 0.05 1.43995e-14 -1.06441e-06 0.450087 0 0
0 0.5 0.06 1.47914e-14 -1.2824e-06 0.440087 0 0
0 0.5 0.07 1.51281e-14 -1.5032e-06 0.430088 0 0
0 0.5 0.08 1.5553e-14 -1.72729e-06 0.420088 0 0
0 0.5 0.09 1.64026e-14 -1.95518e-06 0.410089 0 0
0 0.5 0.1 1.67235e-14 -2.18737e-06 0.40009 0 0
0 0.5 0.11 1.80184e-14 -2.42437e-06 0.39009 0 0
0 0.5 0.12 1.86757e-14 -2.66671e-06 0.380091 0 0
0 0.5 0.13 1.96052e-14 -2.91496e-06 0.370092 0 0
0 0.5 0.14 2.07866e-14 -3.16965e-06 0.360093 0 0
0 0.5 0.15 2.12846e-14 -3.43138e-06 0.350094 0 0
0 0.5 0.16 2.21858e-14 -3.70074e-06 0.340095 0 0
0 0.5 0.17 2.27606e-14 -3.97837e-06 0.330097 0 0
0 0.5 0.18 2.37137e-14 -4.26488e-06 0.320098 0 0
0 0.5 0.19 2.41712e-14 -4.56096e-06 0.3101 0 0
0 0.5 0.2 2.52018e-14 -4.86731e-06 0.300102 0 0
0 0.5 0.21 2.56576e-14 -5.18462e-06 0.290104 0 0
0 0.5 0.22 2.68504e-14 -5.51364e-06 0.280106 0 0
0 0.5 0.23 2.77611e-14 -5.85514e-06 0.270109 0 0
0 0.5 0.24 2.84217e-14 -6.20989e-06 0.260111 0 0
0 0.5 0.25 2.98473e-14 -6.57867e-06 0.250114 0 0
0 0.5 0.26 3.079e-14 -6.96225e-06 0.240118 0 0
0 0.5 0.27 3.22364e-14 -7.3614e-06 0.230121 0 0
0 0.5 0.28 3.37992e-14 -7.7768e-06 0.220125 0 0
0 0.5 0.29 3.5533e-14 -8.20903e-06 0.21013 0 0
0 0.5 0.3 3.71165e-14 -8.65849e-06 0.200135 0 0
0 0.5 0.31 3.8357e-14 -9.12529e-06 0.190141 0 0
0 0.5 0.32 3.99689e-14 -9.60909e-06 0.180147 0 0
0 0.5 0.33 4.08423e-14 -1.01088e-05 0.170155 0 0
0 0.5 0.34 4.21755e-14 -1.06224e-05 0.160163 0 0
0 0.5 0.35 4.29784e-14 -1.11461e-05 0.150172 0 0
0 0.5 0.36 4.33248e-14 -1.16741e-05 0.140182 0 0
0 0.5 0.37 4.44245e-14 -1.21971e-05 0.130194 0 0
0 0.5 0.38 4.35579e-14 -1.27017e-05 0.120207 0 0
0 0.5 0.39 4.4368e-14 -1.31694e-05 0.110222 0 0
0 0.5 0.4 4.21073e-14 -1.3577e-05 0.100237 0 0
0 0.5 0.41 3.61061e-14 -1.38986e-05 0.0902518 0 0
0 0.5 0.42 4.08546e-14 -1.41146e-05 0.0802657 0 0
0 0.5 0.43 6.69926e-14 -1.42214e-05 0.0702771 0 0
0 0.5 0.44 8.89742e-14 -1.42439e-05 0.0600145 0 0.7552
0 0.5 0.45 8.53008e-14 -1.42465e-05 0.0496777 0 1
0 0.5 0.46 8.17022e-14 -1.42481e-05 0.0398107 0 1
0 0.5 0.47 7.81082e-14 -1.42491e-05 0.0298887 0 1
0 0.5 0.48 7.45029e-14 -1.42496e-05 0.0199339 0 1
0 0.5 0.49 7.08751e-14 -1.42498e-05 0.00997116 0 1
0 0.5 0.5 6.7211e-14 -1.42498e-05 -1.52962e-11 0 1
0 0.5 0.51 6.35464e-14 -1.42498e-05 -0.00997116 0 1
0 0.5 0.52 5.9858e-14 -1.42496e-05 -0.0199339 0 1
0 0.5 0.53 5.61662e-14 -1.42491e-05 -0.0298887 0 1
0 0.5 0.54 5.24551e-14 -1.42481e-05 -0.0398107 0 1
0 0.5 0.55 4.87401e-14 -1.42465e-05 -0.0496777 0 1
0 0.5 0.56 4.50487e-14 -1.42439e-05 -0.0600145 0 0.7552
0 0.5 0.57 3.44304e-14 -1.42214e-05 -0.0702771 0 0
0 0.5 0.58 3.36859e-14 -1.41146e-05 -0.0802657 0 0
0 0.5 0.59 3.34375e-14 -1.38986e-05 -0.0902518 0 0
0 0.5 0.6 3.26226e-14 -1.3577e-05 -0.100237 0 0
0 0.5 0.61 2.76702e-14 -1.31694e-05 -0.110222 0 0
0 0.5 0.62 2.14876e-14 -1.27017e-05 -0.120207 0 0
0 0.5 0.63 1.93447e-14 -1.21971e-05 -0.130194 0 0
0 0.5 0.64 1.57171e-14 -1.16741e-05 -0.140182 0 0
0 0.5 0.65 1.49448e-14 -1.11461e-05 -0.150172 0 0
0 0.5 0.66 1.33912e-14 -1.06224e-05 -0.160163 0 0
0 0.5 0.67 1.31268e-14 -1.01088e-05 -0.170155 0 0
0 0.5 0.68 1.32858e-14 -9.60908e-06 -0.180147 0 0
0 0.5 0.69 1.24338e-14 -9.12529e-06 -0.190141 0 0
0 0.5 0.7 1.189e-14 -8.65849e-06 -0.200135 0 0
0 0.5 0.71 1.15399e-14 -8.20903e-06 -0.21013 0 0
0 0.5 0.72 1.09893e-14 -7.7768e-06 -0.220125 0 0
0 0.5 0.73 1.04517e-14 -7.3614e-06 -0.230121 0 0
0 0.5 0.74 1.04196e-14 -6.96225e-06 -0.240118 0 0
0 0.5 0.75 1.01055e-14 -6.57867e-06 -0.250114 0 0
0 0.5 0.76 9.77558e-15 -6.20989e-06 -0.260111 0 0
0 0.5 0.77 9.98558e-15 -5.85514e-06 -0.270109 0 0
0 0.5 0.78 9.87096e-15 -5.51364e-06 -0.280106 0 0
0 0.5 0.79 1.01022e-14 -5.18462e-06 -0.290104 0 0
0 0.5 0.8 9.64296e-15 -4.86731e-06 -0.300102 0 0
0 0.5 0.81 9.66294e-15 -4.56096e-06 -0.3101 0 0
0 0.5 0.82 1.07047e-14 -4.26488e-06 -0.320098 0 0
