# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 0 0 0.500117 0 0
0 0.5 0.01 -4.71591e-15 -9.29992e-09 0.490116 0 0
0 0.5 0.02 -1.10664e-14 -3.44837e-08 0.480114 0 0
0 0.5 0.03 -1.90514e-14 -7.55512e-08 0.470113 0 0
0 0.5 0.04 -2.64004e-14 -1.30902e-07 0.460112 0 0
0 0.5 0.05 -3.29478e-14 -1.98374e-07 0.450111 0 0
0 0.5 0.06 -3.88771e-14 -2.77961e-07 0.440109 0 0
0 0.5 0.07 -4.27456e-14 -3.69008e-07 0.430109 0 0
0 0.5 0.08 -4.6435e-14 -4.70218e-07 0.420108 0 0
0 0.5 0.09 -5.05574e-14 -5.81559e-07 0.410107 0 0
0 0.5 0.1 -5.3202e-14 -7.0277e-07 0.400107 0 0
0 0.5 0.11 -5.46518e-14 -8.33334e-07 0.390107 0 0
0 0.5 0.12 -5.59423e-14 -9.73263e-07 0.380106 0 0
0 0.5 0.13 -5.59156e-14 -1.12244e-06 0.370106 0 0
0 0.5 0.14 -5.49352e-14 -1.28096e-06 0.360106 0 0
0 0.5 0.15 -5.42801e-14 -1.44899e-06 0.350107 0 0
0 0.5 0.16 -5.35435e-14 -1.62642e-06 0.340107 0 0
0 0.5 0.17 -5.20333e-14 -1.81378e-06 0.330107 0 0
0 0.5 0.18 -5.02363e-14 -2.01149e-06 0.320108 0 0
0 0.5 0.19 -4.76348e-14 -2.21943e-06 0.310109 0 0
0 0.5 0.2 -4.41957e-14 -2.43829e-06 0.30011 0 0
0 0.5 0.21 -4.20732e-14 -2.66892e-06 0.290111 0 0
0 0.5 0.22 -4.11365e-14 -2.91124e-06 0.280112 0 0
0 0.5 0.23 -4.01995e-14 -3.16571e-06 0.270113 0 0
0 0.5 0.24 -3.98659e-14 -3.43387e-06 0.260115 0 0
0 0.5 0.25 -4.01358e-14 -3.71572e-06 0.250117 0 0
0 0.5 0.26 -3.65999e-14 -4.01094e-06 0.240119 0 0
0 0.5 0.27 -3.32383e-14 -4.32197e-06 0.230122 0 0
0 0.5 0.28 -3.0051e-14 -4.64881e-06 0.220124 0 0
0 0.5 0.29 -2.55449e-14 -4.99032e-06 0.210128 0 0
0 0.5 0.3 -2.29059e-14 -5.34879e-06 0.200132 0 0
0 0.5 0.31 -2.24742e-14 -5.72447e-06 0.190136 0 0
0 0.5 0.32 -2.13949e-14 -6.11518e-06 0.180142 0 0
0 0.5 0.33 -2.04188e-14 -6.52008e-06 0.170148 0 0
0 0.5 0.34 -2.03329e-14 -6.93956e-06 0.160153 0 0
0 0.5 0.35 -1.85863e-14 -7.37121e-06 0.150161 0 0
0 0.5 0.36 -1.84267e-14 -7.80131e-06 0.14017 0 0
0 0.5 0.37 -2.18983e-14 -8.22789e-06 0.130179 0 0
0 0.5 0.38 -2.55765e-14 -8.65239e-06 0.12019 0 0
0 0.5 0.39 -2.72589e-14 -9.03085e-06 0.110202 0 0
0 0.5 0.4 -2.96362e-14 -9.34716e-06 0.100215 0 0
0 0.5 0.41 -3.25245e-14 -9.60218e-06 0.0902238 0 0
0 0.5 0.42 -3.35282e-14 -9.78117e-06 0.0802325 0 0
0 0.5 0.43 -3.19207e-14 -9.87577e-06 0.0702411 0 0
0 0.5 0.44 -2.8101e-14 -9.89206e-06 0.059695 0 0.2272
0 0.5 0.45 -2.44763e-14 -9.89448e-06 0.0497691 0 0.88
0 0.5 0.46 -2.08158e-14 -9.89608e-06 0.0398431 0 1.1232
0 0.5 0.47 -1.71329e-14 -9.89687e-06 0.0299219 0 1
0 0.5 0.48 -1.35312e-14 -9.89728e-06 0.0199441 0 1
0 0.5 0.49 -9.93578e-15 -9.89754e-06 0.00996634 0 1
0 0.5 0.5 -6.34669e-15 -9.89764e-06 -1.14259e-05 0 1
0 0.5 0.51 -2.69961e-15 -9.89754e-06 -0.00996634 0 1
0 0.5 0.52 9.46064e-16 -9.89728e-06 -0.0199441 0 1
0 0.5 0.53 4.59033e-15 -9.89687e-06 -0.0299219 0 1
0 0.5 0.54 8.22837e-15 -9.89608e-06 -0.0398431 0 1.1232
0 0.5 0.55 1.18851e-14 -9.89448e-06 -0.0497691 0 0.88
0 0.5 0.56 1.55628e-14 -9.89206e-06 -0.059695 0 0.2272
0 0.5 0.57 2.89591e-14 -9.87577e-06 -0.0702411 0 0
0 0.5 0.58 4.24106e-14 -9.78117e-06 -0.0802325 0 0
0 0.5 0.59 5.22276e-14 -9.60218e-06 -0.0902238 0 0
0 0.5 0.6 5.94231e-14 -9.34716e-06 -0.100215 0 0
0 0.5 0.61 6.66875e-14 -9.03085e-06 -0.110202 0 0
0 0.5 0.62 7.41275e-14 -8.65239e-06 -0.12019 0 0
0 0.5 0.63 8.14856e-14 -8.22789e-06 -0.130179 0 0
0 0.5 0.64 8.88525e-14 -7.80131e-06 -0.14017 0 0
0 0.5 0.65 9.65157e-14 -7.37121e-06 -0.150161 0 0
0 0.5 0.66 1.03737e-13 -6.93956e-06 -0.160153 0 0
0 0.5 0.67 1.09539e-13 -6.52008e-06 -0.170148 0 0
0 0.5 0.68 1.1493e-13 -6.11518e-06 -0.180142 0 0
0 0.5 0.69 1.19395e-13 -5.72447e-06 -0.190136 0 0
0 0.5 0.7 1.22751e-13 -5.34879e-06 -0.200132 0 0
0 0.5 0.71 1.27055e-13 -4.99032e-06 -0.210128 0 0
