# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 0 0 0.500141 0 0
0 0.5 0.01 -5.15668e-15 -1.07938e-08 0.490139 0 0
0 0.5 0.02 -1.20033e-14 -4.17704e-08 0.480137 0 0
0 0.5 0.03 -1.91766e-14 -9.10549e-08 0.470136 0 0
0 0.5 0.04 -2.5887e-14 -1.57068e-07 0.460134 0 0
0 0.5 0.05 -3.24878e-14 -2.38475e-07 0.450133 0 0
0 0.5 0.06 -3.92449e-14 -3.34176e-07 0.440132 0 0
0 0.5 0.07 -4.54793e-14 -4.43266e-07 0.430131 0 0
0 0.5 0.08 -5.12787e-14 -5.65021e-07 0.42013 0 0
0 0.5 0.09 -5.69551e-14 -6.98878e-07 0.410129 0 0
0 0.5 0.1 -6.19954e-14 -8.44418e-07 0.400129 0 0
0 0.5 0.11 -6.62944e-14 -1.00135e-06 0.390128 0 0
0 0.5 0.12 -7.01533e-14 -1.16951e-06 0.380128 0 0
0 0.5 0.13 -7.37256e-14 -1.34884e-06 0.370128 0 0
0 0.5 0.14 -7.64579e-14 -1.53936e-06 0.360128 0 0
0 0.5 0.15 -7.86701e-14 -1.74122e-06 0.350128 0 0
0 0.5 0.16 -8.05512e-14 -1.95463e-06 0.340128 0 0
0 0.5 0.17 -8.18801e-14 -2.17989e-06 0.330129 0 0
0 0.5 0.18 -8.2851e-14 -2.41736e-06 0.32013 0 0
0 0.5 0.19 -8.37803e-14 -2.66749e-06 0.310131 0 0
0 0.5 0.2 -8.43443e-14 -2.93079e-06 0.300132 0 0
0 0.5 0.21 -8.43314e-14 -3.20782e-06 0.290133 0 0
0 0.5 0.22 -8.39873e-14 -3.49922e-06 0.280134 0 0
0 0.5 0.23 -8.31326e-14 -3.80565e-06 0.270136 0 0
0 0.5 0.24 -8.1579e-14 -4.12785e-06 0.260138 0 0
0 0.5 0.25 -7.93565e-14 -4.46656e-06 0.25014 0 0
0 0.5 0.26 -7.67461e-14 -4.82254e-06 0.240143 0 0
0 0.5 0.27 -7.32619e-14 -5.19656e-06 0.230146 0 0
0 0.5 0.28 -6.93065e-14 -5.58931e-06 0.22015 0 0
0 0.5 0.29 -6.52454e-14 -6.00142e-06 0.210154 0 0
0 0.5 0.3 -6.12915e-14 -6.43331e-06 0.200158 0 0
0 0.5 0.31 -5.69794e-14 -6.88512e-06 0.190163 0 0
0 0.5 0.32 -5.2551e-14 -7.35652e-06 0.180169 0 0
0 0.5 0.33 -4.773e-14 -7.84649e-06 0.170176 0 0
0 0.5 0.34 -4.18475e-14 -8.35287e-06 0.160184 0 0
0 0.5 0.35 -3.52576e-14 -8.87193e-06 0.150193 0 0
0 0.5 0.36 -2.78793e-14 -9.39757e-06 0.140203 0 0
0 0.5 0.37 -1.97346e-14 -9.92037e-06 0.130215 0 0
0 0.5 0.38 -1.08011e-14 -1.04266e-05 0.120227 0 0
0 0.5 0.39 -1.98297e-15 -1.08971e-05 0.110242 0 0
0 0.5 0.4 6.52195e-15 -1.13079e-05 0.100257 0 0
0 0.5 0.41 1.27799e-14 -1.16331e-05 0.0902718 0 0
0 0.5 0.42 1.37942e-14 -1.18522e-05 0.0802858 0 0
0 0.5 0.43 9.38131e-15 -1.19614e-05 0.0702972 0 0
0 0.5 0.44 4.2044e-15 -1.19844e-05 0.0601075 0 1.1008
0 0.5 0.45 2.69542e-15 -1.19873e-05 0.0496916 0 1
0 0.5 0.46 1.18613e-15 -1.19892e-05 0.0397842 0 1
0 0.5 0.47 -3.12887e-16 -1.19903e-05 0.0298625 0 1
0 0.5 0.48 -1.80105e-15 -1.19907e-05 0.0199224 0 1
0 0.5 0.49 -3.27702e-15 -1.19909e-05 0.00996573 0 1
0 0.5 0.5 -4.7118e-15 -1.19909e-05 -2.30226e-08 0 1
0 0.5 0.51 -6.10629e-15 -1.19909e-05 -0.00996573 0 1
0 0.5 0.52 -7.47029e-15 -1.19907e-05 -0.0199224 0 1
0 0.5 0.53 -8.81459e-15 -1.19903e-05 -0.0298625 0 1
0 0.5 0.54 -1.01517e-14 -1.19892e-05 -0.0397842 0 1
0 0.5 0.55 -1.15128e-14 -1.19873e-05 -0.0496916 0 1
0 0.5 0.56 -1.29418e-14 -1.19844e-05 -0.0601075 0 1.1008
0 0.5 0.57 -2.57133e-14 -1.19614e-05 -0.0702972 0 0
0 0.5 0.58 -2.04398e-14 -1.18522e-05 -0.0802858 0 0
0 0.5 0.59 -8.03567e-15 -1.16331e-05 -0.0902718 0 0
0 0.5 0.6 3.99456e-15 -1.13079e-05 -0.100257 0 0
0 0.5 0.61 1.50858e-14 -1.08971e-05 -0.110242 0 0
0 0.5 0.62 2.45097e-14 -1.04266e-05 -0.120227 0 0
0 0.5 0.63 3.26799e-14 -9.92037e-06 -0.130215 0 0
0 0.5 0.64 4.05612e-14 -9.39757e-06 -0.140203 0 0
0 0.5 0.65 4.60987e-14 -8.87193e-06 -0.150193 0 0
0 0.5 0.66 5.14268e-14 -8.35287e-06 -0.160184 0 0
0 0.5 0.67 5.61366e-14 -7.84649e-06 -0.170176 0 0
0 0.5 0.68 6.0751e-14 -7.35652e-06 -0.180169 0 0
0 0.5 0.69 6.50302e-14 -6.88512e-06 -0.190163 0 0
0 0.5 0.7 6.88645e-14 -6.43331e-06 -0.200158 0 0
0 0.5 0.71 7.21289e-14 -6.00142e-06 -0.210154 0 0
0 0.5 0.72 7.52268e-14 -5.58931e-06 -0.22015 0 0
0 0.5 0.73 7.79314e-14 -5.19656e-06 -0.230146 0 0
0 0.5 0.74 8.01638e-14 -4.82254e-06 -0.240143 0 0
0 0.5 0.75 8.19497e-14 -4.46656e-06 -0.25014 0 0
0 0.5 0.76 8.35289e-14 -4.12785e-06 -0.260138 0 0
0 0.5 0.77 8.43607e-14 -3.80565e-06 -0.270136 0 0
0 0.5 0.78 8.45869e-14 -3.49922e-06 -0.280134 0 0
0 0.5 0.79 8.47467e-14 -3.20782e-06 -0.290133 0 0
0 0.5 0.8 8.46833e-14 -2.93079e-06 -0.300132 0 0
0 0.5 0.81 8.4207e-14 -2.66749e-06 -0.310131 0 0
0 0.5 0.82 8.33792e-14 -2.41736e-06 -0.32013 0 0
0 0.5 0.83 8.21157e-14 -2.17989e-06 -0.330129 0 0
0 0.5 0.84 8.02383e-14 -1.95463e-06 -0.340128 0 0
0 0.5 0.85 7.80669e-14 -1.74122e-06 -0.350128 0 0
0 0.5 0.86 7.54348e-14 -1.53936e-06 -0.360128 0 0
0 0.5 0.87 7.19499e-14 -1.34884e-06 -0.370128 0 0
0 0.5 0.88 6.80212e-14 -1.16951e-06 -0.380128 0 0
0 0.5 0.89 6.36186e-14 -1.00135e-06 -0.390128 0 0
0 0.5 0.9 5.87487e-14 -8.44418e-07 -0.400129 0 0
0 0.5 0.91 5.33585e-14 -6.98878e-07 -0.410129 0 0
0 0.5 0.92 4.83508e-14 -5.65021e-07 -0.42013 0 0
0 0.5 0.93 4.34929e-14 -4.43266e-07 -0.430131 0 0
0 0.5 0.94 3.7895e-14 -3.34176e-07 -0.440132 0 0
0 0.5 0.95 3.20362e-14 -2.38475e-07 -0.450133 0 0
0 0.5 0.96 2.59333e-14 -1.57068e-07 -0.460134 0 0
0 0.5 0.97 1.91342e-14 -9.10549e-08 -0.470136 0 0
0 0.5 0.98 1.16945e-14 -4.17704e-08 -0.480137 0 0
0 0.5 0.99 5.01863e-15 -1.07938e-08 -0.490139 0 0
0 0.5 1 0 0 -0.500141 0 0

