# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 0 0 0.500138 0 0
0 0.5 0.01 8.43944e-15 -1.04933e-08 0.490136 0 0
0 0.5 0.02 1.7081e-14 -4.05805e-08 0.480134 0 0
0 0.5 0.03 2.30304e-14 -8.84661e-08 0.470132 0 0
0 0.5 0.04 2.44387e-14 -1.52621e-07 0.460131 0 0
0 0.5 0.05 2.68502e-14 -2.31733e-07 0.450129 0 0
0 0.5 0.06 2.53891e-14 -3.24739e-07 0.440128 0 0
0 0.5 0.07 2.56364e-14 -4.30773e-07 0.430127 0 0
0 0.5 0.08 2.65696e-14 -5.49128e-07 0.420126 0 0
0 0.5 0.09 2.58184e-14 -6.79253e-07 0.410126 0 0
0 0.5 0.1 2.6749e-14 -8.20749e-07 0.400125 0 0
0 0.5 0.11 2.43297e-14 -9.7334e-07 0.390125 0 0
0 0.5 0.12 2.48872e-14 -1.13686e-06 0.380125 0 0
0 0.5 0.13 2.46682e-14 -1.31125e-06 0.370125 0 0
0 0.5 0.14 2.57536e-14 -1.49656e-06 0.360125 0 0
0 0.5 0.15 2.72787e-14 -1.69291e-06 0.350125 0 0
0 0.5 0.16 2.82081e-14 -1.90053e-06 0.340125 0 0
0 0.5 0.17 2.8845e-14 -2.11969e-06 0.330126 0 0
0 0.5 0.18 2.84386e-14 -2.35077e-06 0.320126 0 0
0 0.5 0.19 2.86267e-14 -2.59421e-06 0.310127 0 0
0 0.5 0.2 2.83357e-14 -2.85051e-06 0.300128 0 0
0 0.5 0.21 2.88852e-14 -3.12023e-06 0.290129 0 0
0 0.5 0.22 2.92391e-14 -3.40398e-06 0.280131 0 0
0 0.5 0.23 2.93617e-14 -3.70246e-06 0.270132 0 0
0 0.5 0.24 2.97816e-14 -4.01638e-06 0.260134 0 0
0 0.5 0.25 2.97789e-14 -4.34649e-06 0.250137 0 0
0 0.5 0.26 3.09495e-14 -4.69356e-06 0.240139 0 0
0 0.5 0.27 3.25726e-14 -5.05839e-06 0.230142 0 0
0 0.5 0.28 3.46611e-14 -5.44171e-06 0.220146 0 0
0 0.5 0.29 3.73187e-14 -5.84419e-06 0.210149 0 0
0 0.5 0.3 3.91338e-14 -6.26636e-06 0.200154 0 0
0 0.5 0.31 4.16683e-14 -6.70848e-06 0.190159 0 0
0 0.5 0.32 4.53933e-14 -7.17045e-06 0.180165 0 0
0 0.5 0.33 4.89646e-14 -7.65148e-06 0.170171 0 0
0 0.5 0.34 5.35505e-14 -8.14983e-06 0.160179 0 0
0 0.5 0.35 5.72311e-14 -8.66233e-06 0.150187 0 0
0 0.5 0.36 6.01362e-14 -9.18372e-06 0.140197 0 0
0 0.5 0.37 6.35389e-14 -9.70547e-06 0.130209 0 0
0 0.5 0.38 6.47288e-14 -1.02149e-05 0.120221 0 0
0 0.5 0.39 6.58611e-14 -1.06943e-05 0.110235 0 0
0 0.5 0.4 6.23508e-14 -1.11205e-05 0.10025 0 0
0 0.5 0.41 5.64192e-14 -1.14662e-05 0.090266 0 0
0 0.5 0.42 4.7479e-14 -1.17079e-05 0.0802808 0 0
0 0.5 0.43 2.35492e-14 -1.18355e-05 0.0702934 0 0
0 0.5 0.44 -1.59235e-15 -1.18666e-05 0.060245 0 0.7552
0 0.5 0.45 -1.41816e-16 -1.1871e-05 0.0495486 0 1
0 0.5 0.46 1.38779e-15 -1.18735e-05 0.0396738 0 1
0 0.5 0.47 2.90276e-15 -1.18748e-05 0.0297879 0 1
0 0.5 0.48 4.39502e-15 -1.18753e-05 0.0198783 0 1
0 0.5 0.49 5.92455e-15 -1.18755e-05 0.0099461 0 1
0 0.5 0.5 7.53128e-15 -1.18755e-05 -2.92453e-07 0 1
0 0.5 0.51 9.18276e-15 -1.18755e-05 -0.0099461 0 1
0 0.5 0.52 1.08566e-14 -1.18753e-05 -0.0198783 0 1
0 0.5 0.53 1.25957e-14 -1.18748e-05 -0.0297879 0 1
0 0.5 0.54 1.42894e-14 -1.18735e-05 -0.0396738 0 1
0 0.5 0.55 1.59205e-14 -1.1871e-05 -0.0495486 0 1
0 0.5 0.56 1.6874e-14 -1.18666e-05 -0.060245 0 0.7552
0 0.5 0.57 1.12441e-14 -1.18355e-05 -0.0702934 0 0
0 0.5 0.58 1.40376e-14 -1.17079e-05 -0.0802808 0 0
0 0.5 0.59 1.47838e-14 -1.14662e-05 -0.090266 0 0
0 0.5 0.6 1.53817e-14 -1.11205e-05 -0.10025 0 0
0 0.5 0.61 1.81228e-14 -1.06943e-05 -0.110235 0 0
0 0.5 0.62 2.20821e-14 -1.02149e-05 -0.120221 0 0
0 0.5 0.63 2.52054e-14 -9.70547e-06 -0.130209 0 0
0 0.5 0.64 2.82094e-14 -9.18372e-06 -0.140197 0 0
0 0.5 0.65 3.14093e-14 -8.66233e-06 -0.150187 0 0
0 0.5 0.66 3.36967e-14 -8.14983e-06 -0.160179 0 0
0 0.5 0.67 3.62436e-14 -7.65148e-06 -0.170171 0 0
0 0.5 0.68 3.77065e-14 -7.17045e-06 -0.180165 0 0
0 0.5 0.69 3.91446e-14 -6.70848e-06 -0.190159 0 0
0 0.5 0.7 3.98457e-14 -6.26636e-06 -0.200154 0 0
0 0.5 0.71 3.98276e-14 -5.84419e-06 -0.210149 0 0
0 0.5 0.72 4.04214e-14 -5.44171e-06 -0.220146 0 0
0 0.5 0.73 3.95402e-14 -5.05839e-06 -0.230142 0 0
0 0.5 0.74 3.98279e-14 -4.69356e-06 -0.240139 0 0
0 0.5 0.75 3.94179e-14 -4.34649e-06 -0.250137 0 0
0 0.5 0.76 3.96218e-14 -4.01638e-06 -0.260134 0 0
0 0.5 0.77 3.91295e-14 -3.70246e-06 -0.270132 0 0
0 0.5 0.78 3.8256e-14 -3.40398e-06 -0.280131 0 0
0 0.5 0.79 3.88094e-14 -3.12023e-06 -0.290129 0 0
0 0.5 0.8 3.76269e-14 -2.85051e-06 -0.300128 0 0
