# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 0 0 0.500142 0 0
0 0.5 0.01 2.34831e-15 -1.08365e-08 0.49014 0 0
0 0.5 0.02 3.94959e-15 -4.19357e-08 0.480138 0 0
0 0.5 0.03 5.01908e-15 -9.14156e-08 0.470136 0 0
0 0.5 0.04 5.66061e-15 -1.57691e-07 0.460135 0 0
0 0.5 0.05 5.97203e-15 -2.39422e-07 0.450133 0 0
0 0.5 0.06 6.03701e-15 -3.35505e-07 0.440132 0 0
0 0.5 0.07 5.90814e-15 -4.4503e-07 0.430131 0 0
0 0.5 0.08 5.62175e-15 -5.67273e-07 0.42013 0 0
0 0.5 0.09 5.22562e-15 -7.01668e-07 0.41013 0 0
0 0.5 0.1 4.80123e-15 -8.47793e-07 0.400129 0 0
0 0.5 0.11 4.30453e-15 -1.00536e-06 0.390129 0 0
0 0.5 0.12 3.79066e-15 -1.1742e-06 0.380129 0 0
0 0.5 0.13 3.2811e-15 -1.35425e-06 0.370128 0 0
0 0.5 0.14 2.78253e-15 -1.54555e-06 0.360128 0 0
0 0.5 0.15 2.27773e-15 -1.74823e-06 0.350129 0 0
0 0.5 0.16 1.80067e-15 -1.96251e-06 0.340129 0 0
0 0.5 0.17 1.38473e-15 -2.18869e-06 0.33013 0 0
0 0.5 0.18 9.77375e-16 -2.42714e-06 0.32013 0 0
0 0.5 0.19 5.70263e-16 -2.6783e-06 0.310131 0 0
0 0.5 0.2 2.14094e-16 -2.94269e-06 0.300132 0 0
0 0.5 0.21 -1.13542e-16 -3.22088e-06 0.290133 0 0
0 0.5 0.22 -4.13556e-16 -3.51349e-06 0.280135 0 0
0 0.5 0.23 -6.81861e-16 -3.82122e-06 0.270137 0 0
0 0.5 0.24 -9.18802e-16 -4.14478e-06 0.260139 0 0
0 0.5 0.25 -1.12835e-15 -4.48494e-06 0.250141 0 0
0 0.5 0.26 -1.33104e-15 -4.84246e-06 0.240144 0 0
0 0.5 0.27 -1.47908e-15 -5.2181e-06 0.230147 0 0
0 0.5 0.28 -1.59959e-15 -5.6126e-06 0.22015 0 0
0 0.5 0.29 -1.64698e-15 -6.02655e-06 0.210154 0 0
0 0.5 0.3 -1.64817e-15 -6.46042e-06 0.200159 0 0
0 0.5 0.31 -1.60265e-15 -6.91436e-06 0.190164 0 0
0 0.5 0.32 -1.52759e-15 -7.38806e-06 0.18017 0 0
0 0.5 0.33 -1.47384e-15 -7.88051e-06 0.170177 0 0
0 0.5 0.34 -1.46485e-15 -8.38959e-06 0.160185 0 0
0 0.5 0.35 -1.56101e-15 -8.91159e-06 0.150194 0 0
0 0.5 0.36 -1.84784e-15 -9.44045e-06 0.140204 0 0
0 0.5 0.37 -2.54105e-15 -9.96676e-06 0.130215 0 0
0 0.5 0.38 -3.91402e-15 -1.04768e-05 0.120228 0 0
0 0.5 0.39 -6.11834e-15 -1.09513e-05 0.110243 0 0
0 0.5 0.4 -9.10164e-15 -1.13661e-05 0.100258 0 0
0 0.5 0.41 -1.22206e-14 -1.16949e-05 0.0902732 0 0
0 0.5 0.42 -1.24196e-14 -1.19166e-05 0.0802873 0 0
0 0.5 0.43 -2.71081e-15 -1.2027e-05 0.0702988 0 0
0 0.5 0.44 1.8881e-14 -1.20499e-05 0.0595372 0 1.1008
0 0.5 0.45 1.745e-14 -1.20523e-05 0.0497739 0 1
0 0.5 0.46 1.60075e-14 -1.2054e-05 0.0398461 0 1
0 0.5 0.47 1.45569e-14 -1.20549e-05 0.0299041 0 1
0 0.5 0.48 1.30892e-14 -1.20554e-05 0.0199468 0 1
0 0.5 0.49 1.16105e-14 -1.20555e-05 0.00997675 0 1
0 0.5 0.5 1.01281e-14 -1.20556e-05 -1.7107e-08 0 1
0 0.5 0.51 8.64596e-15 -1.20555e-05 -0.00997675 0 1
0 0.5 0.52 7.16354e-15 -1.20554e-05 -0.0199468 0 1
0 0.5 0.53 5.69173e-15 -1.20549e-05 -0.0299041 0 1
0 0.5 0.54 4.23558e-15 -1.2054e-05 -0.0398461 0 1
0 0.5 0.55 2.8046e-15 -1.20523e-05 -0.0497739 0 1
0 0.5 0.56 1.40141e-15 -1.20499e-05 -0.0595372 0 1.1008
0 0.5 0.57 2.31349e-14 -1.2027e-05 -0.0702988 0 0
0 0.5 0.58 3.51298e-14 -1.19166e-05 -0.0802873 0 0
0 0.5 0.59 3.68543e-14 -1.16949e-05 -0.0902732 0 0
0 0.5 0.6 3.43461e-14 -1.13661e-05 -0.100258 0 0
0 0.5 0.61 3.10743e-14 -1.09513e-05 -0.110243 0 0
0 0.5 0.62 2.80904e-14 -1.04768e-05 -0.120228 0 0
0 0.5 0.63 2.59044e-14 -9.96676e-06 -0.130215 0 0
0 0.5 0.64 2.44695e-14 -9.44045e-06 -0.140204 0 0
0 0.5 0.65 2.28801e-14 -8.91159e-06 -0.150194 0 0
0 0.5 0.66 2.17132e-14 -8.38959e-06 -0.160185 0 0
0 0.5 0.67 2.0751e-14 -7.88051e-06 -0.170177 0 0
0 0.5 0.68 1.98254e-14 -7.38806e-06 -0.18017 0 0
0 0.5 0.69 1.89794e-14 -6.91436e-06 -0.190164 0 0
0 0.5 0.7 1.82306e-14 -6.46042e-06 -0.200159 0 0
0 0.5 0.71 1.75292e-14 -6.02655e-06 -0.210154 0 0
0 0.5 0.72 1.68419e-14 -5.6126e-06 -0.22015 0 0
0 0.5 0.73 1.62211e-14 -5.2181e-06 -0.230147 0 0
0 0.5 0.74 1.56224e-14 -4.84246e-06 -0.240144 0 0
0 0.5 0.75 1.48535e-14 -4.48494e-06 -0.250141 0 0
0 0.5 0.76 1.40446e-14 -4.14478e-06 -0.260139 0 0
0 0.5 0.77 1.33753e-14 -3.82122e-06 -0.270137 0 0
0 0.5 0.78 1.28048e-14 -3.51349e-06 -0.280135 0 0
0 0.5 0.79 1.21627e-14 -3.22088e-06 -0.290133 0 0
0 0.5 0.8 1.15687e-14 -2.94269e-06 -0.300132 0 0
0 0.5 0.81 1.09356e-14 -2.6783e-06 -0.310131 0 0
0 0.5 0.82 1.02705e-14 -2.42714e-06 -0.32013 0 0
0 0.5 0.83 9.59541e-15 -2.18869e-06 -0.33013 0 0
0 0.5 0.84 8.89086e-15 -1.96251e-06 -0.340129 0 0
0 0.5 0.85 8.11254e-15 -1.74823e-06 -0.350129 0 0
0 0.5 0.86 7.2814e-15 -1.54555e-06 -0.360128 0 0
0 0.5 0.87 6.45334e-15 -1.35425e-06 -0.370128 0 0
0 0.5 0.88 5.5774e-15 -1.1742e-06 -0.380129 0 0
0 0.5 0.89 4.66592e-15 -1.00536e-06 -0.390129 0 0
0 0.5 0.9 3.74127e-15 -8.47793e-07 -0.400129 0 0
0 0.5 0.91 2.81279e-15 -7.01668e-07 -0.41013 0 0
0 0.5 0.92 1.86667e-15 -5.67273e-07 -0.42013 0 0
0 0.5 0.93 9.4671e-16 -4.4503e-07 -0.430131 0 0
0 0.5 0.94 1.28234e-16 -3.35505e-07 -0.440132 0 0
0 0.5 0.95 -6.05744e-16 -2.39422e-07 -0.450133 0 0
0 0.5 0.96 -1.20832e-15 -1.57691e-07 -0.460135 0 0
0 0.5 0.97 -1.56516e-15 -9.14156e-08 -0.470136 0 0
0 0.5 0.98 -1.56433e-15 -4.19357e-08 -0.480138 0 0
0 0.5 0.99 -1.14238e-15 -1.08365e-08 -0.49014 0 0
0 0.5 1 0 0 -0.500142 0 0

