# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 0 0 0.500125 0 0
0 0.5 0.01 -6.84853e-15 -9.51843e-09 0.490123 0 0
0 0.5 0.02 -1.48471e-14 -3.70291e-08 0.480122 0 0
0 0.5 0.03 -2.45585e-14 -8.06042e-08 0.47012 0 0
0 0.5 0.04 -3.26718e-14 -1.39085e-07 0.460119 0 0
0 0.5 0.05 -4.04514e-14 -2.11211e-07 0.450118 0 0
0 0.5 0.06 -4.70794e-14 -2.95912e-07 0.440117 0 0
0 0.5 0.07 -5.42067e-14 -3.92541e-07 0.430116 0 0
0 0.5 0.08 -6.17249e-14 -5.00365e-07 0.420115 0 0
0 0.5 0.09 -6.82879e-14 -6.18879e-07 0.410114 0 0
0 0.5 0.1 -7.35502e-14 -7.47768e-07 0.400114 0 0
0 0.5 0.11 -7.88056e-14 -8.86731e-07 0.390113 0 0
0 0.5 0.12 -8.43923e-14 -1.03563e-06 0.380113 0 0
0 0.5 0.13 -8.99524e-14 -1.19441e-06 0.370113 0 0
0 0.5 0.14 -9.51631e-14 -1.36312e-06 0.360113 0 0
0 0.5 0.15 -9.84333e-14 -1.54185e-06 0.350113 0 0
0 0.5 0.16 -1.02431e-13 -1.73079e-06 0.340114 0 0
0 0.5 0.17 -1.07665e-13 -1.93025e-06 0.330114 0 0
0 0.5 0.18 -1.12342e-13 -2.14049e-06 0.320115 0 0
0 0.5 0.19 -1.1539e-13 -2.36193e-06 0.310116 0 0
0 0.5 0.2 -1.17177e-13 -2.59507e-06 0.300117 0 0
0 0.5 0.21 -1.1991e-13 -2.8403e-06 0.290118 0 0
0 0.5 0.22 -1.23822e-13 -3.09827e-06 0.280119 0 0
0 0.5 0.23 -1.28082e-13 -3.36955e-06 0.270121 0 0
0 0.5 0.24 -1.31504e-13 -3.65472e-06 0.260122 0 0
0 0.5 0.25 -1.33983e-13 -3.95458e-06 0.250124 0 0
0 0.5 0.26 -1.35391e-13 -4.26963e-06 0.240127 0 0
0 0.5 0.27 -1.37595e-13 -4.60061e-06 0.23013 0 0
0 0.5 0.28 -1.42399e-13 -4.94823e-06 0.220133 0 0
0 0.5 0.29 -1.45287e-13 -5.31282e-06 0.210136 0 0
0 0.5 0.3 -1.47465e-13 -5.69492e-06 0.20014 0 0
0 0.5 0.31 -1.48532e-13 -6.09455e-06 0.190145 0 0
0 0.5 0.32 -1.5067e-13 -6.51138e-06 0.18015 0 0
0 0.5 0.33 -1.56969e-13 -6.94463e-06 0.170156 0 0
0 0.5 0.34 -1.61813e-13 -7.39184e-06 0.160163 0 0
0 0.5 0.35 -1.66628e-13 -7.85042e-06 0.150171 0 0
0 0.5 0.36 -1.70209e-13 -8.31429e-06 0.14018 0 0
0 0.5 0.37 -1.74916e-13 -8.77456e-06 0.13019 0 0
0 0.5 0.38 -1.81529e-13 -9.22097e-06 0.120202 0 0
0 0.5 0.39 -1.88981e-13 -9.63297e-06 0.110214 0 0
0 0.5 0.4 -1.9548e-13 -9.99315e-06 0.100227 0 0
0 0.5 0.41 -2.02691e-13 -1.02775e-05 0.0902399 0 0
0 0.5 0.42 -2.10785e-13 -1.04676e-05 0.0802525 0 0
0 0.5 0.43 -2.21172e-13 -1.05636e-05 0.0702612 0 0
0 0.5 0.44 -2.23311e-13 -1.05838e-05 0.0600449 0 0.4288
0 0.5 0.45 -2.12135e-13 -1.05866e-05 0.0495217 0 1.12
0 0.5 0.46 -2.0082e-13 -1.05883e-05 0.0398048 0 1
0 0.5 0.47 -1.89552e-13 -1.05893e-05 0.0298765 0 1
0 0.5 0.48 -1.78263e-13 -1.05897e-05 0.019927 0 1
0 0.5 0.49 -1.67005e-13 -1.05899e-05 0.00996822 0 1
0 0.5 0.5 -1.55807e-13 -1.05899e-05 -1.52194e-06 0 1
0 0.5 0.51 -1.44602e-13 -1.05899e-05 -0.00996822 0 1
0 0.5 0.52 -1.33396e-13 -1.05897e-05 -0.019927 0 1
0 0.5 0.53 -1.22192e-13 -1.05893e-05 -0.0298765 0 1
0 0.5 0.54 -1.10898e-13 -1.05883e-05 -0.0398048 0 1
0 0.5 0.55 -9.96719e-14 -1.05866e-05 -0.0495217 0 1.12
0 0.5 0.56 -8.83974e-14 -1.05838e-05 -0.0600449 0 0.4288
