# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 0 0 0.500131 0 0
0 0.5 0.01 3.17015e-15 -9.93547e-09 0.490129 0 0
0 0.5 0.02 3.51578e-15 -3.86647e-08 0.480127 0 0
0 0.5 0.03 2.19362e-15 -8.41719e-08 0.470126 0 0
0 0.5 0.04 3.55275e-15 -1.45237e-07 0.460124 0 0
0 0.5 0.05 2.66918e-15 -2.20561e-07 0.450123 0 0
0 0.5 0.06 -1.29723e-16 -3.09017e-07 0.440122 0 0
0 0.5 0.07 -4.26783e-15 -4.09932e-07 0.430121 0 0
0 0.5 0.08 -7.76726e-15 -5.22546e-07 0.42012 0 0
0 0.5 0.09 -1.01584e-14 -6.46325e-07 0.41012 0 0
0 0.5 0.1 -1.28834e-14 -7.80946e-07 0.400119 0 0
0 0.5 0.11 -1.53094e-14 -9.26093e-07 0.390119 0 0
0 0.5 0.12 -1.79234e-14 -1.08163e-06 0.380118 0 0
0 0.5 0.13 -1.98694e-14 -1.24749e-06 0.370118 0 0
0 0.5 0.14 -1.95235e-14 -1.42372e-06 0.360118 0 0
0 0.5 0.15 -2.08862e-14 -1.61044e-06 0.350119 0 0
0 0.5 0.16 -2.22628e-14 -1.80783e-06 0.340119 0 0
0 0.5 0.17 -2.44692e-14 -2.01621e-06 0.330119 0 0
0 0.5 0.18 -2.65177e-14 -2.23587e-06 0.32012 0 0
0 0.5 0.19 -2.54192e-14 -2.46724e-06 0.310121 0 0
0 0.5 0.2 -2.53971e-14 -2.71085e-06 0.300122 0 0
0 0.5 0.21 -2.42549e-14 -2.96712e-06 0.290123 0 0
0 0.5 0.22 -2.48207e-14 -3.23671e-06 0.280124 0 0
0 0.5 0.23 -2.62609e-14 -3.52026e-06 0.270126 0 0
0 0.5 0.24 -2.63669e-14 -3.81834e-06 0.260128 0 0
0 0.5 0.25 -2.36925e-14 -4.13178e-06 0.25013 0 0
0 0.5 0.26 -2.17764e-14 -4.46122e-06 0.240133 0 0
0 0.5 0.27 -2.31896e-14 -4.80734e-06 0.230135 0 0
0 0.5 0.28 -2.23276e-14 -5.17091e-06 0.220139 0 0
0 0.5 0.29 -2.47894e-14 -5.5524e-06 0.210142 0 0
0 0.5 0.3 -2.24838e-14 -5.95231e-06 0.200146 0 0
0 0.5 0.31 -2.02415e-14 -6.37075e-06 0.190151 0 0
0 0.5 0.32 -2.08929e-14 -6.8075e-06 0.180157 0 0
