# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 0 0 0.500143 0 0
0 0.5 0.01 2.3953e-15 -1.09301e-08 0.490141 0 0
0 0.5 0.02 4.64658e-15 -4.22958e-08 0.480139 0 0
0 0.5 0.03 6.7558e-15 -9.22022e-08 0.470137 0 0
0 0.5 0.04 8.7473e-15 -1.59045e-07 0.460136 0 0
0 0.5 0.05 1.06087e-14 -2.41479e-07 0.450134 0 0
0 0.5 0.06 1.23399e-14 -3.38386e-07 0.440133 0 0
0 0.5 0.07 1.39626e-14 -4.48852e-07 0.430132 0 0
0 0.5 0.08 1.54898e-14 -5.72142e-07 0.420131 0 0
0 0.5 0.09 1.69223e-14 -7.07688e-07 0.410131 0 0
0 0.5 0.1 1.82572e-14 -8.55064e-07 0.40013 0 0
0 0.5 0.11 1.94972e-14 -1.01398e-06 0.39013 0 0
0 0.5 0.12 2.06441e-14 -1.18426e-06 0.38013 0 0
0 0.5 0.13 2.17062e-14 -1.36585e-06 0.370129 0 0
0 0.5 0.14 2.26897e-14 -1.55879e-06 0.36013 0 0
0 0.5 0.15 2.35948e-14 -1.7632e-06 0.35013 0 0
0 0.5 0.16 2.44193e-14 -1.9793e-06 0.34013 0 0
0 0.5 0.17 2.51681e-14 -2.20741e-06 0.330131 0 0
0 0.5 0.18 2.58451e-14 -2.44788e-06 0.320131 0 0
0 0.5 0.19 2.64604e-14 -2.70118e-06 0.310132 0 0
0 0.5 0.2 2.70199e-14 -2.96781e-06 0.300133 0 0
0 0.5 0.21 2.75302e-14 -3.24836e-06 0.290135 0 0
0 0.5 0.22 2.80011e-14 -3.54345e-06 0.280136 0 0
0 0.5 0.23 2.84503e-14 -3.85378e-06 0.270138 0 0
0 0.5 0.24 2.88985e-14 -4.18007e-06 0.26014 0 0
0 0.5 0.25 2.93407e-14 -4.52308e-06 0.250142 0 0
0 0.5 0.26 2.97558e-14 -4.8836e-06 0.240145 0 0
0 0.5 0.27 3.01788e-14 -5.26239e-06 0.230148 0 0
0 0.5 0.28 3.06333e-14 -5.66016e-06 0.220152 0 0
0 0.5 0.29 3.11287e-14 -6.07754e-06 0.210156 0 0
0 0.5 0.3 3.16957e-14 -6.51498e-06 0.20016 0 0
0 0.5 0.31 3.23643e-14 -6.97262e-06 0.190166 0 0
0 0.5 0.32 3.31498e-14 -7.45014e-06 0.180172 0 0
0 0.5 0.33 3.40996e-14 -7.94649e-06 0.170178 0 0
0 0.5 0.34 3.52092e-14 -8.45953e-06 0.160186 0 0
0 0.5 0.35 3.64749e-14 -8.98549e-06 0.150195 0 0
0 0.5 0.36 3.78535e-14 -9.51821e-06 0.140206 0 0
0 0.5 0.37 3.92672e-14 -1.00482e-05 0.130217 0 0
0 0.5 0.38 4.05163e-14 -1.05615e-05 0.12023 0 0
0 0.5 0.39 4.12005e-14 -1.10388e-05 0.110245 0 0
0 0.5 0.4 4.05585e-14 -1.14557e-05 0.10026 0 0
0 0.5 0.41 3.72796e-14 -1.17858e-05 0.0902754 0 0
0 0.5 0.42 2.9449e-14 -1.20083e-05 0.0802897 0 0
0 0.5 0.43 1.47304e-14 -1.2119e-05 0.0703011 0 0
0 0.5 0.44 -1.36916e-15 -1.21421e-05 0.0598557 0 1
