# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 0 0 0.500117 0 0
0 0.5 0.01 -8.50423e-15 -9.06014e-09 0.490115 0 0
0 0.5 0.02 -1.70757e-14 -3.37864e-08 0.480114 0 0
0 0.5 0.03 -2.57145e-14 -7.41788e-08 0.470112 0 0
0 0.5 0.04 -4.09658e-14 -1.28489e-07 0.460111 0 0
0 0.5 0.05 -5.7508e-14 -1.94764e-07 0.45011 0 0
0 0.5 0.06 -7.44253e-14 -2.73023e-07 0.440109 0 0
0 0.5 0.07 -8.67438e-14 -3.62516e-07 0.430108 0 0
0 0.5 0.08 -1.00748e-13 -4.62041e-07 0.420108 0 0
0 0.5 0.09 -1.18521e-13 -5.71604e-07 0.410107 0 0
0 0.5 0.1 -1.27879e-13 -6.90922e-07 0.400107 0 0
0 0.5 0.11 -1.35014e-13 -8.19487e-07 0.390106 0 0
0 0.5 0.12 -1.47539e-13 -9.57328e-07 0.380106 0 0
0 0.5 0.13 -1.6596e-13 -1.10436e-06 0.370106 0 0
0 0.5 0.14 -1.86313e-13 -1.26069e-06 0.360106 0 0
0 0.5 0.15 -2.06768e-13 -1.42641e-06 0.350106 0 0
0 0.5 0.16 -2.25624e-13 -1.60153e-06 0.340106 0 0
0 0.5 0.17 -2.40601e-13 -1.78659e-06 0.330107 0 0
0 0.5 0.18 -2.54011e-13 -1.98188e-06 0.320107 0 0
0 0.5 0.19 -2.64657e-13 -2.1874e-06 0.310108 0 0
0 0.5 0.2 -2.71356e-13 -2.404e-06 0.300109 0 0
0 0.5 0.21 -2.78416e-13 -2.63227e-06 0.29011 0 0
0 0.5 0.22 -2.85996e-13 -2.87218e-06 0.280111 0 0
0 0.5 0.23 -2.96141e-13 -3.1247e-06 0.270112 0 0
0 0.5 0.24 -3.08576e-13 -3.39084e-06 0.260114 0 0
0 0.5 0.25 -3.23302e-13 -3.6706e-06 0.250116 0 0
0 0.5 0.26 -3.41244e-13 -3.96475e-06 0.240118 0 0
0 0.5 0.27 -3.55155e-13 -4.27478e-06 0.230121 0 0
0 0.5 0.28 -3.65033e-13 -4.6007e-06 0.220123 0 0
0 0.5 0.29 -3.78916e-13 -4.94311e-06 0.210126 0 0
0 0.5 0.3 -3.91434e-13 -5.30361e-06 0.20013 0 0
0 0.5 0.31 -4.01537e-13 -5.68227e-06 0.190134 0 0
0 0.5 0.32 -4.11959e-13 -6.07887e-06 0.180139 0 0
0 0.5 0.33 -4.26188e-13 -6.4931e-06 0.170145 0 0
0 0.5 0.34 -4.44069e-13 -6.92497e-06 0.16015 0 0
0 0.5 0.35 -4.74043e-13 -7.37466e-06 0.150158 0 0
0 0.5 0.36 -4.98524e-13 -7.83643e-06 0.140166 0 0
0 0.5 0.37 -5.0917e-13 -8.30882e-06 0.130175 0 0
0 0.5 0.38 -5.26854e-13 -8.78862e-06 0.120186 0 0
0 0.5 0.39 -5.43188e-13 -9.24227e-06 0.1102 0 0
0 0.5 0.4 -5.345e-13 -9.66183e-06 0.100214 0 0
0 0.5 0.41 -5.00011e-13 -1.00439e-05 0.0902263 0 0
0 0.5 0.42 -4.48878e-13 -1.03595e-05 0.0802372 0 0
0 0.5 0.43 -3.868e-13 -1.06023e-05 0.070248 0 0
0 0.5 0.44 -3.14697e-13 -1.0737e-05 0.0602059 0 0.2272
0 0.5 0.45 -2.43188e-13 -1.07462e-05 0.0500049 0 0.88
