# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 0 0 0.500142 0 0
0 0.5 0.01 -2.27017e-15 -1.08327e-08 0.49014 0 0
0 0.5 0.02 -3.85731e-15 -4.19214e-08 0.480138 0 0
0 0.5 0.03 -4.94996e-15 -9.13848e-08 0.470136 0 0
0 0.5 0.04 -5.63031e-15 -1.57638e-07 0.460135 0 0
0 0.5 0.05 -6.01432e-15 -2.39344e-07 0.450133 0 0
0 0.5 0.06 -6.05235e-15 -3.35397e-07 0.440132 0 0
0 0.5 0.07 -6.03306e-15 -4.44889e-07 0.430131 0 0
0 0.5 0.08 -5.83094e-15 -5.67096e-07 0.42013 0 0
0 0.5 0.09 -5.41152e-15 -7.01452e-07 0.41013 0 0
0 0.5 0.1 -5.19557e-15 -8.47537e-07 0.400129 0 0
0 0.5 0.11 -4.73579e-15 -1.00506e-06 0.390129 0 0
0 0.5 0.12 -4.29314e-15 -1.17386e-06 0.380129 0 0
0 0.5 0.13 -4.1129e-15 -1.35386e-06 0.370128 0 0
0 0.5 0.14 -3.75929e-15 -1.54512e-06 0.360128 0 0
0 0.5 0.15 -3.59329e-15 -1.74775e-06 0.350129 0 0
0 0.5 0.16 -3.65985e-15 -1.96199e-06 0.340129 0 0
0 0.5 0.17 -3.67002e-15 -2.18812e-06 0.33013 0 0
0 0.5 0.18 -4.04237e-15 -2.42652e-06 0.32013 0 0
0 0.5 0.19 -4.51437e-15 -2.67764e-06 0.310131 0 0
0 0.5 0.2 -5.24125e-15 -2.94198e-06 0.300132 0 0
0 0.5 0.21 -6.21211e-15 -3.22013e-06 0.290133 0 0
0 0.5 0.22 -7.52799e-15 -3.51271e-06 0.280135 0 0
0 0.5 0.23 -9.10086e-15 -3.8204e-06 0.270137 0 0
0 0.5 0.24 -1.10366e-14 -4.14394e-06 0.260139 0 0
0 0.5 0.25 -1.3411e-14 -4.48408e-06 0.250141 0 0
0 0.5 0.26 -1.62109e-14 -4.8416e-06 0.240144 0 0
0 0.5 0.27 -1.94871e-14 -5.21726e-06 0.230147 0 0
0 0.5 0.28 -2.33341e-14 -5.61179e-06 0.22015 0 0
0 0.5 0.29 -2.78139e-14 -6.02582e-06 0.210154 0 0
0 0.5 0.3 -3.30123e-14 -6.45979e-06 0.200159 0 0
0 0.5 0.31 -3.89368e-14 -6.9139e-06 0.190164 0 0
0 0.5 0.32 -4.58937e-14 -7.38783e-06 0.18017 0 0
0 0.5 0.33 -5.37983e-14 -7.88061e-06 0.170177 0 0
0 0.5 0.34 -6.28783e-14 -8.39017e-06 0.160185 0 0
0 0.5 0.35 -7.31543e-14 -8.91282e-06 0.150194 0 0
0 0.5 0.36 -8.45334e-14 -9.44256e-06 0.140204 0 0
0 0.5 0.37 -9.66898e-14 -9.97006e-06 0.130215 0 0
0 0.5 0.38 -1.08448e-13 -1.04816e-05 0.120228 0 0
0 0.5 0.39 -1.17935e-13 -1.0958e-05 0.110243 0 0
0 0.5 0.4 -1.21226e-13 -1.13752e-05 0.100258 0 0
0 0.5 0.41 -1.11661e-13 -1.17063e-05 0.0902733 0 0
0 0.5 0.42 -7.91542e-14 -1.19301e-05 0.0802876 0 0
0 0.5 0.43 -1.10076e-14 -1.20418e-05 0.0702992 0 0
0 0.5 0.44 6.82257e-14 -1.2065e-05 0.0597574 0 1.1008
0 0.5 0.45 5.61981e-14 -1.20675e-05 0.0497559 0 1
0 0.5 0.46 4.41653e-14 -1.20691e-05 0.0398426 0 1
0 0.5 0.47 3.2117e-14 -1.20701e-05 0.0299018 0 1
