# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 0 0 0.500135 0 0
0 0.5 0.01 9.90097e-15 -1.02916e-08 0.490133 0 0
0 0.5 0.02 2.02691e-14 -3.97988e-08 0.480131 0 0
0 0.5 0.03 2.97101e-14 -8.67588e-08 0.470129 0 0
0 0.5 0.04 4.05122e-14 -1.49669e-07 0.460128 0 0
0 0.5 0.05 5.01805e-14 -2.27241e-07 0.450127 0 0
0 0.5 0.06 6.03821e-14 -3.1843e-07 0.440125 0 0
0 0.5 0.07 6.93995e-14 -4.22385e-07 0.430125 0 0
0 0.5 0.08 7.8406e-14 -5.38411e-07 0.420124 0 0
0 0.5 0.09 8.69288e-14 -6.65965e-07 0.410123 0 0
0 0.5 0.1 9.5171e-14 -8.04656e-07 0.400123 0 0
0 0.5 0.11 1.04266e-13 -9.54208e-07 0.390122 0 0
0 0.5 0.12 1.11846e-13 -1.11446e-06 0.380122 0 0
0 0.5 0.13 1.20369e-13 -1.28535e-06 0.370122 0 0
0 0.5 0.14 1.2815e-13 -1.46692e-06 0.360122 0 0
0 0.5 0.15 1.35516e-13 -1.65929e-06 0.350122 0 0
0 0.5 0.16 1.43727e-13 -1.86267e-06 0.340122 0 0
0 0.5 0.17 1.51175e-13 -2.07734e-06 0.330123 0 0
0 0.5 0.18 1.58943e-13 -2.30366e-06 0.320124 0 0
0 0.5 0.19 1.66958e-13 -2.54205e-06 0.310124 0 0
0 0.5 0.2 1.747e-13 -2.79299e-06 0.300125 0 0
0 0.5 0.21 1.83009e-13 -3.05703e-06 0.290127 0 0
0 0.5 0.22 1.91408e-13 -3.33476e-06 0.280128 0 0
0 0.5 0.23 1.99829e-13 -3.62684e-06 0.27013 0 0
0 0.5 0.24 2.09389e-13 -3.93395e-06 0.260132 0 0
0 0.5 0.25 2.19019e-13 -4.25681e-06 0.250134 0 0
0 0.5 0.26 2.29352e-13 -4.59615e-06 0.240136 0 0
0 0.5 0.27 2.39936e-13 -4.9527e-06 0.230139 0 0
0 0.5 0.28 2.51674e-13 -5.32715e-06 0.220143 0 0
0 0.5 0.29 2.64211e-13 -5.72007e-06 0.210146 0 0
0 0.5 0.3 2.77411e-13 -6.13189e-06 0.200151 0 0
0 0.5 0.31 2.9232e-13 -6.56278e-06 0.190156 0 0
0 0.5 0.32 3.078e-13 -7.01243e-06 0.180161 0 0
0 0.5 0.33 3.25011e-13 -7.47991e-06 0.170168 0 0
0 0.5 0.34 3.43557e-13 -7.96317e-06 0.160175 0 0
0 0.5 0.35 3.64315e-13 -8.45872e-06 0.150184 0 0
0 0.5 0.36 3.86556e-13 -8.9609e-06 0.140194 0 0
0 0.5 0.37 4.10865e-13 -9.46067e-06 0.130205 0 0
0 0.5 0.38 4.36905e-13 -9.9449e-06 0.120217 0 0
0 0.5 0.39 4.61572e-13 -1.03956e-05 0.11023 0 0
0 0.5 0.4 4.86636e-13 -1.07899e-05 0.100245 0 0
0 0.5 0.41 5.05794e-13 -1.11023e-05 0.0902592 0 0
0 0.5 0.42 5.17225e-13 -1.13131e-05 0.0802727 0 0
0 0.5 0.43 5.14409e-13 -1.1418e-05 0.0702838 0 0
0 0.5 0.44 4.75846e-13 -1.14403e-05 0.0600256 0 0.7552
0 0.5 0.45 3.92957e-13 -1.14429e-05 0.0496932 0 1
0 0.5 0.46 3.10077e-13 -1.14445e-05 0.0398217 0 1
0 0.5 0.47 2.27245e-13 -1.14454e-05 0.0298962 0 1
0 0.5 0.48 1.443e-13 -1.14459e-05 0.0199387 0 1
0 0.5 0.49 6.14144e-14 -1.14461e-05 0.00997347 0 1
0 0.5 0.5 -2.14334e-14 -1.14461e-05 3.56237e-12 0 1
0 0.5 0.51 -1.04305e-13 -1.14461e-05 -0.00997347 0 1
0 0.5 0.52 -1.87117e-13 -1.14459e-05 -0.0199387 0 1
0 0.5 0.53 -2.69976e-13 -1.14454e-05 -0.0298962 0 1
0 0.5 0.54 -3.5278e-13 -1.14445e-05 -0.0398217 0 1
0 0.5 0.55 -4.35603e-13 -1.14429e-05 -0.0496932 0 1
0 0.5 0.56 -5.18416e-13 -1.14403e-05 -0.0600256 0 0.7552
0 0.5 0.57 -5.39768e-13 -1.1418e-05 -0.0702838 0 0
0 0.5 0.58 -5.28812e-13 -1.13131e-05 -0.0802727 0 0
0 0.5 0.59 -5.09735e-13 -1.11023e-05 -0.0902592 0 0
0 0.5 0.6 -4.8759e-13 -1.07899e-05 -0.100245 0 0
