# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 1.47338e-12 0 0.503213 0 0
0 0.5 0.1 1.59123e-12 -6.49317e-06 0.402638 0 0
0 0.5 0.2 1.9985e-12 -1.41373e-05 0.302091 0 0
0 0.5 0.3 3.00422e-12 -2.36568e-05 0.201609 0 0
0 0.5 0.4 4.10896e-12 -2.91777e-05 0.10063 0 1
0 0.5 0.5 6.6993e-14 -2.91904e-05 1.43784e-11 0 1
0 0.5 0.6 -3.97594e-12 -2.91777e-05 -0.10063 0 1
0 0.5 0.7 -3.06466e-12 -2.36568e-05 -0.201609 0 0
0 0.5 0.8 -2.04772e-12 -1.41373e-05 -0.302091 0 0
0 0.5 0.9 -1.6296e-12 -6.49317e-06 -0.402638 0 0
0 0.5 1 -1.51808e-12 0 -0.503213 0 0

