# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 -1.41901e-13 0 0.500282 0 0
0 0.5 0.0625 -1.41527e-13 -3.98895e-06 0.437786 0 0
0 0.5 0.125 -1.39872e-13 -8.2657e-06 0.375299 0 0
0 0.5 0.1875 -1.36246e-13 -1.31116e-05 0.312823 0 0
0 0.5 0.25 -1.281e-13 -1.87486e-05 0.250368 0 0
0 0.5 0.3125 -1.08641e-13 -2.50376e-05 0.187951 0 0
0 0.5 0.375 -2.57e-14 -2.94822e-05 0.12563 0 0
0 0.5 0.4375 -1.84469e-14 -2.94981e-05 0.0625248 0 1
0 0.5 0.5 -1.8256e-14 -2.95027e-05 -4.17234e-11 0 1
0 0.5 0.5625 -1.81925e-14 -2.94981e-05 -0.0625248 0 1
0 0.5 0.625 -1.27681e-14 -2.94822e-05 -0.12563 0 0
0 0.5 0.6875 8.08683e-14 -2.50376e-05 -0.187951 0 0
0 0.5 0.75 1.12487e-13 -1.87486e-05 -0.250368 0 0
0 0.5 0.8125 1.25748e-13 -1.31116e-05 -0.312823 0 0
0 0.5 0.875 1.32544e-13 -8.2657e-06 -0.375299 0 0
0 0.5 0.9375 1.35353e-13 -3.98895e-06 -0.437786 0 0
0 0.5 1 1.36959e-13 0 -0.500282 0 0

