# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 -8.32564e-13 0 0.50027 0 0
0 0.5 0.0625 -8.35586e-13 -3.76601e-06 0.437774 0 0
0 0.5 0.125 -8.69848e-13 -7.76119e-06 0.375286 0 0
0 0.5 0.1875 -8.70631e-13 -1.2171e-05 0.31281 0 0
0 0.5 0.25 -9.21731e-13 -1.7003e-05 0.250354 0 0
0 0.5 0.3125 -9.19557e-13 -2.16619e-05 0.187914 0 0
0 0.5 0.375 -8.14568e-13 -2.393e-05 0.125547 0 0
0 0.5 0.4375 -2.74078e-13 -2.39644e-05 0.0615225 0 1
0 0.5 0.5 2.60195e-13 -2.3974e-05 -4.22981e-11 0 1
0 0.5 0.5625 7.91594e-13 -2.39644e-05 -0.0615225 0 1
0 0.5 0.625 1.32243e-12 -2.393e-05 -0.125547 0 0
0 0.5 0.6875 1.29195e-12 -2.16619e-05 -0.187914 0 0
0 0.5 0.75 1.30339e-12 -1.7003e-05 -0.250354 0 0
0 0.5 0.8125 1.31005e-12 -1.2171e-05 -0.31281 0 0
0 0.5 0.875 1.27942e-12 -7.76119e-06 -0.375286 0 0
0 0.5 0.9375 1.23247e-12 -3.76601e-06 -0.437774 0 0
0 0.5 1 1.3009e-12 0 -0.50027 0 0

