# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 -5.50459e-14 0 0.500282 0 0
0 0.5 0.0625 -5.68023e-14 -3.99398e-06 0.437786 0 0
0 0.5 0.125 -6.22003e-14 -8.27698e-06 0.375299 0 0
0 0.5 0.1875 -7.31543e-14 -1.31322e-05 0.312823 0 0
0 0.5 0.25 -9.39393e-14 -1.87857e-05 0.250368 0 0
0 0.5 0.3125 -1.28369e-13 -2.51088e-05 0.187952 0 0
0 0.5 0.375 -1.81071e-13 -2.9641e-05 0.125628 0 0
0 0.5 0.4375 -8.43563e-14 -2.96614e-05 0.0625256 0 1
0 0.5 0.5 1.64896e-14 -2.9666e-05 -4.2507e-11 0 1
0 0.5 0.5625 1.17319e-13 -2.96614e-05 -0.0625256 0 1
0 0.5 0.625 2.09842e-13 -2.9641e-05 -0.125628 0 0
0 0.5 0.6875 1.31632e-13 -2.51088e-05 -0.187952 0 0
0 0.5 0.75 9.18103e-14 -1.87857e-05 -0.250368 0 0
0 0.5 0.8125 7.50067e-14 -1.31322e-05 -0.312823 0 0
0 0.5 0.875 6.64807e-14 -8.27698e-06 -0.375299 0 0
0 0.5 0.9375 6.22578e-14 -3.99398e-06 -0.437786 0 0
0 0.5 1 6.05565e-14 0 -0.500282 0 0

