# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 2.67213e-13 0 0.500282 0 0
0 0.5 0.0625 2.66045e-13 -3.99333e-06 0.437786 0 0
0 0.5 0.125 2.62523e-13 -8.27551e-06 0.375299 0 0
0 0.5 0.1875 2.56119e-13 -1.31295e-05 0.312823 0 0
0 0.5 0.25 2.43272e-13 -1.87808e-05 0.250368 0 0
0 0.5 0.3125 2.02932e-13 -2.50992e-05 0.187952 0 0
0 0.5 0.375 -1.19017e-14 -2.96192e-05 0.125627 0 0
0 0.5 0.4375 -1.78786e-14 -2.96387e-05 0.0625285 0 1
0 0.5 0.5 -1.0576e-14 -2.96433e-05 -4.37508e-11 0 1
0 0.5 0.5625 -3.26727e-15 -2.96387e-05 -0.0625285 0 1
0 0.5 0.625 1.13677e-14 -2.96192e-05 -0.125627 0 0
0 0.5 0.6875 -1.39248e-13 -2.50992e-05 -0.187952 0 0
0 0.5 0.75 -1.84727e-13 -1.87808e-05 -0.250368 0 0
0 0.5 0.8125 -2.02034e-13 -1.31295e-05 -0.312823 0 0
0 0.5 0.875 -2.1056e-13 -8.27551e-06 -0.375299 0 0
0 0.5 0.9375 -2.15047e-13 -3.99333e-06 -0.437786 0 0
0 0.5 1 -2.16348e-13 0 -0.500282 0 0

