# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 3.86939e-14 0 0.500281 0 0
0 0.5 0.0625 3.98821e-14 -3.93578e-06 0.437784 0 0
0 0.5 0.125 4.00711e-14 -8.14046e-06 0.375297 0 0
0 0.5 0.1875 3.99741e-14 -1.28629e-05 0.312822 0 0
0 0.5 0.25 3.29947e-14 -1.82444e-05 0.250367 0 0
0 0.5 0.3125 2.61981e-14 -2.38888e-05 0.187948 0 0
0 0.5 0.375 2.79473e-14 -2.69577e-05 0.125568 0 0
0 0.5 0.4375 2.25551e-14 -2.69729e-05 0.0624362 0 1
0 0.5 0.5 1.70841e-14 -2.69788e-05 2.05758e-12 0 1
0 0.5 0.5625 1.16057e-14 -2.69729e-05 -0.0624362 0 1
0 0.5 0.625 5.21131e-15 -2.69577e-05 -0.125568 0 0
0 0.5 0.6875 -7.67103e-14 -2.38888e-05 -0.187948 0 0
0 0.5 0.75 -9.70827e-14 -1.82444e-05 -0.250367 0 0
0 0.5 0.8125 -1.15234e-13 -1.28629e-05 -0.312822 0 0
0 0.5 0.875 -9.41101e-14 -8.14046e-06 -0.375297 0 0
0 0.5 0.9375 -8.78791e-14 -3.93578e-06 -0.437784 0 0
0 0.5 1 -8.60811e-14 0 -0.500281 0 0

