# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 4.65341e-14 0 0.500282 0 0
0 0.5 0.0625 4.65831e-14 -3.98385e-06 0.437786 0 0
0 0.5 0.125 4.66784e-14 -8.2541e-06 0.375299 0 0
0 0.5 0.1875 4.63993e-14 -1.30899e-05 0.312823 0 0
0 0.5 0.25 4.58268e-14 -1.87086e-05 0.250368 0 0
0 0.5 0.3125 4.4338e-14 -2.49577e-05 0.187951 0 0
0 0.5 0.375 2.91007e-14 -2.92934e-05 0.125631 0 0
0 0.5 0.4375 3.00674e-14 -2.93074e-05 0.0625168 0 1
0 0.5 0.5 3.08614e-14 -2.93122e-05 -2.58756e-11 0 1
0 0.5 0.5625 3.16977e-14 -2.93074e-05 -0.0625168 0 1
0 0.5 0.625 3.25183e-14 -2.92934e-05 -0.125631 0 0
0 0.5 0.6875 4.68922e-15 -2.49577e-05 -0.187951 0 0
0 0.5 0.75 1.7266e-15 -1.87086e-05 -0.250368 0 0
0 0.5 0.8125 1.91295e-15 -1.30899e-05 -0.312823 0 0
0 0.5 0.875 4.50587e-15 -8.2541e-06 -0.375299 0 0
0 0.5 0.9375 9.19564e-15 -3.98385e-06 -0.437786 0 0
0 0.5 1 1.15122e-14 0 -0.500282 0 0

