# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 -5.451e-14 0 0.500281 0 0
0 0.5 0.0625 -5.28482e-14 -3.94452e-06 0.437785 0 0
0 0.5 0.125 -4.82319e-14 -8.16463e-06 0.375297 0 0
0 0.5 0.1875 -4.46867e-14 -1.29217e-05 0.312822 0 0
0 0.5 0.25 -3.79032e-14 -1.83908e-05 0.250367 0 0
0 0.5 0.3125 -2.72279e-14 -2.42848e-05 0.187949 0 0
0 0.5 0.375 -3.505e-14 -2.78205e-05 0.125586 0 0
0 0.5 0.4375 -3.60642e-14 -2.78383e-05 0.0623759 0 1
0 0.5 0.5 -3.71911e-14 -2.78447e-05 -7.73437e-12 0 1
0 0.5 0.5625 -3.84166e-14 -2.78383e-05 -0.0623759 0 1
0 0.5 0.625 -3.91578e-14 -2.78205e-05 -0.125586 0 0
0 0.5 0.6875 7.91012e-14 -2.42848e-05 -0.187949 0 0
0 0.5 0.75 1.14446e-13 -1.83908e-05 -0.250367 0 0
0 0.5 0.8125 1.43574e-13 -1.29217e-05 -0.312822 0 0
0 0.5 0.875 1.24243e-13 -8.16463e-06 -0.375297 0 0
0 0.5 0.9375 1.14221e-13 -3.94452e-06 -0.437785 0 0
0 0.5 1 1.14047e-13 0 -0.500281 0 0

