# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 1.0051e-13 0 0.50028 0 0
0 0.5 0.0625 1.06624e-13 -3.95284e-06 0.437784 0 0
0 0.5 0.125 1.07525e-13 -8.18952e-06 0.375297 0 0
0 0.5 0.1875 1.11845e-13 -1.29865e-05 0.312821 0 0
0 0.5 0.25 1.11664e-13 -1.85583e-05 0.250365 0 0
0 0.5 0.3125 9.65756e-14 -2.47577e-05 0.187948 0 0
0 0.5 0.375 -2.4227e-14 -2.90582e-05 0.125599 0 0
0 0.5 0.4375 -4.175e-14 -2.90935e-05 0.0623738 0 1
0 0.5 0.5 -5.49563e-14 -2.90996e-05 -1.73559e-11 0 1
0 0.5 0.5625 -6.8517e-14 -2.90935e-05 -0.0623738 0 1
0 0.5 0.625 -8.59237e-14 -2.90582e-05 -0.125599 0 0
0 0.5 0.6875 -1.53104e-13 -2.47577e-05 -0.187948 0 0
0 0.5 0.75 -1.30715e-13 -1.85583e-05 -0.250365 0 0
0 0.5 0.8125 -9.13605e-14 -1.29865e-05 -0.312821 0 0
0 0.5 0.875 -1.18596e-13 -8.18952e-06 -0.375297 0 0
0 0.5 0.9375 -1.27972e-13 -3.95284e-06 -0.437784 0 0
0 0.5 1 -1.2841e-13 0 -0.50028 0 0

