# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 -2.38345e-13 0 0.500283 0 0
0 0.5 0.0625 -2.38045e-13 -3.98361e-06 0.437787 0 0
0 0.5 0.125 -2.35851e-13 -8.25266e-06 0.375299 0 0
0 0.5 0.1875 -2.32764e-13 -1.30846e-05 0.312824 0 0
0 0.5 0.25 -2.26183e-13 -1.8693e-05 0.250368 0 0
0 0.5 0.3125 -2.05322e-13 -2.49169e-05 0.187952 0 0
0 0.5 0.375 -6.06932e-14 -2.91719e-05 0.12563 0 0
0 0.5 0.4375 -7.22831e-14 -2.91859e-05 0.0625001 0 1
0 0.5 0.5 -8.33577e-14 -2.91909e-05 -1.25628e-11 0 1
0 0.5 0.5625 -9.33462e-14 -2.91859e-05 -0.0625001 0 1
0 0.5 0.625 -1.02109e-13 -2.91719e-05 -0.12563 0 0
0 0.5 0.6875 7.26398e-14 -2.49169e-05 -0.187952 0 0
0 0.5 0.75 1.18432e-13 -1.8693e-05 -0.250368 0 0
0 0.5 0.8125 1.34748e-13 -1.30846e-05 -0.312824 0 0
0 0.5 0.875 1.41589e-13 -8.25266e-06 -0.375299 0 0
0 0.5 0.9375 1.45949e-13 -3.98361e-06 -0.437787 0 0
0 0.5 1 1.48037e-13 0 -0.500283 0 0

