# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1>
0 0.5 0 2.3079e-13 0 0.500283 0 0
0 0.5 0.0625 2.36244e-13 -3.98034e-06 0.437787 0 0
0 0.5 0.125 2.50875e-13 -8.24492e-06 0.375299 0 0
0 0.5 0.1875 2.7007e-13 -1.30692e-05 0.312824 0 0
0 0.5 0.25 2.92056e-13 -1.86617e-05 0.250368 0 0
0 0.5 0.3125 3.12496e-13 -2.48437e-05 0.187952 0 0
0 0.5 0.375 3.45313e-13 -2.89767e-05 0.125622 0 0
0 0.5 0.4375 2.00991e-13 -2.89907e-05 0.0625031 0 1
0 0.5 0.5 5.63797e-14 -2.89955e-05 2.90812e-12 0 1
0 0.5 0.5625 -8.79835e-14 -2.89907e-05 -0.0625031 0 1
0 0.5 0.625 -2.32387e-13 -2.89767e-05 -0.125622 0 0
0 0.5 0.6875 -3.35305e-13 -2.48437e-05 -0.187952 0 0
0 0.5 0.75 -3.47098e-13 -1.86617e-05 -0.250368 0 0
0 0.5 0.8125 -3.06739e-13 -1.30692e-05 -0.312824 0 0
0 0.5 0.875 -2.82216e-13 -8.24492e-06 -0.375299 0 0
0 0.5 0.9375 -2.65159e-13 -3.98034e-06 -0.437787 0 0
0 0.5 1 -2.61912e-13 0 -0.500283 0 0

