# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1> <C_2>
0 0.5 0.6 -5.03164e-12 -0.00464122 0.189928 0 1 0

0.105221 0.5 0.6 -1.44136e-12 -0.00448195 0.189563 0 1 -1.13333e-18

0.214184 0.5 0.6 6.19323e-12 -0.00443489 0.18922 0 1 2.89945e-16

0.324305 0.5 0.6 -9.75008e-13 -0.00440292 0.188929 0 1 -1.40885e-15

0.435226 0.5 0.6 2.00101e-12 -0.00437957 0.188658 0 1 1.90081e-15

0.546739 0.5 0.6 1.1851e-11 -0.00434068 0.188479 0 1 1.81136e-15

0.659252 0.5 0.6 4.71549e-13 -0.00430657 0.188383 0 0.999999 -4.11168e-15

0.772648 0.5 0.6 -2.48531e-12 -0.00427615 0.188309 0 0.999999 -4.2885e-15

0.88686 0.5 0.6 2.22008e-13 -0.0042464 0.188207 0 0.999999 3.80015e-15

1.00187 0.5 0.6 1.09964e-12 -0.00421639 0.188064 0 0.999999 1.11997e-14

1.11771 0.5 0.6 1.1537e-12 -0.00418697 0.187923 0 0.999998 4.80852e-15

1.23436 0.5 0.6 2.19247e-12 -0.00415892 0.187961 0 0.999998 -3.40252e-16

1.35179 0.5 0.6 1.4961e-12 -0.00413397 0.187902 0 0.999997 -2.6626e-14

1.46994 0.5 0.6 -1.73316e-13 -0.00411093 0.187858 0 0.999997 -1.31318e-14

1.58874 0.5 0.6 -1.80197e-12 -0.00408803 0.187778 0 0.999996 4.08677e-14

1.70822 0.5 0.6 7.34078e-13 -0.00406477 0.187678 0 0.999996 6.1165e-14

1.82838 0.5 0.6 -2.35681e-13 -0.00404132 0.18758 0 0.999995 -1.09073e-15

1.94923 0.5 0.6 1.58427e-12 -0.00401797 0.187503 0 0.999994 -1.13948e-13

2.07079 0.5 0.6 2.97366e-12 -0.00399501 0.187441 0 0.999994 -1.8248e-13

2.19305 0.5 0.6 1.3381e-12 -0.00397279 0.187367 0 0.999993 -1.23222e-13

2.316 0.5 0.6 5.4588e-13 -0.00395042 0.187307 0 0.999992 6.80712e-14

2.43964 0.5 0.6 -4.10241e-13 -0.00392885 0.187289 0 0.999992 2.54128e-13

2.56395 0.5 0.6 -1.43694e-12 -0.00390717 0.187239 0 0.999991 3.29347e-13

2.68895 0.5 0.6 2.16778e-12 -0.00388561 0.187204 0 0.99999 2.86609e-13

2.81465 0.5 0.6 -1.45511e-12 -0.0038648 0.187159 0 0.99999 1.55951e-13

2.94102 0.5 0.6 1.27196e-12 -0.00384434 0.187098 0 0.999989 -2.44354e-14

3.06807 0.5 0.6 7.43834e-13 -0.00382352 0.186989 0 0.999989 -2.1807e-13

3.19581 0.5 0.6 -4.50983e-14 -0.00380271 0.186884 0 0.999988 -3.91784e-13

3.32425 0.5 0.6 7.44128e-13 -0.00378132 0.18679 0 0.999988 -5.15661e-13

3.45342 0.5 0.6 1.1465e-12 -0.00375965 0.186736 0 0.999988 -5.64024e-13

3.58333 0.5 0.6 5.83693e-13 -0.0037377 0.186706 0 0.999988 -5.17204e-13

3.71401 0.5 0.6 -8.61015e-13 -0.00371437 0.186665 0 0.999988 -3.9992e-13

3.84551 0.5 0.6 7.51043e-13 -0.00369461 0.186609 0 0.999988 -6.03004e-14

3.97771 0.5 0.6 1.2165e-12 -0.00367443 0.186538 0 0.999989 4.35501e-13

4.11064 0.5 0.6 6.0631e-13 -0.00365428 0.186467 0 0.999989 9.4089e-13

4.24431 0.5 0.6 8.31994e-13 -0.00363487 0.186379 0 0.99999 1.30361e-12

4.37869 0.5 0.6 -4.88412e-13 -0.00361578 0.186326 0 0.99999 1.41363e-12

4.51378 0.5 0.6 4.21753e-13 -0.00359647 0.18626 0 0.999991 1.23389e-12

4.6496 0.5 0.6 1.89745e-13 -0.00357762 0.186211 0 0.999991 8.06444e-13

4.78613 0.5 0.6 1.48434e-12 -0.00355842 0.18615 0 0.999992 2.34374e-13

4.92341 0.5 0.6 -5.28271e-13 -0.00353949 0.186082 0 0.999992 -3.61873e-13

5.06141 0.5 0.6 4.80068e-13 -0.00351888 0.186131 0 0.999993 -8.30168e-13

5.20022 0.5 0.6 1.60899e-12 -0.00350095 0.186092 0 0.999993 -1.17241e-12

5.33974 0.5 0.6 5.57364e-13 -0.00348281 0.18602 0 0.999993 -1.3972e-12

5.47999 0.5 0.6 1.66073e-12 -0.00346481 0.185948 0 0.999993 -1.52107e-12

5.62097 0.5 0.6 -6.8317e-13 -0.00344725 0.185876 0 0.999992 -1.5627e-12

5.76267 0.5 0.6 -1.1448e-12 -0.00342905 0.185809 0 0.999992 -1.53696e-12

5.90512 0.5 0.6 1.59627e-12 -0.00341053 0.185735 0 0.999991 -1.45118e-12

6.04834 0.5 0.6 3.91684e-13 -0.0033916 0.185684 0 0.99999 -1.30502e-12

6.19236 0.5 0.6 2.22509e-13 -0.00337314 0.185674 0 0.999988 -1.09297e-12

6.33717 0.5 0.6 -4.81354e-13 -0.00335483 0.185609 0 0.999987 -8.07453e-13

6.48276 0.5 0.6 -1.45993e-13 -0.00333811 0.185643 0 0.999985 -4.31749e-13

6.62909 0.5 0.6 -1.58669e-12 -0.0033209 0.185599 0 0.999983 9.1145e-15

6.77617 0.5 0.6 -8.86039e-14 -0.00330351 0.185507 0 0.999981 4.99446e-13

6.92403 0.5 0.6 -3.86406e-13 -0.00328709 0.185453 0 0.999979 1.02409e-12

7.07263 0.5 0.6 1.92047e-13 -0.00327043 0.185377 0 0.999977 1.56474e-12

