# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1> <C_2>
0 0.5 0.6 9.19094e-13 -0.00453856 0.191049 0 1 0

0.215158 0.5 0.6 9.62469e-12 -0.0042803 0.189323 0 1 1.59041e-28

0.443303 0.5 0.6 -8.19329e-12 -0.00420034 0.188912 0 1 -2.68084e-22

0.675792 0.5 0.6 3.77819e-12 -0.00414443 0.188675 0 1 3.2768e-21

0.911417 0.5 0.6 2.69566e-12 -0.00409577 0.188279 0 1 -2.12797e-20

1.14984 0.5 0.6 9.4127e-13 -0.00402098 0.187947 0 1 8.06151e-20

1.3927 0.5 0.6 1.20455e-12 -0.00396379 0.187835 0 1 -1.70973e-19

1.63907 0.5 0.6 -6.50611e-13 -0.00390846 0.1877 0 1 1.11693e-19

1.88893 0.5 0.6 1.0137e-12 -0.00385496 0.187585 0 1 2.75573e-19

2.14225 0.5 0.6 1.12193e-12 -0.00380568 0.187468 0 1 -4.82702e-19

2.39885 0.5 0.6 2.30042e-12 -0.00375735 0.187378 0 1 -3.5333e-19

2.65876 0.5 0.6 1.86456e-12 -0.00370959 0.187226 0 1 9.65554e-19

2.92201 0.5 0.6 2.21487e-12 -0.00366429 0.187032 0 1 8.91717e-19

3.18852 0.5 0.6 -5.80503e-13 -0.00361936 0.186853 0 1 -1.57044e-18

3.45833 0.5 0.6 -2.10476e-13 -0.00357565 0.186651 0 1 -2.64424e-18

3.73144 0.5 0.6 -2.53169e-13 -0.00353419 0.186523 0 1 1.34847e-18

4.00776 0.5 0.6 5.36184e-13 -0.00349188 0.186414 0 1.00001 6.34585e-18

4.28743 0.5 0.6 -8.31576e-14 -0.00345127 0.186336 0 1.00001 2.84275e-18

4.57039 0.5 0.6 4.91823e-13 -0.00341211 0.186305 0 1.00001 -1.00197e-17

4.85659 0.5 0.6 2.56488e-12 -0.00337383 0.186287 0 1.00002 -1.53378e-17

5.14604 0.5 0.6 -1.13899e-13 -0.00333566 0.186237 0 1.00002 3.40144e-18

5.43881 0.5 0.6 -7.2675e-12 -0.00329783 0.186144 0 1.00003 3.20821e-17

5.73493 0.5 0.6 2.58594e-12 -0.00326022 0.185999 0 1.00003 3.00505e-17

6.03447 0.5 0.6 -4.24829e-12 -0.00322381 0.185917 0 1.00003 -2.25504e-17

6.33739 0.5 0.6 8.07041e-13 -0.00318785 0.185846 0 1.00003 -7.94073e-17

6.64373 0.5 0.6 3.55693e-12 -0.00315397 0.185808 0 1.00002 -6.00143e-17

6.95335 0.5 0.6 4.04891e-13 -0.00312012 0.185696 0 1.00002 5.21001e-17

7.26634 0.5 0.6 1.37035e-12 -0.00308813 0.185709 0 1.00001 1.7364e-16

7.58257 0.5 0.6 6.92312e-13 -0.00305587 0.185685 0 0.999992 1.59412e-16

7.90213 0.5 0.6 -1.13894e-12 -0.00302567 0.185744 0 0.999975 -6.30183e-17

8.22489 0.5 0.6 2.61576e-14 -0.00299491 0.185718 0 0.999955 -3.64197e-16

8.55095 0.5 0.6 4.45181e-13 -0.0029641 0.185661 0 0.999934 -4.46616e-16

8.88041 0.5 0.6 -9.65843e-12 -0.00293442 0.185643 0 0.999913 -6.66091e-17

9.2132 0.5 0.6 -4.01285e-13 -0.00290546 0.185682 0 0.999892 6.45744e-16

9.5493 0.5 0.6 6.38967e-13 -0.00287658 0.18568 0 0.999875 1.1052e-15

9.88877 0.5 0.6 -5.24812e-14 -0.00284759 0.185635 0 0.999863 7.09039e-16

10.2317 0.5 0.6 -8.28582e-14 -0.00281901 0.185693 0 0.99986 -6.12531e-16

10.5781 0.5 0.6 -4.5775e-13 -0.00279199 0.185766 0 0.999868 -2.18494e-15

10.9279 0.5 0.6 2.51692e-12 -0.00276492 0.185769 0 0.999886 -2.72158e-15

11.281 0.5 0.6 -1.16421e-12 -0.00273878 0.185736 0 0.999914 -1.06719e-15

11.6376 0.5 0.6 7.75699e-14 -0.00271412 0.185752 0 0.999947 2.77057e-15

11.9974 0.5 0.6 1.86783e-13 -0.00268884 0.185762 0 0.999984 6.63752e-15

12.3605 0.5 0.6 4.01118e-13 -0.00266487 0.185725 0 1.00002 6.84841e-15

