# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1> <C_2>
0 0.5 0.6 -1.19407e-11 -0.00468245 0.189598 0 1 0

0.0521491 0.5 0.6 -2.37162e-12 -0.00466924 0.189547 0 1 1.31011e-23

0.104446 0.5 0.6 -4.28627e-12 -0.00465576 0.189498 0 1 -1.31368e-20

0.156895 0.5 0.6 1.05637e-12 -0.00464291 0.189474 0 1 3.17392e-20

0.209489 0.5 0.6 -1.13989e-12 -0.00463041 0.18946 0 1 1.64213e-19

0.262225 0.5 0.6 -7.37241e-14 -0.00461772 0.189431 0 1 -5.17982e-19

0.315106 0.5 0.6 -3.20979e-12 -0.0046052 0.189394 0 1 -2.7989e-19

0.368132 0.5 0.6 4.3768e-12 -0.00459284 0.189348 0 1 1.39774e-18

0.4213 0.5 0.6 2.51864e-12 -0.00458044 0.1893 0 1 1.33755e-18

0.474613 0.5 0.6 5.11724e-12 -0.00456831 0.189259 0 1 -1.91746e-18

0.528067 0.5 0.6 -2.49339e-12 -0.00455648 0.189226 0 1 -4.8053e-18

0.58166 0.5 0.6 1.52708e-12 -0.00454527 0.189186 0 1 -4.17369e-18

0.635386 0.5 0.6 4.06134e-13 -0.00453397 0.189165 0 1 7.6293e-18

0.689245 0.5 0.6 -4.75883e-12 -0.00452279 0.189144 0 1 1.29212e-17

0.743237 0.5 0.6 -1.02531e-12 -0.00451173 0.189118 0 1 7.07581e-18

0.797363 0.5 0.6 3.65697e-12 -0.00450079 0.189086 0 1 -5.1306e-18

0.85162 0.5 0.6 2.12666e-13 -0.00448982 0.189048 0 0.999999 -1.51988e-17

0.90601 0.5 0.6 -3.3336e-12 -0.0044789 0.189009 0 0.999999 -1.71789e-17

0.960532 0.5 0.6 2.38682e-13 -0.00446806 0.188972 0 0.999999 -9.38043e-18

1.01519 0.5 0.6 -6.61684e-12 -0.00445732 0.188938 0 0.999999 4.77615e-18

1.06997 0.5 0.6 -3.52623e-12 -0.00444662 0.18891 0 0.999999 1.81921e-17

1.12489 0.5 0.6 -1.06504e-12 -0.00443565 0.18887 0 0.999999 1.95993e-17

1.17995 0.5 0.6 -3.1056e-13 -0.00442499 0.188836 0 0.999999 1.67314e-17

1.23513 0.5 0.6 -4.81364e-12 -0.00441441 0.188802 0 0.999999 1.21978e-17

1.29045 0.5 0.6 -5.02953e-12 -0.00440394 0.18877 0 0.999998 7.14196e-18

1.3459 0.5 0.6 -1.57895e-12 -0.00439346 0.188738 0 0.999998 2.24018e-18

1.40148 0.5 0.6 -1.07734e-11 -0.00438302 0.188708 0 0.999998 -2.05151e-18

1.4572 0.5 0.6 4.90084e-12 -0.00437263 0.188678 0 0.999998 -5.46587e-18

1.51304 0.5 0.6 -1.31455e-12 -0.00436226 0.188648 0 0.999997 -7.93469e-18

1.56902 0.5 0.6 5.40018e-12 -0.0043519 0.188617 0 0.999997 -9.55844e-18

1.62514 0.5 0.6 -6.80297e-13 -0.00434156 0.188586 0 0.999997 -1.05377e-17

1.68139 0.5 0.6 -5.5858e-12 -0.00433098 0.188541 0 0.999997 -1.21124e-17

1.73777 0.5 0.6 4.97473e-12 -0.00432068 0.188508 0 0.999996 -1.25467e-17

1.79429 0.5 0.6 8.33164e-13 -0.0043104 0.188475 0 0.999996 -1.18459e-17

1.85094 0.5 0.6 -6.40182e-12 -0.00430017 0.188443 0 0.999996 -9.27662e-18

1.90773 0.5 0.6 5.27701e-12 -0.00429002 0.188413 0 0.999995 -4.85558e-18

1.96466 0.5 0.6 -8.48632e-13 -0.0042799 0.188383 0 0.999995 4.49068e-19

2.02172 0.5 0.6 -4.28284e-12 -0.00426979 0.188352 0 0.999994 5.96845e-18

2.07891 0.5 0.6 1.16278e-12 -0.00425966 0.188321 0 0.999994 1.2202e-17

2.13624 0.5 0.6 4.75829e-12 -0.00424954 0.188289 0 0.999994 2.03491e-17

2.19371 0.5 0.6 3.78378e-12 -0.00423945 0.188257 0 0.999993 3.10746e-17

2.25131 0.5 0.6 3.19164e-12 -0.00422938 0.188218 0 0.999993 4.32206e-17

2.30905 0.5 0.6 7.02152e-12 -0.00421939 0.188187 0 0.999992 5.63563e-17

2.36693 0.5 0.6 1.11659e-12 -0.00420944 0.188156 0 0.999991 7.06662e-17

2.42494 0.5 0.6 -1.60044e-12 -0.00419951 0.188126 0 0.999991 8.64039e-17

2.4831 0.5 0.6 1.54009e-12 -0.00418961 0.188095 0 0.99999 1.0379e-16

2.54139 0.5 0.6 4.67569e-12 -0.00417977 0.188064 0 0.99999 1.22997e-16

2.59981 0.5 0.6 -1.3482e-14 -0.00416997 0.188033 0 0.999989 1.44202e-16

2.65838 0.5 0.6 -5.56964e-12 -0.00416022 0.188003 0 0.999989 1.67748e-16

2.71708 0.5 0.6 1.15302e-11 -0.00415049 0.187973 0 0.999988 1.94285e-16

2.77592 0.5 0.6 3.95424e-12 -0.00414076 0.187943 0 0.999987 2.24759e-16

2.8349 0.5 0.6 -3.57816e-12 -0.00413101 0.187908 0 0.999986 2.59203e-16

2.89401 0.5 0.6 -6.72453e-12 -0.00412134 0.187878 0 0.999986 2.97862e-16

2.95327 0.5 0.6 -6.06849e-12 -0.00411171 0.187847 0 0.999985 3.4038e-16

3.01267 0.5 0.6 1.00364e-13 -0.00410212 0.187816 0 0.999984 3.86362e-16

3.0722 0.5 0.6 -2.81301e-12 -0.00409254 0.187785 0 0.999983 4.35547e-16

3.13187 0.5 0.6 2.15733e-12 -0.00408298 0.187754 0 0.999983 4.88258e-16

3.19169 0.5 0.6 -2.74909e-12 -0.00407345 0.187724 0 0.999982 5.45669e-16

3.25164 0.5 0.6 -2.63182e-12 -0.00406396 0.187696 0 0.999981 6.0958e-16

3.31173 0.5 0.6 -1.0377e-12 -0.0040545 0.187669 0 0.99998 6.81809e-16

3.37197 0.5 0.6 2.3397e-12 -0.00404507 0.187641 0 0.999979 7.63482e-16

3.43234 0.5 0.6 -1.25427e-11 -0.0040357 0.187605 0 0.999978 8.50254e-16

3.49286 0.5 0.6 -5.90853e-13 -0.00402637 0.187576 0 0.999977 9.40897e-16

3.55351 0.5 0.6 -3.58035e-12 -0.00401708 0.187547 0 0.999976 1.03558e-15

3.61431 0.5 0.6 -4.00794e-12 -0.00400781 0.187517 0 0.999976 1.135e-15

3.67524 0.5 0.6 1.84701e-12 -0.00399857 0.187487 0 0.999975 1.24047e-15

3.73632 0.5 0.6 -1.17939e-12 -0.00398937 0.187457 0 0.999974 1.35334e-15

3.79753 0.5 0.6 5.60921e-12 -0.0039802 0.187428 0 0.999973 1.47462e-15

3.85889 0.5 0.6 8.75382e-13 -0.00397105 0.187399 0 0.999972 1.6051e-15

3.92039 0.5 0.6 -5.67489e-12 -0.00396189 0.18737 0 0.999971 1.74551e-15

3.98203 0.5 0.6 2.47149e-12 -0.00395277 0.187342 0 0.99997 1.8965e-15

4.04382 0.5 0.6 5.01933e-12 -0.00394359 0.187308 0 0.999969 2.06071e-15

4.10575 0.5 0.6 -2.34716e-12 -0.00393456 0.18728 0 0.999968 2.2362e-15

4.16782 0.5 0.6 9.49216e-13 -0.00392558 0.187251 0 0.999967 2.42241e-15

4.23003 0.5 0.6 -1.48703e-12 -0.00391662 0.187223 0 0.999966 2.61908e-15

4.29239 0.5 0.6 1.33001e-12 -0.00390769 0.187194 0 0.999965 2.82624e-15

4.35488 0.5 0.6 2.98134e-12 -0.00389879 0.187164 0 0.999964 3.04402e-15

4.41753 0.5 0.6 6.58726e-12 -0.00388989 0.187135 0 0.999963 3.27262e-15

4.48031 0.5 0.6 4.88913e-12 -0.00388099 0.187106 0 0.999962 3.51232e-15

4.54324 0.5 0.6 6.45672e-13 -0.00387214 0.187078 0 0.999961 3.76353e-15

4.60631 0.5 0.6 1.28906e-12 -0.00386333 0.18705 0 0.99996 4.02683e-15

4.66953 0.5 0.6 1.23687e-12 -0.00385456 0.187021 0 0.999959 4.28709e-15

4.73289 0.5 0.6 -2.87185e-12 -0.00384582 0.186993 0 0.999958 4.55054e-15

4.79639 0.5 0.6 -9.41877e-12 -0.0038371 0.186965 0 0.999957 4.8188e-15

4.86004 0.5 0.6 -3.35454e-12 -0.00382843 0.186937 0 0.999956 5.09213e-15

4.92383 0.5 0.6 -4.95369e-12 -0.00381979 0.18691 0 0.999955 5.37048e-15

4.98777 0.5 0.6 2.36441e-12 -0.0038112 0.186882 0 0.999954 5.65377e-15

5.05185 0.5 0.6 -8.50972e-13 -0.00380265 0.186855 0 0.999954 5.942e-15

5.11608 0.5 0.6 -4.0156e-12 -0.00379415 0.186828 0 0.999953 6.23519e-15

5.18045 0.5 0.6 -5.23865e-12 -0.00378566 0.186801 0 0.999952 6.53342e-15

5.24496 0.5 0.6 1.16653e-12 -0.00377721 0.186774 0 0.999951 6.83678e-15

5.30962 0.5 0.6 -3.60572e-12 -0.00376876 0.186745 0 0.999951 7.12372e-15

5.37443 0.5 0.6 1.51391e-13 -0.00376038 0.186719 0 0.99995 7.40857e-15

5.43937 0.5 0.6 -4.77573e-12 -0.00375203 0.186693 0 0.99995 7.69661e-15

5.50447 0.5 0.6 -5.77206e-12 -0.00374369 0.186667 0 0.99995 7.99003e-15

5.56971 0.5 0.6 1.63861e-13 -0.00373538 0.186641 0 0.99995 8.29003e-15

5.63509 0.5 0.6 3.41363e-13 -0.00372711 0.186615 0 0.999949 8.59755e-15

5.70062 0.5 0.6 -1.50016e-12 -0.00371886 0.18659 0 0.999949 8.91356e-15

5.7663 0.5 0.6 3.06269e-12 -0.00371063 0.186564 0 0.999949 9.23912e-15

5.83212 0.5 0.6 -4.72419e-12 -0.00370242 0.186538 0 0.999949 9.57545e-15

5.89809 0.5 0.6 -1.69463e-12 -0.00369425 0.186513 0 0.999949 9.92402e-15

5.9642 0.5 0.6 -4.53143e-12 -0.00368611 0.186488 0 0.999949 1.02871e-14

6.03046 0.5 0.6 7.42409e-13 -0.00367801 0.186462 0 0.999949 1.06659e-14

6.09686 0.5 0.6 -7.26243e-12 -0.00366995 0.186438 0 0.999949 1.10622e-14

6.16341 0.5 0.6 -1.19449e-11 -0.00366193 0.186413 0 0.999949 1.14786e-14

6.23011 0.5 0.6 -2.39523e-12 -0.00365395 0.186388 0 0.999949 1.19177e-14

6.29695 0.5 0.6 -1.29256e-12 -0.00364599 0.186364 0 0.999949 1.23827e-14

6.36394 0.5 0.6 2.72529e-12 -0.00363805 0.186339 0 0.999949 1.28771e-14

6.43107 0.5 0.6 -2.53641e-13 -0.00363015 0.186314 0 0.999949 1.34046e-14

6.49835 0.5 0.6 6.60787e-12 -0.00362226 0.18629 0 0.999949 1.39695e-14

6.56578 0.5 0.6 7.12173e-12 -0.00361439 0.186266 0 0.999949 1.45762e-14

6.63335 0.5 0.6 7.27142e-12 -0.00360658 0.186241 0 0.99995 1.51481e-14

6.70107 0.5 0.6 -2.32788e-12 -0.00359878 0.186217 0 0.99995 1.57229e-14

6.76894 0.5 0.6 9.01365e-12 -0.00359102 0.186194 0 0.99995 1.6314e-14

6.83695 0.5 0.6 -4.14817e-12 -0.0035833 0.186171 0 0.99995 1.6928e-14

6.90511 0.5 0.6 5.74495e-12 -0.00357562 0.186149 0 0.999951 1.75695e-14

6.97342 0.5 0.6 -3.71432e-12 -0.003568 0.186126 0 0.999951 1.82427e-14

7.04187 0.5 0.6 -1.39461e-15 -0.0035604 0.186104 0 0.999951 1.89524e-14

7.11047 0.5 0.6 -3.22524e-12 -0.00355283 0.186082 0 0.999952 1.97034e-14

7.17921 0.5 0.6 -4.58331e-12 -0.0035453 0.186061 0 0.999952 2.05011e-14

7.24811 0.5 0.6 -3.6866e-12 -0.00353779 0.18604 0 0.999953 2.13511e-14

7.31714 0.5 0.6 1.7166e-13 -0.00353026 0.186034 0 0.999953 2.22493e-14

7.38632 0.5 0.6 -1.00411e-12 -0.0035228 0.186013 0 0.999953 2.32016e-14

7.45565 0.5 0.6 -6.47136e-12 -0.00351538 0.185992 0 0.999954 2.42135e-14

7.52513 0.5 0.6 -7.21486e-12 -0.00350798 0.185971 0 0.999954 2.52899e-14

7.59475 0.5 0.6 -1.52127e-12 -0.00350061 0.18595 0 0.999955 2.6435e-14

7.66452 0.5 0.6 -3.04984e-12 -0.00349328 0.185929 0 0.999955 2.76532e-14

7.73444 0.5 0.6 5.10582e-12 -0.00348599 0.185909 0 0.999956 2.89486e-14

7.8045 0.5 0.6 -1.73521e-12 -0.00347872 0.185889 0 0.999956 3.03257e-14

7.87471 0.5 0.6 -9.11115e-13 -0.00347149 0.185869 0 0.999957 3.1789e-14

7.94506 0.5 0.6 -2.58516e-12 -0.00346428 0.18585 0 0.999958 3.33433e-14

8.01556 0.5 0.6 3.36349e-12 -0.00345707 0.185807 0 0.999958 3.49417e-14

8.08621 0.5 0.6 4.56316e-13 -0.00344994 0.185788 0 0.999959 3.66234e-14

8.157 0.5 0.6 2.76323e-12 -0.00344285 0.18577 0 0.99996 3.84049e-14

8.22794 0.5 0.6 5.12858e-12 -0.00343578 0.185751 0 0.99996 4.02951e-14

8.29902 0.5 0.6 7.04244e-12 -0.00342876 0.185733 0 0.999961 4.23005e-14

8.37026 0.5 0.6 5.17652e-13 -0.00342177 0.185715 0 0.999962 4.44268e-14

8.44163 0.5 0.6 -8.84645e-12 -0.00341481 0.185697 0 0.999963 4.66792e-14

8.51315 0.5 0.6 4.62543e-12 -0.00340789 0.18568 0 0.999964 4.9063e-14

8.58482 0.5 0.6 3.18203e-12 -0.00340098 0.185662 0 0.999964 5.15836e-14

8.65663 0.5 0.6 -4.85571e-12 -0.00339409 0.185645 0 0.999965 5.42461e-14

8.72859 0.5 0.6 -6.53505e-12 -0.00338731 0.18563 0 0.999966 5.70286e-14

8.80068 0.5 0.6 -1.73015e-12 -0.0033805 0.185613 0 0.999967 5.9944e-14

8.87293 0.5 0.6 1.12466e-12 -0.00337373 0.185597 0 0.999968 6.29984e-14

8.94531 0.5 0.6 -9.62767e-13 -0.00336699 0.185581 0 0.999969 6.61962e-14

9.01784 0.5 0.6 2.24519e-12 -0.00336028 0.185566 0 0.99997 6.95411e-14

9.09052 0.5 0.6 -4.51337e-13 -0.0033536 0.18555 0 0.999971 7.30373e-14

9.16334 0.5 0.6 5.37831e-12 -0.00334696 0.185535 0 0.999972 7.6689e-14

9.23631 0.5 0.6 2.75811e-12 -0.00334035 0.18552 0 0.999973 8.05012e-14

9.30942 0.5 0.6 -3.61386e-12 -0.00333378 0.185506 0 0.999975 8.44793e-14

9.38267 0.5 0.6 -8.5431e-13 -0.00332723 0.185491 0 0.999976 8.8629e-14

9.45607 0.5 0.6 -5.49147e-13 -0.00332068 0.185479 0 0.999977 9.29446e-14

9.52961 0.5 0.6 -2.95849e-14 -0.00331421 0.185466 0 0.999978 9.7426e-14

9.6033 0.5 0.6 -6.41555e-12 -0.00330777 0.185454 0 0.99998 1.02076e-13

9.67714 0.5 0.6 -5.63125e-12 -0.00330136 0.185442 0 0.999981 1.069e-13

9.75112 0.5 0.6 -8.71298e-12 -0.00329499 0.185431 0 0.999982 1.11903e-13

9.82524 0.5 0.6 1.66422e-11 -0.00328864 0.18542 0 0.999984 1.17095e-13

9.8995 0.5 0.6 -2.1806e-12 -0.00328233 0.185408 0 0.999985 1.22485e-13

9.97391 0.5 0.6 5.5733e-12 -0.00327604 0.185397 0 0.999986 1.28078e-13

10.0485 0.5 0.6 -4.75718e-12 -0.00326979 0.185386 0 0.999988 1.33874e-13

10.1231 0.5 0.6 4.98569e-12 -0.00326356 0.185377 0 0.999989 1.39879e-13

10.198 0.5 0.6 -2.47511e-12 -0.00325739 0.185368 0 0.999991 1.46081e-13

10.273 0.5 0.6 7.63038e-12 -0.00325123 0.185358 0 0.999993 1.52496e-13

10.3481 0.5 0.6 -2.55147e-12 -0.0032451 0.185349 0 0.999994 1.59136e-13

10.4233 0.5 0.6 -3.9187e-12 -0.003239 0.185339 0 0.999996 1.66007e-13

