# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1> <C_2>
0 0.5 0.6 3.97559e-13 -0.00464771 0.189792 0 1 0

0.105074 0.5 0.6 -8.54272e-12 -0.00462497 0.189742 0 1 -1.13057e-18

0.210666 0.5 0.6 -1.65925e-12 -0.00460029 0.189676 0 1 2.38258e-16

0.316825 0.5 0.6 2.04388e-12 -0.00457581 0.189666 0 1 -1.27288e-15

0.423553 0.5 0.6 -2.13456e-12 -0.00455126 0.189653 0 1 1.81799e-15

0.530857 0.5 0.6 -4.09739e-13 -0.0045261 0.189611 0 1 1.64565e-15

0.638759 0.5 0.6 1.82554e-11 -0.00450157 0.189559 0 0.999999 -3.9528e-15

0.74725 0.5 0.6 -4.97075e-12 -0.0044778 0.189504 0 0.999999 -4.02645e-15

0.856318 0.5 0.6 -1.09328e-11 -0.00445415 0.189442 0 0.999999 3.84822e-15

0.965965 0.5 0.6 5.36808e-13 -0.00443095 0.189376 0 0.999999 1.04997e-14

1.07619 0.5 0.6 -3.5794e-13 -0.00440826 0.189314 0 0.999998 4.44258e-15

1.18698 0.5 0.6 -5.41623e-12 -0.00438611 0.189279 0 0.999998 -1.19679e-15

1.29833 0.5 0.6 -2.44294e-12 -0.00436417 0.189247 0 0.999997 -2.2618e-14

1.41024 0.5 0.6 8.03687e-12 -0.00434265 0.189214 0 0.999997 -1.20836e-14

1.5227 0.5 0.6 1.32176e-12 -0.00432137 0.189172 0 0.999996 3.33847e-14

1.63572 0.5 0.6 4.76932e-12 -0.00430038 0.189134 0 0.999996 5.28994e-14

1.74929 0.5 0.6 -7.88253e-13 -0.00427956 0.189094 0 0.999995 1.77024e-15

1.86342 0.5 0.6 6.30707e-14 -0.00425895 0.189052 0 0.999994 -9.52319e-14

1.9781 0.5 0.6 5.30328e-13 -0.00423849 0.189019 0 0.999994 -1.56142e-13

2.09333 0.5 0.6 6.282e-13 -0.00421832 0.188984 0 0.999993 -1.09672e-13

2.20912 0.5 0.6 -1.76431e-12 -0.00419828 0.188946 0 0.999992 4.6326e-14

2.32545 0.5 0.6 1.98342e-12 -0.00417798 0.188915 0 0.999992 2.10234e-13

2.44235 0.5 0.6 -1.92141e-12 -0.00415809 0.188878 0 0.999991 2.83841e-13

2.5598 0.5 0.6 5.73881e-13 -0.00413834 0.18884 0 0.99999 2.54868e-13

2.67782 0.5 0.6 7.23889e-12 -0.00411878 0.188799 0 0.99999 1.47539e-13

2.7964 0.5 0.6 -1.73563e-12 -0.00409928 0.188757 0 0.999989 -4.55908e-15

2.91554 0.5 0.6 -4.80167e-12 -0.00407984 0.188714 0 0.999989 -1.70393e-13

3.03525 0.5 0.6 -3.68558e-12 -0.00406052 0.188671 0 0.999988 -3.23448e-13

3.15553 0.5 0.6 7.05597e-13 -0.00404129 0.188632 0 0.999988 -4.39049e-13

3.27639 0.5 0.6 -3.36275e-12 -0.00402217 0.188598 0 0.999988 -4.92348e-13

3.39782 0.5 0.6 3.60127e-12 -0.00400317 0.188568 0 0.999988 -4.60111e-13

3.51982 0.5 0.6 -4.34952e-12 -0.00398468 0.188542 0 0.999988 -3.66297e-13

3.6424 0.5 0.6 4.61415e-12 -0.00396607 0.188509 0 0.999988 -8.32278e-14

3.76555 0.5 0.6 2.20843e-12 -0.00394754 0.188476 0 0.999988 3.34625e-13

3.88928 0.5 0.6 2.86822e-12 -0.00392916 0.188441 0 0.999989 7.64871e-13

4.01359 0.5 0.6 1.03901e-12 -0.00391096 0.188412 0 0.999989 1.0805e-12

4.13848 0.5 0.6 3.6256e-12 -0.00389287 0.188385 0 0.99999 1.19085e-12

4.26395 0.5 0.6 -1.88692e-12 -0.00387491 0.188356 0 0.999991 1.06588e-12

4.39001 0.5 0.6 9.4954e-13 -0.00385705 0.188328 0 0.999991 7.40761e-13

4.51665 0.5 0.6 -1.96657e-13 -0.00383929 0.188298 0 0.999992 2.9493e-13

4.64387 0.5 0.6 -3.61642e-12 -0.00382165 0.188268 0 0.999992 -1.7768e-13

4.77168 0.5 0.6 1.40059e-12 -0.00380409 0.188242 0 0.999992 -5.89138e-13

4.90008 0.5 0.6 9.72412e-15 -0.00378682 0.188213 0 0.999992 -9.16587e-13

5.02906 0.5 0.6 2.08522e-12 -0.0037697 0.188186 0 0.999992 -1.15306e-12

5.15863 0.5 0.6 1.7062e-12 -0.00375272 0.18816 0 0.999992 -1.30197e-12

5.28879 0.5 0.6 5.11755e-12 -0.00373584 0.188138 0 0.999992 -1.3739e-12

5.41953 0.5 0.6 -7.32324e-12 -0.003719 0.188115 0 0.999991 -1.38151e-12

5.55087 0.5 0.6 -2.64575e-12 -0.00370227 0.188093 0 0.999991 -1.33376e-12

5.68281 0.5 0.6 2.98836e-12 -0.00368568 0.188071 0 0.999989 -1.23203e-12

5.81533 0.5 0.6 1.0549e-11 -0.00366918 0.188054 0 0.999988 -1.07145e-12

5.94846 0.5 0.6 9.8271e-14 -0.0036528 0.188043 0 0.999986 -8.43334e-13

6.08218 0.5 0.6 4.55796e-13 -0.00363651 0.188026 0 0.999984 -5.2835e-13

6.2165 0.5 0.6 -1.27635e-12 -0.00362043 0.188009 0 0.999983 -1.35819e-13

6.35141 0.5 0.6 -6.09913e-14 -0.00360451 0.187992 0 0.999981 3.17482e-13

6.48692 0.5 0.6 -3.59159e-12 -0.0035887 0.187977 0 0.999979 8.08023e-13

6.62303 0.5 0.6 1.25517e-12 -0.00357301 0.18796 0 0.999978 1.30915e-12

6.75974 0.5 0.6 -1.64763e-12 -0.00355747 0.187942 0 0.999976 1.7954e-12

6.89705 0.5 0.6 -1.09815e-11 -0.00354207 0.187925 0 0.999974 2.24447e-12

7.03495 0.5 0.6 -9.53493e-13 -0.00352679 0.187911 0 0.999972 2.63663e-12

7.17345 0.5 0.6 -4.12714e-12 -0.0035116 0.1879 0 0.99997 2.952e-12

7.31254 0.5 0.6 3.3423e-12 -0.00349646 0.187892 0 0.999968 3.16717e-12

7.45224 0.5 0.6 -6.04092e-12 -0.00348136 0.187898 0 0.999967 3.16198e-12

7.59255 0.5 0.6 -2.43336e-12 -0.00346656 0.18789 0 0.999965 3.04554e-12

7.73345 0.5 0.6 -6.77214e-12 -0.00345188 0.187883 0 0.999964 2.85861e-12

7.87495 0.5 0.6 -2.52662e-12 -0.00343735 0.187877 0 0.999963 2.6196e-12

8.01704 0.5 0.6 5.12132e-12 -0.00342296 0.187871 0 0.999961 2.33908e-12

8.15974 0.5 0.6 -7.54143e-12 -0.00340867 0.187866 0 0.99996 2.0243e-12

8.30303 0.5 0.6 -4.93252e-12 -0.00339451 0.187861 0 0.999959 1.68094e-12

8.44692 0.5 0.6 1.04838e-12 -0.00338051 0.18786 0 0.999957 1.31407e-12

8.5914 0.5 0.6 6.74859e-13 -0.00336666 0.187862 0 0.999956 9.28967e-13

8.73648 0.5 0.6 -3.18393e-12 -0.00335294 0.187864 0 0.999955 5.31639e-13

8.88214 0.5 0.6 -2.56447e-12 -0.00333923 0.187866 0 0.999953 1.41437e-13

9.02842 0.5 0.6 4.7054e-12 -0.00332578 0.18787 0 0.999952 -2.47589e-13

9.17529 0.5 0.6 -5.64504e-13 -0.00331248 0.187876 0 0.999951 -6.35484e-13

9.32274 0.5 0.6 9.43382e-13 -0.00329931 0.187884 0 0.99995 -1.02052e-12

9.47078 0.5 0.6 3.86706e-12 -0.00328627 0.187893 0 0.999949 -1.40098e-12

9.61941 0.5 0.6 5.96549e-12 -0.00327336 0.187904 0 0.999948 -1.77593e-12

9.76863 0.5 0.6 -2.40841e-12 -0.00326056 0.187917 0 0.999947 -2.14547e-12

9.91843 0.5 0.6 8.37758e-12 -0.00324786 0.187932 0 0.999946 -2.51058e-12

10.0688 0.5 0.6 -2.94074e-12 -0.00323528 0.187949 0 0.999945 -2.87291e-12

10.2198 0.5 0.6 2.07613e-14 -0.00322282 0.187968 0 0.999943 -3.2343e-12

10.3713 0.5 0.6 -7.08531e-12 -0.00321045 0.187988 0 0.999943 -3.59782e-12

10.5235 0.5 0.6 1.34797e-11 -0.00319825 0.188011 0 0.999942 -3.96395e-12

10.6762 0.5 0.6 -1.91801e-12 -0.00318618 0.188033 0 0.999942 -4.33263e-12

10.8295 0.5 0.6 2.4613e-12 -0.00317424 0.188059 0 0.999941 -4.70213e-12

10.9834 0.5 0.6 5.42105e-12 -0.00316247 0.188085 0 0.999941 -5.0687e-12

11.1378 0.5 0.6 -5.65649e-12 -0.00315084 0.188109 0 0.999941 -5.42696e-12

11.2928 0.5 0.6 1.42115e-12 -0.00313933 0.188135 0 0.999941 -5.77079e-12

11.4484 0.5 0.6 7.12223e-13 -0.00312794 0.188164 0 0.999942 -6.09452e-12

11.6045 0.5 0.6 -3.42081e-13 -0.00311668 0.188196 0 0.999942 -6.39367e-12

11.7613 0.5 0.6 2.66927e-12 -0.00310557 0.188233 0 0.999943 -6.66489e-12

11.9185 0.5 0.6 -3.6474e-12 -0.00309437 0.188263 0 0.999943 -6.92349e-12

12.0763 0.5 0.6 1.13764e-12 -0.00308352 0.188305 0 0.999944 -7.13679e-12

12.2347 0.5 0.6 3.20028e-12 -0.00307282 0.188349 0 0.999944 -7.28069e-12

12.3937 0.5 0.6 4.89661e-12 -0.00306225 0.188394 0 0.999945 -7.33631e-12

12.5531 0.5 0.6 3.41643e-12 -0.00305179 0.18844 0 0.999946 -7.2899e-12

12.7132 0.5 0.6 4.29501e-12 -0.00304144 0.188487 0 0.999947 -7.13313e-12

12.8737 0.5 0.6 2.32522e-12 -0.00303122 0.188536 0 0.999949 -6.86261e-12

13.0348 0.5 0.6 3.75609e-12 -0.00302114 0.188589 0 0.99995 -6.4783e-12

13.1965 0.5 0.6 3.95511e-12 -0.00301118 0.188645 0 0.999951 -5.98152e-12

13.3587 0.5 0.6 3.09441e-12 -0.00300134 0.188704 0 0.999953 -5.37258e-12

13.5214 0.5 0.6 3.60423e-12 -0.0029915 0.188766 0 0.999955 -4.66713e-12

13.6846 0.5 0.6 6.33008e-12 -0.0029819 0.18883 0 0.999957 -3.83907e-12

13.8484 0.5 0.6 5.13039e-12 -0.00297246 0.188896 0 0.99996 -2.87062e-12

14.0127 0.5 0.6 1.1352e-11 -0.00296314 0.188966 0 0.999963 -1.74742e-12

14.1775 0.5 0.6 -3.41018e-12 -0.00295395 0.189036 0 0.999965 -4.5863e-13

14.3428 0.5 0.6 9.06233e-12 -0.0029449 0.189108 0 0.999968 1.00186e-12

14.5086 0.5 0.6 -4.60577e-13 -0.00293598 0.189186 0 0.999971 2.63431e-12

14.6749 0.5 0.6 3.70176e-13 -0.00292718 0.189267 0 0.999974 4.43207e-12

14.8418 0.5 0.6 -4.79672e-12 -0.00291851 0.18935 0 0.999977 6.38109e-12

15.0091 0.5 0.6 7.99488e-12 -0.00290997 0.189439 0 0.99998 8.45973e-12

15.1769 0.5 0.6 -1.02879e-12 -0.00290152 0.189181 0 0.999997 9.85282e-12

15.3452 0.5 0.6 -1.85507e-12 -0.00289321 0.189272 0 1.00002 1.10126e-11

15.5139 0.5 0.6 -8.29613e-12 -0.00288501 0.189364 0 1.00005 1.20969e-11

15.6832 0.5 0.6 3.31622e-12 -0.00287696 0.189454 0 1.00007 1.31483e-11

15.8529 0.5 0.6 -1.43082e-13 -0.00286901 0.189546 0 1.0001 1.4144e-11

16.0231 0.5 0.6 1.54681e-12 -0.0028612 0.189644 0 1.00013 1.50078e-11

16.1937 0.5 0.6 6.02175e-12 -0.00285353 0.189748 0 1.00016 1.56183e-11

16.3648 0.5 0.6 7.07013e-12 -0.00284597 0.189865 0 1.00018 1.58309e-11

16.5364 0.5 0.6 -7.20734e-13 -0.00283852 0.18999 0 1.00021 1.55176e-11

16.7084 0.5 0.6 -1.13486e-11 -0.00283118 0.190123 0 1.00024 1.46223e-11

16.8809 0.5 0.6 1.05294e-12 -0.00282391 0.19024 0 1.00026 1.41286e-11

17.0538 0.5 0.6 2.79796e-12 -0.00281681 0.190363 0 1.00029 1.38188e-11

17.2271 0.5 0.6 1.24962e-11 -0.00280984 0.190488 0 1.00031 1.35944e-11

17.4008 0.5 0.6 -4.13703e-12 -0.00280298 0.190616 0 1.00033 1.34077e-11

17.575 0.5 0.6 3.74958e-12 -0.00279626 0.190752 0 1.00035 1.32421e-11

17.7496 0.5 0.6 -4.56782e-12 -0.00278966 0.190896 0 1.00037 1.31047e-11

17.9246 0.5 0.6 5.38808e-13 -0.00278318 0.191044 0 1.00039 1.30188e-11

18.1 0.5 0.6 6.8102e-12 -0.00277681 0.191195 0 1.0004 1.30122e-11

18.2759 0.5 0.6 3.18577e-12 -0.00277057 0.191349 0 1.00041 1.31056e-11

18.4521 0.5 0.6 -7.2844e-12 -0.00276444 0.191505 0 1.00042 1.33011e-11

18.6287 0.5 0.6 -1.03881e-13 -0.00275841 0.191665 0 1.00043 1.35943e-11

18.805 0.5 0.6 1.88252e-12 -0.00275255 0.191827 0 1.00044 1.39021e-11

18.9811 0.5 0.6 -6.48551e-13 -0.00274683 0.191986 0 1.00044 1.41579e-11

19.1567 0.5 0.6 7.0159e-12 -0.00274122 0.192148 0 1.00044 1.43105e-11

19.3321 0.5 0.6 -1.70054e-12 -0.00273574 0.192313 0 1.00044 1.43231e-11

19.5071 0.5 0.6 3.23158e-12 -0.00273039 0.192482 0 1.00043 1.41691e-11

19.6817 0.5 0.6 -4.38414e-13 -0.00272519 0.192654 0 1.00042 1.38282e-11

19.856 0.5 0.6 -3.02493e-12 -0.00272009 0.192828 0 1.00041 1.32813e-11

20.0299 0.5 0.6 -8.04563e-12 -0.00271513 0.193006 0 1.0004 1.2508e-11

20.2033 0.5 0.6 -4.78401e-13 -0.00271029 0.193189 0 1.00038 1.1486e-11

20.3764 0.5 0.6 -2.69631e-12 -0.00270563 0.193393 0 1.00036 1.02833e-11

20.5491 0.5 0.6 -9.14824e-13 -0.00270104 0.193588 0 1.00034 8.67202e-12

20.7213 0.5 0.6 -7.40489e-12 -0.00269657 0.193786 0 1.00032 6.67308e-12

