# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1> <C_2>
0 0.5 0.6 7.92358e-13 -0.0045724 0.189227 0 1 0

0.427139 0.5 0.6 1.27836e-12 -0.00463944 0.195732 0 1 -7.03465e-16

0.848114 0.5 0.6 2.8266e-12 -0.0046125 0.196445 0 1 2.71784e-12

1.27155 0.5 0.6 -1.64355e-12 -0.00456229 0.193512 0 1 -2.23703e-11

1.69964 0.5 0.6 -1.21063e-11 -0.00450332 0.192443 0 1 5.42843e-11

2.13334 0.5 0.6 1.9312e-11 -0.00444479 0.19382 0 1.00001 4.77737e-13

2.57276 0.5 0.6 4.23488e-12 -0.00438326 0.193907 0 1.00001 -1.35802e-10

3.01834 0.5 0.6 1.35364e-11 -0.00432106 0.194634 0 1.00002 -2.02382e-11

3.47034 0.5 0.6 -9.87618e-12 -0.00426017 0.196501 0 1.00002 2.77144e-10

3.92879 0.5 0.6 -8.72451e-12 -0.0042012 0.197134 0 1.00001 2.31531e-10

4.39369 0.5 0.6 -2.07314e-12 -0.00414531 0.201404 0 1 -2.94071e-10

4.86485 0.5 0.6 1.3175e-11 -0.00409246 0.203157 0 0.999977 -7.5953e-10

5.33963 0.5 0.6 -9.26092e-12 -0.00404224 0.207725 0 0.999944 -4.10053e-10

5.79591 0.5 0.6 -1.40609e-11 -0.00399321 0.209589 0 0.999907 8.58196e-10

6.2321 0.5 0.6 -7.45263e-12 -0.00394701 0.21335 0 0.999871 1.99686e-09

6.64887 0.5 0.6 4.61756e-12 -0.00390635 0.214144 0 0.999841 1.73399e-09

7.04763 0.5 0.6 1.04881e-11 -0.003869 0.214541 0 0.999821 -3.78241e-10

7.43113 0.5 0.6 -9.24958e-12 -0.00383227 0.217415 0 0.999812 -3.26259e-09

7.80084 0.5 0.6 1.16264e-12 -0.00379933 0.217257 0 0.999817 -5.3253e-09

8.15915 0.5 0.6 8.26535e-12 -0.00376932 0.21963 0 0.999835 -5.36078e-09

8.50805 0.5 0.6 3.77611e-13 -0.00374156 0.223878 0 0.999867 -2.87243e-09

8.84841 0.5 0.6 -5.63726e-12 -0.00371486 0.225988 0 0.99991 1.89206e-09

9.18173 0.5 0.6 -1.13706e-11 -0.003689 0.228373 0 0.999965 7.98614e-09

9.50898 0.5 0.6 2.50894e-12 -0.00366427 0.23162 0 1.00003 1.38604e-08

9.83055 0.5 0.6 -6.39746e-12 -0.00364198 0.232914 0 1.0001 1.76276e-08

10.1468 0.5 0.6 -1.19325e-11 -0.00362087 0.231257 0 1.00017 1.71551e-08

10.4581 0.5 0.6 2.30135e-11 -0.00360052 0.231461 0 1.00024 1.09879e-08

10.765 0.5 0.6 -1.23558e-11 -0.00358099 0.233266 0 1.0003 -9.34341e-10

11.068 0.5 0.6 2.05814e-12 -0.00356264 0.233953 0 1.00036 -1.70533e-08

11.3673 0.5 0.6 -2.35178e-11 -0.00354511 0.231728 0 1.00041 -3.44724e-08

11.6632 0.5 0.6 -3.10928e-11 -0.00352896 0.235061 0 1.00044 -4.94451e-08

11.9558 0.5 0.6 -9.20942e-12 -0.00351342 0.24088 0 1.00046 -5.81462e-08

12.2449 0.5 0.6 -3.31163e-12 -0.00349894 0.244983 0 1.00047 -5.73698e-08

12.5303 0.5 0.6 -1.39727e-11 -0.00348558 0.246174 0 1.00045 -4.51072e-08

12.8124 0.5 0.6 -5.00505e-12 -0.00347282 0.24331 0 1.00042 -2.08739e-08

13.0913 0.5 0.6 1.47358e-11 -0.00346057 0.245104 0 1.00037 1.40717e-08

13.3674 0.5 0.6 5.33521e-12 -0.00344863 0.2475 0 1.0003 5.67625e-08

13.6401 0.5 0.6 -6.70703e-12 -0.00343728 0.248004 0 1.00021 1.02429e-07

13.9096 0.5 0.6 8.31641e-12 -0.00342642 0.246759 0 1.00011 1.4544e-07

14.1761 0.5 0.6 1.18895e-11 -0.00341601 0.250004 0 1 1.79592e-07

14.4397 0.5 0.6 1.97555e-12 -0.00340631 0.25624 0 0.999884 1.98162e-07

14.7004 0.5 0.6 5.23502e-12 -0.00339697 0.258625 0 0.999759 1.95014e-07

14.9584 0.5 0.6 6.85016e-12 -0.00338818 0.258094 0 0.999631 1.65577e-07

15.2134 0.5 0.6 -3.92633e-12 -0.00337979 0.255772 0 0.999504 1.0771e-07

15.4657 0.5 0.6 -2.84794e-12 -0.00337174 0.254909 0 0.999383 2.23906e-08

15.7152 0.5 0.6 -2.07608e-11 -0.00336439 0.262512 0 0.999269 -8.61389e-08

15.9619 0.5 0.6 2.91513e-12 -0.00335755 0.266244 0 0.999164 -2.10574e-07

16.206 0.5 0.6 -1.8829e-12 -0.00335124 0.268008 0 0.999072 -3.41074e-07

16.4476 0.5 0.6 -4.82675e-12 -0.00334543 0.268902 0 0.998993 -4.65882e-07

16.6866 0.5 0.6 2.67575e-12 -0.00334009 0.268296 0 0.998929 -5.72269e-07

