# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1> <C_2>
0 0.5 0.6 5.27599e-13 -0.00453348 0.188307 0 1 0

0.430803 0.5 0.6 -1.35387e-11 -0.00461415 0.199199 0 1 -6.77341e-16

0.854085 0.5 0.6 -1.3471e-11 -0.00458943 0.197982 0 1 2.57166e-12

1.27965 0.5 0.6 4.32271e-11 -0.00453798 0.194643 0 1 -2.13335e-11

1.71003 0.5 0.6 -1.34101e-11 -0.00447978 0.193751 0 1 5.16698e-11

2.14601 0.5 0.6 4.0722e-11 -0.00442417 0.194026 0 1.00001 1.37815e-12

2.58747 0.5 0.6 2.55518e-11 -0.00436428 0.194684 0 1.00001 -1.29699e-10

3.03499 0.5 0.6 3.33762e-12 -0.00429768 0.19417 0 1.00002 -1.9632e-11

3.48945 0.5 0.6 2.51712e-12 -0.00423252 0.195841 0 1.00002 2.51701e-10

3.9509 0.5 0.6 7.2548e-12 -0.00417577 0.196968 0 1.00001 2.36628e-10

4.41863 0.5 0.6 9.7985e-13 -0.00412093 0.20072 0 1 -2.3588e-10

4.89258 0.5 0.6 4.9132e-11 -0.00407151 0.202972 0 0.999977 -7.59568e-10

5.34327 0.5 0.6 1.14019e-11 -0.00402353 0.206895 0 0.999946 -5.33671e-10

5.77483 0.5 0.6 -2.44893e-11 -0.00397615 0.209054 0 0.999911 6.44567e-10

6.19144 0.5 0.6 3.62728e-11 -0.00393055 0.212234 0 0.999876 2.00119e-09

6.59547 0.5 0.6 1.72713e-11 -0.00388875 0.213562 0 0.999846 2.238e-09

6.98852 0.5 0.6 -6.58009e-12 -0.00384958 0.212358 0 0.999824 4.23219e-10

7.36939 0.5 0.6 -1.10113e-11 -0.00381208 0.215143 0 0.999813 -2.7034e-09

7.73742 0.5 0.6 1.78219e-11 -0.00377746 0.21575 0 0.999814 -5.52522e-09

8.09325 0.5 0.6 6.83943e-12 -0.00374444 0.215635 0 0.999828 -6.42871e-09

8.43826 0.5 0.6 1.63104e-12 -0.00371529 0.219883 0 0.999855 -4.50243e-09

8.77442 0.5 0.6 -2.08068e-11 -0.00368845 0.222918 0 0.999893 1.90822e-10

9.1033 0.5 0.6 -2.8401e-11 -0.00366395 0.224605 0 0.999943 6.65444e-09

9.42546 0.5 0.6 -3.45186e-11 -0.0036405 0.228346 0 1 1.32127e-08

9.74139 0.5 0.6 9.24598e-12 -0.0036181 0.231152 0 1.00007 1.7848e-08

10.052 0.5 0.6 -3.84286e-11 -0.00359724 0.231916 0 1.00013 1.89947e-08

10.3578 0.5 0.6 3.41767e-12 -0.00357753 0.228979 0 1.0002 1.50938e-08

10.6589 0.5 0.6 -1.26671e-11 -0.00355833 0.230723 0 1.00027 5.40724e-09

10.9537 0.5 0.6 -1.91012e-11 -0.00353861 0.232169 0 1.00033 -9.20291e-09

11.2424 0.5 0.6 7.5005e-12 -0.00351916 0.231835 0 1.00038 -2.64187e-08

11.5258 0.5 0.6 -6.21236e-12 -0.00350094 0.228739 0 1.00043 -4.29907e-08

11.8041 0.5 0.6 -3.98103e-12 -0.00348461 0.233034 0 1.00046 -5.53955e-08

12.0777 0.5 0.6 2.86971e-12 -0.00346939 0.237131 0 1.00047 -6.05699e-08

12.347 0.5 0.6 7.83295e-12 -0.00345637 0.240399 0 1.00047 -5.64244e-08

12.6122 0.5 0.6 -1.08552e-11 -0.00344453 0.241749 0 1.00046 -4.20793e-08

12.8736 0.5 0.6 -1.10688e-11 -0.00343321 0.240743 0 1.00043 -1.79342e-08

13.1314 0.5 0.6 6.99403e-13 -0.00342242 0.24117 0 1.00038 1.43912e-08

13.3858 0.5 0.6 -6.46322e-12 -0.00341193 0.24363 0 1.00032 5.22465e-08

13.6371 0.5 0.6 6.09283e-12 -0.00340143 0.245313 0 1.00025 9.21707e-08

13.8853 0.5 0.6 2.22581e-11 -0.00339174 0.24491 0 1.00017 1.30022e-07

14.1305 0.5 0.6 2.65872e-11 -0.00338272 0.243909 0 1.00007 1.6173e-07

14.3728 0.5 0.6 4.56984e-11 -0.00337417 0.249029 0 0.999966 1.83333e-07

14.6123 0.5 0.6 2.71169e-11 -0.00336579 0.255283 0 0.999856 1.90877e-07

14.849 0.5 0.6 1.42818e-11 -0.00335768 0.257316 0 0.999741 1.80981e-07

15.0831 0.5 0.6 -1.4807e-11 -0.00334996 0.256436 0 0.999626 1.51253e-07

15.3148 0.5 0.6 -4.09352e-11 -0.0033426 0.254849 0 0.999512 1.00705e-07

15.5442 0.5 0.6 -1.17574e-12 -0.00333563 0.254356 0 0.999402 2.99943e-08

