# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1> <C_2>
0 0.5 0.6 -3.54335e-12 -0.00464694 0.190265 0 1 0

0.21018 0.5 0.6 -1.16271e-11 -0.00468047 0.195824 0 0.999973 -8.67533e-09

0.418872 0.5 0.6 9.576e-13 -0.00465624 0.206633 0 1.00018 5.34307e-07

0.628693 0.5 0.6 -1.49828e-12 -0.00463994 0.215993 0 1.00006 -2.07998e-06

0.839278 0.5 0.6 -5.76064e-13 -0.00460703 0.20865 0 0.999721 1.30706e-06

1.05136 0.5 0.6 -4.49298e-12 -0.00457749 0.218518 0 0.999587 3.77003e-06

1.26482 0.5 0.6 -2.44341e-12 -0.00453735 0.213524 0 0.999872 -1.39494e-06

1.48022 0.5 0.6 1.4599e-13 -0.00449426 0.214819 0 1.00041 -6.8557e-06

1.69762 0.5 0.6 -3.2402e-12 -0.00445657 0.225694 0 1.00082 -3.56824e-06

1.91689 0.5 0.6 8.82846e-13 -0.00442965 0.213487 0 1.00078 6.59692e-06

2.13752 0.5 0.6 3.04331e-12 -0.00439354 0.211472 0 1.00023 1.27235e-05

2.35992 0.5 0.6 3.50731e-13 -0.00436214 0.215893 0 0.99977 1.13262e-05

2.58392 0.5 0.6 -1.25397e-12 -0.00432348 0.219247 0 0.999519 7.97713e-06

2.80998 0.5 0.6 8.08981e-13 -0.00428624 0.21924 0 0.999441 3.71713e-06

3.03798 0.5 0.6 -1.41724e-12 -0.0042545 0.214429 0 0.999435 4.333e-07

3.2677 0.5 0.6 -1.42879e-12 -0.00422493 0.221717 0 0.999436 -3.75373e-06

3.49902 0.5 0.6 -3.12228e-12 -0.00418132 0.231173 0 0.999439 -1.11211e-05

3.73276 0.5 0.6 1.97514e-12 -0.00414897 0.22128 0 0.999472 -1.85778e-05

3.96842 0.5 0.6 -4.64252e-13 -0.00412106 0.221584 0 0.999556 -2.09362e-05

4.20568 0.5 0.6 4.91585e-12 -0.00408375 0.216081 0 0.999676 -1.74995e-05

