# <time> <evaluation_point_x> <evaluation_point_y> <velocity_x> <velocity_y> <pressure> <temperature> <C_1> <C_2>
0 0.5 0.6 1.22843e-12 -0.0046022 0.189971 0 1 0

0.212185 0.5 0.6 3.95793e-12 -0.00456596 0.188478 0 1 2.27068e-28

0.426053 0.5 0.6 -1.15359e-11 -0.00453436 0.187953 0 1 -1.04397e-22

0.641414 0.5 0.6 -2.86181e-12 -0.00448394 0.189964 0 1 1.8813e-21

0.859198 0.5 0.6 2.3803e-11 -0.00443742 0.189846 0 1 -1.50057e-20

1.07927 0.5 0.6 -2.05754e-11 -0.00438856 0.189628 0 1 6.38567e-20

1.30178 0.5 0.6 -2.49451e-11 -0.00435128 0.190799 0 1 -1.46014e-19

1.52621 0.5 0.6 -2.29092e-11 -0.00432204 0.191215 0 1 1.14e-19

1.75215 0.5 0.6 -1.16226e-12 -0.00427458 0.189784 0 1 2.15933e-19

1.98061 0.5 0.6 -1.07128e-11 -0.0042412 0.187951 0 1 -4.50601e-19

2.21086 0.5 0.6 3.10485e-11 -0.00420306 0.188105 0 1 -2.54229e-19

2.4432 0.5 0.6 -5.96197e-11 -0.00415644 0.188886 0 1 9.32484e-19

2.67815 0.5 0.6 3.36777e-12 -0.00411714 0.189236 0 1 6.44557e-19

2.91534 0.5 0.6 -2.16808e-11 -0.00408128 0.188901 0 1 -1.56457e-18

3.15462 0.5 0.6 -1.69405e-11 -0.00404394 0.189181 0 1 -2.1493e-18

3.3961 0.5 0.6 7.49223e-11 -0.00401168 0.190384 0 1.00001 1.59119e-18

3.63953 0.5 0.6 -2.76925e-12 -0.00396968 0.188654 0 1.00001 5.59556e-18

3.88554 0.5 0.6 2.92258e-12 -0.00393559 0.18742 0 1.00001 1.87521e-18

4.13367 0.5 0.6 2.384e-11 -0.00390272 0.187037 0 1.00001 -9.53237e-18

