#Points_Magnitude  strain_rate_tensor_Magnitude  velocity_Magnitude
1  7.95622e-11  6.11925e-12
1.001  7.95622e-11  6.1452e-12
1.002  7.95622e-11  6.17164e-12
1.003  7.95622e-11  6.19859e-12
1.004  7.95622e-11  6.22602e-12
1.005  7.95622e-11  6.25393e-12
1.006  7.95622e-11  6.28233e-12
1.007  7.95622e-11  6.31119e-12
1.008  7.95622e-11  6.34051e-12
1.009  7.95622e-11  6.37029e-12
1.01  7.95622e-11  6.40052e-12
1.011  7.95622e-11  6.4312e-12
1.012  7.95622e-11  6.46231e-12
1.013  7.95622e-11  6.49386e-12
1.014  7.95622e-11  6.52583e-12
1.015  7.95622e-11  6.55822e-12
1.016  2.40201e-10  6.54538e-12
1.017  2.40201e-10  6.46062e-12
1.018  2.40201e-10  6.38186e-12
1.019  2.40201e-10  6.30935e-12
1.02  2.40201e-10  6.2433e-12
1.021  2.40201e-10  6.1839e-12
1.022  2.40201e-10  6.13136e-12
1.023  2.40201e-10  6.08586e-12
1.024  1.66271e-10  6.04755e-12
1.025  1.66271e-10  6.01657e-12
1.026  1.66271e-10  5.99303e-12
1.027  1.66271e-10  5.97703e-12
1.028  1.66271e-10  5.96861e-12
1.029  1.66271e-10  5.96783e-12
1.03  1.66271e-10  5.97467e-12
1.031  1.66271e-10  5.98911e-12
1.032  2.8559e-10  6.01449e-12
1.033  2.8559e-10  6.04594e-12
1.034  2.8559e-10  6.08187e-12
1.035  2.8559e-10  6.12221e-12
1.036  2.8559e-10  6.16688e-12
1.037  2.8559e-10  6.21577e-12
1.038  2.8559e-10  6.26881e-12
1.039  2.8559e-10  6.32587e-12
1.04  2.50052e-10  6.38684e-12
1.041  2.50052e-10  6.45163e-12
1.042  2.50052e-10  6.52011e-12
1.043  2.50052e-10  6.59217e-12
1.044  2.50052e-10  6.6677e-12
1.045  2.50052e-10  6.74657e-12
1.046  2.50052e-10  6.82867e-12
1.047  3.21255e-10  6.91646e-12
1.048  3.21255e-10  7.02729e-12
1.049  3.21255e-10  7.14476e-12
1.05  3.21255e-10  7.2685e-12
1.051  3.21255e-10  7.39824e-12
1.052  3.21255e-10  7.53365e-12
1.053  3.21255e-10  7.67441e-12
1.054  3.21255e-10  7.82027e-12
1.055  3.1373e-10  7.97091e-12
1.056  3.1373e-10  8.1261e-12
1.057  3.1373e-10  8.28557e-12
1.058  3.1373e-10  8.44905e-12
1.059  3.1373e-10  8.61637e-12
1.06  3.1373e-10  8.78725e-12
1.061  3.1373e-10  8.96153e-12
1.062  3.1373e-10  9.13901e-12
1.063  3.60389e-10  9.35661e-12
1.064  3.60389e-10  9.61576e-12
1.065  3.60389e-10  9.87948e-12
1.066  3.60389e-10  1.01474e-11
1.067  3.60389e-10  1.04192e-11
1.068  3.60389e-10  1.06946e-11
1.069  3.60389e-10  1.09733e-11
1.07  3.60389e-10  1.12551e-11
1.071  3.47178e-10  1.15397e-11
1.072  3.47178e-10  1.18269e-11
1.073  3.47178e-10  1.21166e-11
1.074  3.47178e-10  1.24087e-11
1.075  3.47178e-10  1.27028e-11
1.076  3.47178e-10  1.29989e-11
1.077  3.47178e-10  1.32968e-11
1.078  3.47178e-10  1.35965e-11
1.079  3.88574e-10  1.38965e-11
1.08  3.88574e-10  1.41974e-11
1.081  3.88574e-10  1.44991e-11
1.082  3.88574e-10  1.48017e-11
1.083  3.88574e-10  1.51051e-11
1.084  3.88574e-10  1.54092e-11
1.085  3.88574e-10  1.57141e-11
1.086  3.91505e-10  1.60196e-11
1.087  3.91505e-10  1.63257e-11
1.088  3.91505e-10  1.66324e-11
1.089  3.91505e-10  1.69397e-11
1.09  3.91505e-10  1.72475e-11
1.091  3.91505e-10  1.75558e-11
1.092  3.91505e-10  1.78645e-11
