 -2.44826381E-12 -1.00000000E+00  8.49641299E-02 -2.20920243E-02
  2.50000000E-02 -1.00000000E+00  8.49094838E-02 -2.19840425E-02
  5.00000000E-02 -1.00000000E+00  8.48537670E-02 -2.18673720E-02
  7.50000000E-02 -1.00000000E+00  8.47969740E-02 -2.17420477E-02
  1.00000000E-01 -1.00000000E+00  8.47390988E-02 -2.16081186E-02
  1.25000000E-01 -1.00000000E+00  8.46801361E-02 -2.14656476E-02
  1.50000000E-01 -1.00000000E+00  8.46200810E-02 -2.13147116E-02
  1.75000000E-01 -1.00000000E+00  8.45589299E-02 -2.11554008E-02
  2.00000000E-01 -1.00000000E+00  8.44966807E-02 -2.09878184E-02
  2.25000000E-01 -1.00000000E+00  8.44333327E-02 -2.08120796E-02
  2.50000000E-01 -1.00000000E+00  8.43688871E-02 -2.06283111E-02
  2.75000000E-01 -1.00000000E+00  8.43033470E-02 -2.04366497E-02
  3.00000000E-01 -1.00000000E+00  8.42367174E-02 -2.02372418E-02
  3.25000000E-01 -1.00000000E+00  8.41690051E-02 -2.00302422E-02
  3.50000000E-01 -1.00000000E+00  8.41002188E-02 -1.98158135E-02
  3.75000000E-01 -1.00000000E+00  8.40303687E-02 -1.95941252E-02
  4.00000000E-01 -1.00000000E+00  8.39594668E-02 -1.93653529E-02
  4.25000000E-01 -1.00000000E+00  8.38875265E-02 -1.91296776E-02
  4.50000000E-01 -1.00000000E+00  8.38145622E-02 -1.88872851E-02
  4.75000000E-01 -1.00000000E+00  8.37405899E-02 -1.86383657E-02
  5.00000000E-01 -1.00000000E+00  8.36656261E-02 -1.83831132E-02
  5.25000000E-01 -1.00000000E+00  8.35896885E-02 -1.81217249E-02
  5.50000000E-01 -1.00000000E+00  8.35127952E-02 -1.78544012E-02
  5.75000000E-01 -1.00000000E+00  8.34349650E-02 -1.75813450E-02
  6.00000000E-01 -1.00000000E+00  8.33562170E-02 -1.73027616E-02
  6.25000000E-01 -1.00000000E+00  8.32765709E-02 -1.70188584E-02
  6.50000000E-01 -1.00000000E+00  8.31960463E-02 -1.67298448E-02
  6.75000000E-01 -1.00000000E+00  8.31146629E-02 -1.64359317E-02
  7.00000000E-01 -1.00000000E+00  8.30324408E-02 -1.61373318E-02
  7.25000000E-01 -1.00000000E+00  8.29493996E-02 -1.58342588E-02
  7.50000000E-01 -1.00000000E+00  8.28655591E-02 -1.55269278E-02
  7.75000000E-01 -1.00000000E+00  8.27809387E-02 -1.52155552E-02
  8.00000000E-01 -1.00000000E+00  8.26955578E-02 -1.49003580E-02
  8.25000000E-01 -1.00000000E+00  8.26094353E-02 -1.45815543E-02
  8.50000000E-01 -1.00000000E+00  8.25225900E-02 -1.42593632E-02
  8.75000000E-01 -1.00000000E+00  8.24350401E-02 -1.39340040E-02
  9.00000000E-01 -1.00000000E+00  8.23468036E-02 -1.36056972E-02
  9.25000000E-01 -1.00000000E+00  8.22578980E-02 -1.32746635E-02
  9.50000000E-01 -1.00000000E+00  8.21683406E-02 -1.29411243E-02
  9.75000000E-01 -1.00000000E+00  8.20781479E-02 -1.26053013E-02
  1.00000000E+00 -1.00000000E+00  8.19873362E-02 -1.22674167E-02
  1.02500000E+00 -1.00000000E+00  8.18959212E-02 -1.19276932E-02
  1.05000000E+00 -1.00000000E+00  8.18039182E-02 -1.15863534E-02
  1.07500000E+00 -1.00000000E+00  8.17113419E-02 -1.12436207E-02
  1.10000000E+00 -1.00000000E+00  8.16182066E-02 -1.08997182E-02
  1.12500000E+00 -1.00000000E+00  8.15245261E-02 -1.05548695E-02
  1.15000000E+00 -1.00000000E+00  8.14303136E-02 -1.02092983E-02
  1.17500000E+00 -1.00000000E+00  8.13355820E-02 -9.86322842E-03
  1.20000000E+00 -1.00000000E+00  8.12403434E-02 -9.51688373E-03
  1.22500000E+00 -1.00000000E+00  8.11446096E-02 -9.17048820E-03
  1.25000000E+00 -1.00000000E+00  8.10483919E-02 -8.82426585E-03
  1.27500000E+00 -1.00000000E+00  8.09517010E-02 -8.47844073E-03
  1.30000000E+00 -1.00000000E+00  8.08545471E-02 -8.13323686E-03
  1.32500000E+00 -1.00000000E+00  8.07569401E-02 -7.78887828E-03
  1.35000000E+00 -1.00000000E+00  8.06588891E-02 -7.44558898E-03
  1.37500000E+00 -1.00000000E+00  8.05604030E-02 -7.10359289E-03
  1.40000000E+00 -1.00000000E+00  8.04614901E-02 -6.76311389E-03
  1.42500000E+00 -1.00000000E+00  8.03621582E-02 -6.42437578E-03
  1.45000000E+00 -1.00000000E+00  8.02624146E-02 -6.08760226E-03
  1.47500000E+00 -1.00000000E+00  8.01622663E-02 -5.75301695E-03
  1.50000000E+00 -1.00000000E+00  8.00617197E-02 -5.42084333E-03
  1.52500000E+00 -1.00000000E+00  7.99607807E-02 -5.09130477E-03
  1.55000000E+00 -1.00000000E+00  7.98594550E-02 -4.76462452E-03
  1.57500000E+00 -1.00000000E+00  7.97577476E-02 -4.44102566E-03
  1.60000000E+00 -1.00000000E+00  7.96556632E-02 -4.12073115E-03
  1.62500000E+00 -1.00000000E+00  7.95532061E-02 -3.80396378E-03
  1.65000000E+00 -1.00000000E+00  7.94503801E-02 -3.49094617E-03
  1.67500000E+00 -1.00000000E+00  7.93471888E-02 -3.18190077E-03
  1.70000000E+00 -1.00000000E+00  7.92436350E-02 -2.87704986E-03
  1.72500000E+00 -1.00000000E+00  7.91397216E-02 -2.57661552E-03
  1.75000000E+00 -1.00000000E+00  7.90354508E-02 -2.28081963E-03
  1.77500000E+00 -1.00000000E+00  7.89308244E-02 -1.98988386E-03
  1.80000000E+00 -1.00000000E+00  7.88258441E-02 -1.70402968E-03
  1.82500000E+00 -1.00000000E+00  7.87205111E-02 -1.42347832E-03
  1.85000000E+00 -1.00000000E+00  7.86148262E-02 -1.14845077E-03
  1.87500000E+00 -1.00000000E+00  7.85087899E-02 -8.79167799E-04
  1.90000000E+00 -1.00000000E+00  7.84024025E-02 -6.15849882E-04
  1.92500000E+00 -1.00000000E+00  7.82956639E-02 -3.58717242E-04
  1.95000000E+00 -1.00000000E+00  7.81885736E-02 -1.07989809E-04
  1.97500000E+00 -1.00000000E+00  7.80811311E-02  1.36112787E-04
  2.00000000E+00 -1.00000000E+00  7.79733352E-02  3.73371236E-04
  2.02500000E+00 -1.00000000E+00  7.78651848E-02  6.03566562E-04
  2.05000000E+00 -1.00000000E+00  7.77566785E-02  8.26480147E-04
  2.07500000E+00 -1.00000000E+00  7.76478144E-02  1.04189375E-03
  2.10000000E+00 -1.00000000E+00  7.75385906E-02  1.24958952E-03
  2.12500000E+00 -1.00000000E+00  7.74290050E-02  1.44935004E-03
  2.15000000E+00 -1.00000000E+00  7.73190552E-02  1.64095833E-03
  2.17500000E+00 -1.00000000E+00  7.72087385E-02  1.82419789E-03
  2.20000000E+00 -1.00000000E+00  7.70980523E-02  1.99885272E-03
  2.22500000E+00 -1.00000000E+00  7.69869937E-02  2.16470736E-03
