              x              y              u              v              V
  0.6000000E+03 -0.6000000E+03  0.3535534E+01 -0.3535534E+01  0.5000000E+01
  0.6024403E+03 -0.6000000E+03  0.3535997E+01 -0.3534852E+01  0.4999845E+01
  0.6049887E+03 -0.6000000E+03  0.3536645E+01 -0.3533891E+01  0.4999624E+01
  0.6076499E+03 -0.6000000E+03  0.3537542E+01 -0.3532324E+01  0.4999152E+01
  0.6104290E+03 -0.6000000E+03  0.3538847E+01 -0.3529839E+01  0.4998320E+01
  0.6133310E+03 -0.6000000E+03  0.3540748E+01 -0.3525940E+01  0.4996914E+01
  0.6163616E+03 -0.6000000E+03  0.3543524E+01 -0.3519888E+01  0.4994614E+01
  0.6195263E+03 -0.6000000E+03  0.3547525E+01 -0.3510609E+01  0.4990922E+01
  0.6228312E+03 -0.6000000E+03  0.3553167E+01 -0.3496615E+01  0.4985109E+01
  0.6262823E+03 -0.6000000E+03  0.3560842E+01 -0.3475970E+01  0.4976139E+01
  0.6298863E+03 -0.6000000E+03  0.3570636E+01 -0.3446569E+01  0.4962689E+01
  0.6336498E+03 -0.6000000E+03  0.3582374E+01 -0.3406273E+01  0.4943289E+01
  0.6375800E+03 -0.6000000E+03  0.3595322E+01 -0.3353412E+01  0.4916474E+01
  0.6416841E+03 -0.6000000E+03  0.3608185E+01 -0.3287550E+01  0.4881289E+01
  0.6459700E+03 -0.6000000E+03  0.3619073E+01 -0.3209980E+01  0.4837526E+01
  0.6504456E+03 -0.6000000E+03  0.3626173E+01 -0.3123993E+01  0.4786279E+01
  0.6551193E+03 -0.6000000E+03  0.3628969E+01 -0.3033928E+01  0.4730131E+01
  0.6600000E+03 -0.6000000E+03  0.3628485E+01 -0.2943608E+01  0.4672337E+01
  0.6600000E+03 -0.6000000E+03  0.3628485E+01 -0.2943608E+01  0.4672337E+01
  0.6600000E+03 -0.5950000E+03  0.3538834E+01 -0.2943910E+01  0.4603254E+01
  0.6600000E+03 -0.5900000E+03  0.3453892E+01 -0.2939501E+01  0.4535420E+01
  0.6600000E+03 -0.5850000E+03  0.3374347E+01 -0.2925265E+01  0.4465803E+01
  0.6600000E+03 -0.5800000E+03  0.3293789E+01 -0.2899229E+01  0.4388003E+01
  0.6600000E+03 -0.5750000E+03  0.3211734E+01 -0.2859748E+01  0.4300395E+01
  0.6600000E+03 -0.5700000E+03  0.3126901E+01 -0.2809587E+01  0.4203723E+01
  0.6600000E+03 -0.5650000E+03  0.3038041E+01 -0.2749712E+01  0.4097634E+01
  0.6600000E+03 -0.5600000E+03  0.2948358E+01 -0.2683131E+01  0.3986478E+01
  0.6600000E+03 -0.5550000E+03  0.2855095E+01 -0.2610038E+01  0.3868316E+01
  0.6600000E+03 -0.5500000E+03  0.2760862E+01 -0.2532229E+01  0.3746270E+01
  0.6600000E+03 -0.5450000E+03  0.2665451E+01 -0.2450504E+01  0.3620718E+01
  0.6600000E+03 -0.5400000E+03  0.2568956E+01 -0.2365855E+01  0.3492393E+01
  0.6600000E+03 -0.5350000E+03  0.2471388E+01 -0.2278643E+01  0.3361543E+01
  0.6600000E+03 -0.5300000E+03  0.2372422E+01 -0.2189430E+01  0.3228311E+01
  0.6600000E+03 -0.5250000E+03  0.2271815E+01 -0.2098589E+01  0.3092769E+01
  0.6600000E+03 -0.5200000E+03  0.2169300E+01 -0.2006432E+01  0.2954933E+01
  0.6600000E+03 -0.5150000E+03  0.2064532E+01 -0.1913256E+01  0.2814754E+01
  0.6600000E+03 -0.5100000E+03  0.1957247E+01 -0.1819377E+01  0.2672256E+01
  0.6600000E+03 -0.5050000E+03  0.1847115E+01 -0.1725088E+01  0.2527402E+01
  0.6600000E+03 -0.5000000E+03  0.1734013E+01 -0.1630512E+01  0.2380204E+01
  0.6600000E+03 -0.4950000E+03  0.1617803E+01 -0.1536581E+01  0.2231226E+01
  0.6600000E+03 -0.4900000E+03  0.1498640E+01 -0.1443138E+01  0.2080521E+01
  0.6600000E+03 -0.4850000E+03  0.1375532E+01 -0.1350600E+01  0.1927747E+01
  0.6600000E+03 -0.4800000E+03  0.1249383E+01 -0.1258926E+01  0.1773655E+01
  0.6600000E+03 -0.4750000E+03  0.1120180E+01 -0.1169467E+01  0.1619400E+01
  0.6600000E+03 -0.4700000E+03  0.9875664E+00 -0.1081623E+01  0.1464648E+01
  0.6600000E+03 -0.4650000E+03  0.8521049E+00 -0.9963256E+00  0.1311010E+01
  0.6600000E+03 -0.4600000E+03  0.7133830E+00 -0.9131113E+00  0.1158744E+01
  0.6600000E+03 -0.4550000E+03  0.5723782E+00 -0.8336472E+00  0.1011229E+01
  0.6600000E+03 -0.4500000E+03  0.4288033E+00 -0.7564670E+00  0.8695485E+00
  0.6600000E+03 -0.4450000E+03  0.2831668E+00 -0.6829374E+00  0.7393152E+00
  0.6600000E+03 -0.4400000E+03  0.1356985E+00 -0.6129843E+00  0.6278247E+00
  0.6600000E+03 -0.4350000E+03 -0.1347656E-01 -0.5476807E+00  0.5478464E+00
  0.6600000E+03 -0.4300000E+03 -0.1634834E+00 -0.4859728E+00  0.5127342E+00
  0.6600000E+03 -0.4250000E+03 -0.3142768E+00 -0.4291054E+00  0.5318847E+00
  0.6600000E+03 -0.4200000E+03 -0.4655431E+00 -0.3766995E+00  0.5988596E+00
  0.6600000E+03 -0.4150000E+03 -0.6163662E+00 -0.3290863E+00  0.6987168E+00
  0.6600000E+03 -0.4100000E+03 -0.7665977E+00 -0.2862422E+00  0.8182950E+00
  0.6600000E+03 -0.4050000E+03 -0.9159124E+00 -0.2486437E+00  0.9490623E+00
  0.6600000E+03 -0.4000000E+03 -0.1063642E+01 -0.2161572E+00  0.1085384E+01
  0.6600000E+03 -0.3950000E+03 -0.1209082E+01 -0.1890807E+00  0.1223777E+01
  0.6600000E+03 -0.3900000E+03 -0.1352280E+01 -0.1668909E+00  0.1362540E+01
  0.6600000E+03 -0.3850000E+03 -0.1492500E+01 -0.1506682E+00  0.1500086E+01
  0.6600000E+03 -0.3800000E+03 -0.1628424E+01 -0.1391358E+00  0.1634357E+01
  0.6600000E+03 -0.3750000E+03 -0.1761013E+01 -0.1342366E+00  0.1766122E+01
  0.6600000E+03 -0.3700000E+03 -0.1888165E+01 -0.1329309E+00  0.1892839E+01
  0.6600000E+03 -0.3650000E+03 -0.2009314E+01 -0.1376196E+00  0.2014021E+01
  0.6600000E+03 -0.3600000E+03 -0.2128029E+01 -0.1471887E+00  0.2133113E+01
  0.6600000E+03 -0.3550000E+03 -0.2237516E+01 -0.1609269E+00  0.2243296E+01
  0.6600000E+03 -0.3500000E+03 -0.2341406E+01 -0.1801697E+00  0.2348327E+01
  0.6600000E+03 -0.3450000E+03 -0.2437850E+01 -0.2031119E+00  0.2446296E+01
  0.6600000E+03 -0.3400000E+03 -0.2526917E+01 -0.2306687E+00  0.2537424E+01
  0.6600000E+03 -0.3350000E+03 -0.2607705E+01 -0.2623348E+00  0.2620867E+01
  0.6600000E+03 -0.3300000E+03 -0.2680457E+01 -0.2985291E+00  0.2697029E+01
