              x              y              u              v              V
  0.6000000E+03 -0.6000000E+03  0.3535534E+01 -0.3535534E+01  0.5000000E+01
  0.6024403E+03 -0.6000000E+03  0.3536343E+01 -0.3534039E+01  0.4999515E+01
  0.6049887E+03 -0.6000000E+03  0.3537994E+01 -0.3532403E+01  0.4999527E+01
  0.6076499E+03 -0.6000000E+03  0.3540279E+01 -0.3529614E+01  0.4999175E+01
  0.6104290E+03 -0.6000000E+03  0.3543798E+01 -0.3524967E+01  0.4998389E+01
  0.6133310E+03 -0.6000000E+03  0.3549052E+01 -0.3517432E+01  0.4996809E+01
  0.6163616E+03 -0.6000000E+03  0.3556767E+01 -0.3505567E+01  0.4993956E+01
  0.6195263E+03 -0.6000000E+03  0.3567626E+01 -0.3487515E+01  0.4989060E+01
  0.6228312E+03 -0.6000000E+03  0.3582049E+01 -0.3461154E+01  0.4981031E+01
  0.6262823E+03 -0.6000000E+03  0.3599929E+01 -0.3424217E+01  0.4968375E+01
  0.6298863E+03 -0.6000000E+03  0.3619182E+01 -0.3376042E+01  0.4949358E+01
  0.6336498E+03 -0.6000000E+03  0.3637179E+01 -0.3316561E+01  0.4922261E+01
  0.6375800E+03 -0.6000000E+03  0.3650561E+01 -0.3247563E+01  0.4886027E+01
  0.6416841E+03 -0.6000000E+03  0.3657747E+01 -0.3172341E+01  0.4841783E+01
  0.6459700E+03 -0.6000000E+03  0.3659780E+01 -0.3094989E+01  0.4793010E+01
  0.6504456E+03 -0.6000000E+03  0.3659761E+01 -0.3017447E+01  0.4743294E+01
  0.6551193E+03 -0.6000000E+03  0.3659400E+01 -0.2938348E+01  0.4693090E+01
  0.6600000E+03 -0.6000000E+03  0.3659249E+01 -0.2856531E+01  0.4642184E+01
  0.6600000E+03 -0.6000000E+03  0.3659249E+01 -0.2856531E+01  0.4642184E+01
  0.6600000E+03 -0.5950000E+03  0.3575513E+01 -0.2856781E+01  0.4576624E+01
  0.6600000E+03 -0.5900000E+03  0.3492690E+01 -0.2857066E+01  0.4512395E+01
  0.6600000E+03 -0.5850000E+03  0.3414981E+01 -0.2856881E+01  0.4452400E+01
  0.6600000E+03 -0.5800000E+03  0.3341072E+01 -0.2850508E+01  0.4391829E+01
  0.6600000E+03 -0.5750000E+03  0.3268855E+01 -0.2831630E+01  0.4324759E+01
  0.6600000E+03 -0.5700000E+03  0.3191215E+01 -0.2793662E+01  0.4241274E+01
  0.6600000E+03 -0.5650000E+03  0.3104884E+01 -0.2739218E+01  0.4140486E+01
  0.6600000E+03 -0.5600000E+03  0.3017080E+01 -0.2676296E+01  0.4033031E+01
  0.6600000E+03 -0.5550000E+03  0.2919541E+01 -0.2597498E+01  0.3907776E+01
  0.6600000E+03 -0.5500000E+03  0.2817748E+01 -0.2510115E+01  0.3773643E+01
  0.6600000E+03 -0.5450000E+03  0.2711734E+01 -0.2414591E+01  0.3630944E+01
  0.6600000E+03 -0.5400000E+03  0.2601423E+01 -0.2312508E+01  0.3480674E+01
  0.6600000E+03 -0.5350000E+03  0.2487532E+01 -0.2204368E+01  0.3323711E+01
  0.6600000E+03 -0.5300000E+03  0.2370002E+01 -0.2090817E+01  0.3160446E+01
  0.6600000E+03 -0.5250000E+03  0.2248532E+01 -0.1972758E+01  0.2991265E+01
